[00:00:00,000 --> 00:00:06,200] 老子们大家好 我是曲曲 欢迎大家回到我们金贵的关系2.0的课堂
[00:09:20,840 --> 00:09:22,360] 那我朋友圈里的朋友呢
[00:09:22,360 --> 00:09:24,520] 他们也会刻意的点到我的朋友圈
[00:09:24,520 --> 00:09:26,660] 看一看我最近发了什么内容
[00:09:26,660 --> 00:09:27,900] 甚至有朋友跟我说
[00:09:27,900 --> 00:09:31,480] 他们已经看了我十年以上的朋友圈了
[00:09:31,480 --> 00:09:31,940] 所以呢
[00:09:31,940 --> 00:09:33,360] 想要做自媒体
[00:09:33,360 --> 00:09:36,280] 想要去操作更大的這種流量盤
[00:09:36,280 --> 00:09:39,920] 那麼朋友圈呢就可以作為大家的第一個小嘗試
[00:09:39,920 --> 00:09:42,300] 先把朋友圈玩明白了
[00:09:42,300 --> 00:09:45,100] 再去慢慢的嘗試搞高難度的項目
[00:09:45,100 --> 00:09:46,160] 第二啊
[00:09:46,160 --> 00:09:50,360] 朋友圈呢是新媒體時代的名片
[00:09:50,360 --> 00:09:54,080] 我們現在呢其實已經不像以前有那種實質的
[00:09:54,080 --> 00:09:55,360] 紙的這種名片了
[00:09:55,360 --> 00:09:59,800] 那麼朋友圈呢其實就是一個更好的名片的功能
[00:09:59,800 --> 00:10:00,920] 大家可以想想看
[00:10:00,920 --> 00:10:03,340] 我的微信里面加了那么多的人
[00:10:03,340 --> 00:10:06,380] 我怎么能够记得我认识谁
[00:10:06,380 --> 00:10:09,060] 或者我曾经有过一个什么样的朋友呢
[00:10:09,060 --> 00:10:12,040] 我怎么能够知道这个人他是干什么的呢
[00:10:12,040 --> 00:10:16,120] 其实最直接的方法就是通过去看他发的朋友圈
[00:10:16,310 --> 00:10:19,570] 通过我每天刷的这些内容啊
[00:10:19,570 --> 00:10:21,970] 我能够最直接的看到
[00:10:21,970 --> 00:10:24,330] 诶 谁谁谁 他是一个什么样的人
[00:10:24,330 --> 00:10:25,770] 诶 他的工作是什么
[00:10:25,770 --> 00:10:27,750] 他能够为我提供一些什么
[00:10:27,750 --> 00:10:29,750] 相反 如果你不发朋友圈
[00:10:29,750 --> 00:10:33,170] 那么很有可能我根本就想不起来有你这号人
[00:10:33,170 --> 00:10:35,230] 那我举一个反变案例啊
[00:10:35,230 --> 00:10:37,030] 之前呢有一个宝子来我这连麦
[00:10:37,030 --> 00:10:39,170] 他本身呢是一个小二代
[00:10:39,170 --> 00:10:41,570] 非常的热衷于上课啊
[00:10:41,570 --> 00:10:43,530] 经常呢去上EMBA呀
[00:10:43,530 --> 00:10:44,310] 画画呀
[00:10:44,310 --> 00:10:45,510] 瑜伽呀等等
[00:10:45,510 --> 00:10:47,670] 然后呢有一天他就跟我连麦
[00:10:47,670 --> 00:10:50,230] 他说他自己家里有块地在招商
[00:10:50,230 --> 00:10:52,890] 然后呢招商招了好多年
[00:10:52,890 --> 00:10:54,410] 都没有进展
[00:10:54,600 --> 00:10:56,200] 结果呢我就问他
[00:10:56,200 --> 00:10:56,740] 我说
[00:10:56,740 --> 00:11:00,860] 你是怎么去宣传你的招商项目的
[00:11:02,760 --> 00:11:04,520] 我没有宣传
[00:11:04,520 --> 00:11:07,560] 我说那你平常出去上课的那些同学
[00:11:07,560 --> 00:11:09,480] 有人知道你在招商吗
[00:11:09,480 --> 00:11:10,780] 他说不知道
[00:11:10,780 --> 00:11:14,780] 我说那你的朋友圈有发过你们家这个地在招商吗
[00:11:15,360 --> 00:11:16,780] 他说没有发过
[00:11:17,670 --> 00:11:19,760] 然后这样一个情况下
[00:11:19,760 --> 00:11:23,220] 他来问我说为什么我这个招商招了这么多年
[00:11:23,220 --> 00:11:24,520] 招商都招不明白
[00:11:24,520 --> 00:11:27,820] 你说你身边都没有人知道
[00:11:27,820 --> 00:11:29,060] 你在做这个事
[00:11:29,060 --> 00:11:32,100] 请问你这个招商怎么招的出去呢
[00:11:32,100 --> 00:11:32,680] 所以后来呢
[00:11:32,680 --> 00:11:33,140] 我跟他讲
[00:11:33,140 --> 00:11:34,280] 我是首先啊
[00:11:34,280 --> 00:11:36,320] 你现在每天发一条朋友圈
[00:11:36,320 --> 00:11:39,380] 要展示你们家的这个地正在招商
[00:11:39,380 --> 00:11:40,400] 然后呢
[00:11:40,400 --> 00:11:42,680] 去比如说像Bose职聘啊等等的
[00:11:42,680 --> 00:11:44,940] 这样一些网站上面招一个
[00:11:44,940 --> 00:11:47,120] 接待过很多老板的
[00:11:47,120 --> 00:11:49,700] 或者说懂招商的这样的员工
[00:11:49,700 --> 00:11:53,240] 让他去对接这样有需求的老板
[00:11:53,240 --> 00:11:55,880] 然后你给这个员工去分钱就可以了
[00:11:55,880 --> 00:11:56,380] 其次呢
[00:11:56,380 --> 00:11:57,700] 就是你之后再去上课
[00:11:57,700 --> 00:12:00,560] 在那些課堂上面加了別人的微信之後
[00:12:00,560 --> 00:12:03,500] 在你發自己的自我介紹的時候
[00:12:03,500 --> 00:12:06,440] 就同時在這個自我介紹裡面告訴大家
[00:12:06,440 --> 00:12:09,420] 現在你們家有一塊地想要去做招商
[00:12:09,420 --> 00:12:11,440] 您要是有這方面的資源的話呢
[00:12:11,440 --> 00:12:12,720] 可以跟我來對接一下
[00:12:12,720 --> 00:12:14,900] 如果說這個事促成了的話
[00:12:14,900 --> 00:12:17,460] 我可以給您包一個大紅包啊等等
[00:12:17,460 --> 00:12:20,060] 總之就是盡可能的要做宣傳
[00:12:20,060 --> 00:12:22,460] 把這個信息先給它散佈出去
[00:12:22,460 --> 00:12:24,720] 那麼這個呢其實就是我說的
[00:12:24,720 --> 00:12:27,580] 大家要在朋友圈展現自己的產品
[00:12:27,580 --> 00:12:31,060] 自己的服务 自己需要对接的资源
[00:12:31,060 --> 00:12:34,180] 这样别人才有可能看见你 了解你
[00:12:34,180 --> 00:12:38,040] 进而和你 才能产生交易的实际需求
[00:12:38,040 --> 00:12:40,360] 我再来给大家举一个正面的案例啊
[00:12:40,880 --> 00:12:42,060] 我呢 认识一个姐姐
[00:12:42,060 --> 00:12:44,760] 她之前呢 在巴厘岛卖燕窝
[00:12:44,760 --> 00:12:45,920] 然后她就跟我讲
[00:12:45,920 --> 00:12:48,420] 她刚开始卖燕窝的时候是咋卖的
[00:12:48,420 --> 00:12:51,480] 我听了以后呢 觉得非常地有趣啊
[00:12:51,480 --> 00:12:52,420] 所以来分享给你们
[00:12:52,420 --> 00:12:55,090] 她就是像上班打卡一样的
[00:12:55,090 --> 00:12:57,850] 每天她就往那个游客最多的地方跑
[00:12:57,850 --> 00:13:00,530] 然后呢在那个咖啡厅里的一座
[00:13:00,530 --> 00:13:03,630] 就打开微信的附近的人
[00:13:04,330 --> 00:13:06,930] 然后一个一个的去加别人
[00:13:06,930 --> 00:13:09,770] 他每天坐在那个咖啡厅里一座就是一天
[00:13:09,770 --> 00:13:12,150] 然后可以加好多好多的人
[00:13:12,150 --> 00:13:13,850] 加到他的朋友圈里来
[00:13:13,850 --> 00:13:16,970] 紧接着呢他就会在他的朋友圈里去展现
[00:13:16,970 --> 00:13:19,610] 他在巴厘岛的非常高大上的生活
[00:13:19,610 --> 00:13:23,910] 每天豪车豪宅豪华的下午茶
[00:13:23,910 --> 00:13:25,590] 美丽的风景等等
[00:13:25,590 --> 00:13:28,510] 偶爾就會穿插一下他的廣告
[00:13:28,510 --> 00:13:31,710] 就是告訴大家他在巴厘島有一個燕窩工廠
[00:13:31,710 --> 00:13:34,110] 然後是做上等的燕窩的
[00:13:34,110 --> 00:13:37,710] 那這些來玩的遊客加了他之後回國了
[00:13:37,710 --> 00:13:41,570] 其實他們之前並沒有怎麼去講過話
[00:13:41,570 --> 00:13:45,010] 但是由於別人看他朋友圈的時間看得非常長
[00:13:45,010 --> 00:13:46,290] 然後慢慢地就會覺得
[00:13:46,290 --> 00:13:48,730] 這個人我忘記是從哪裡加的了
[00:13:48,730 --> 00:13:51,070] 可是我就感覺他好像挺靠譜的
[00:13:51,070 --> 00:13:52,790] 常年都based在巴厘島
[00:13:52,790 --> 00:13:54,330] 並且還有自己的工廠
[00:13:54,330 --> 00:13:57,050] 然后呢他自己的生活也是比较有档次的
[00:13:57,050 --> 00:13:59,910] 同时还在经营着他自己的这个燕窝品牌
[00:13:59,910 --> 00:14:02,430] 所以也不怎么跟他交流的情况下
[00:14:02,430 --> 00:14:04,310] 就直接找他来寻单
[00:14:04,310 --> 00:14:06,570] 然后来找他买燕窝了
[00:14:06,570 --> 00:14:07,630] 所以你看啊
[00:14:07,630 --> 00:14:09,470] 朋友圈就是一个非常非常好的
[00:14:09,470 --> 00:14:12,690] 展现自己展现产品渠道的这样一个机会
[00:14:12,690 --> 00:14:14,850] 就你是能够从这个里边去
[00:14:14,850 --> 00:14:17,490] 攫取大量的变现价值的
[00:14:17,490 --> 00:14:19,930] 用好朋友圈我们变现就不用愁
[00:14:20,970 --> 00:14:21,950] 同样的啊
[00:14:21,950 --> 00:14:24,190] 我当时呢一边在美国留学的时候呢
[00:14:24,190 --> 00:14:26,590] 一边也在卖珠宝和手表嘛
[00:14:26,590 --> 00:14:28,810] 那当时其实我就是直接发朋友圈
[00:14:28,810 --> 00:14:31,070] 然后去告诉我所有的朋友
[00:14:31,070 --> 00:14:32,590] 还有同学说
[00:14:32,590 --> 00:14:34,090] 如果你们需要买手表
[00:14:34,090 --> 00:14:35,750] 或者买珠宝可以找我
[00:14:35,750 --> 00:14:38,230] 因为我可以帮你们拿到折扣
[00:14:38,230 --> 00:14:39,290] 或者呢我会说
[00:14:39,290 --> 00:14:40,290] 如果你们去了
[00:14:40,290 --> 00:14:43,130] 你们知道就是美国有一条非常著名的珠宝街
[00:14:43,130 --> 00:14:44,950] 叫做Diamond Street
[00:14:45,510 --> 00:14:45,970] 然后呢
[00:14:45,970 --> 00:14:46,190] 我说
[00:14:46,190 --> 00:14:48,570] 如果你们要去那条街上买珠宝
[00:14:48,570 --> 00:14:50,150] 或者是买手表
[00:14:50,150 --> 00:14:53,130] 那么你可以直接把那个货号发给我
[00:14:53,130 --> 00:14:55,690] 你在哪家店的哪個貨號發給我
[00:14:55,690 --> 00:14:58,990] 然後我呢就可以去幫你們拿到
[00:14:58,990 --> 00:15:02,750] 那一個產品的最佳折扣
[00:15:02,750 --> 00:15:04,310] 然後當時呢還有一個
[00:15:04,310 --> 00:15:07,230] 我記得有一個在那邊做房產中介的
[00:15:07,230 --> 00:15:08,510] 也是一個華人女生
[00:15:08,510 --> 00:15:09,830] 她看到了我的朋友圈
[00:15:09,830 --> 00:15:11,610] 然後她當時呢就要結婚了
[00:15:11,610 --> 00:15:15,070] 她老公啊想給她買一顆這個藍寶石
[00:15:15,070 --> 00:15:17,830] 然後那個時候呢她就找到了我
[00:15:17,830 --> 00:15:21,490] 因為她其實就是去我說的那條寶石街Diamond Street
[00:15:21,490 --> 00:15:22,850] 然后去那边呢
[00:15:22,850 --> 00:15:26,090] 看到了他非常非常心仪的这个蓝宝石
[00:15:26,090 --> 00:15:27,910] 其实这个中介呢
[00:15:27,910 --> 00:15:29,510] 本来当时呢
[00:15:29,510 --> 00:15:32,470] 是想让我通过他去租房子的
[00:15:32,470 --> 00:15:32,850] 但是呢
[00:15:32,850 --> 00:15:33,730] 因为我租房子
[00:15:33,730 --> 00:15:35,350] 其实找了其他的中介
[00:15:35,350 --> 00:15:37,090] 我加了他的微信之后呢
[00:15:37,090 --> 00:15:39,450] 我并没有等于说成为他的客户
[00:15:39,450 --> 00:15:41,070] 结果没想到反过来
[00:15:41,070 --> 00:15:42,970] 他还成为了我的客户
[00:15:42,970 --> 00:15:44,210] 其实在那之前
[00:15:44,210 --> 00:15:46,190] 我们也没有太多的交集
[00:15:46,190 --> 00:15:47,090] 所以说啊
[00:15:47,090 --> 00:15:48,350] 发好了朋友圈之后
[00:15:48,350 --> 00:15:49,270] 那这个呢
[00:15:49,270 --> 00:15:50,250] 就是你的名片
[00:15:50,250 --> 00:15:52,970] 就是你最最基础的宣传渠道
[00:15:56,270 --> 00:15:57,330] 那讲到这里啊
[00:15:57,330 --> 00:15:58,030] 很多的宝贝呢
[00:15:58,030 --> 00:15:59,630] 就会有另外一个担心
[00:15:59,630 --> 00:16:00,750] 他们会觉得说
[00:16:00,750 --> 00:16:03,090] 万一我的朋友圈没有人看
[00:16:03,090 --> 00:16:04,010] 怎么办
[00:16:04,010 --> 00:16:05,110] 面对这样的担心呢
[00:16:05,110 --> 00:16:06,670] 我想告诉大家是
[00:16:06,670 --> 00:16:09,070] 写朋友圈的第一目的
[00:16:09,070 --> 00:16:11,310] 不是为了让别人看到
[00:16:11,310 --> 00:16:13,710] 而是为了自我沉淀
[00:16:13,710 --> 00:16:15,610] 就像我们前面几节课里
