[00:00:00,000 --> 00:00:03,880] 哈喽大家好 欢迎回到我们金贵的关系2.0的课堂
[00:01:31,740 --> 00:01:33,440] 那么他的语言和行为
[00:01:33,440 --> 00:01:35,280] 应该是完全统一的
[00:01:35,800 --> 00:01:36,900] 就好像一个男的
[00:01:36,900 --> 00:01:37,800] 如果真的爱你
[00:01:37,800 --> 00:01:40,040] 他就不仅仅是嘴上说爱你
[00:01:40,040 --> 00:01:42,320] 而是行动上也会为你付出
[00:01:42,320 --> 00:01:43,220] 给予你关心
[00:01:43,220 --> 00:01:45,620] 但是如果一个人的语言和行为
[00:01:45,620 --> 00:01:46,800] 是不一致的
[00:01:46,800 --> 00:01:49,420] 那么他就要表现的言行不一
[00:01:49,420 --> 00:01:50,360] 那么这个时候
[00:01:50,360 --> 00:01:53,040] 我们要主要看他是做了什么
[00:01:53,040 --> 00:01:57,800] 因为一个人的行为才是最直接的去反映他的动机的
[00:01:57,800 --> 00:02:02,460] 而一个人的语言往往只是用来掩盖动机的手段
[00:02:02,460 --> 00:02:05,620] 那很多人之所以会误判会看错人呢
[00:02:05,620 --> 00:02:08,920] 其实就是因为他们老是在听对方的语言
[00:02:08,920 --> 00:02:11,460] 就比如很多人做生意谈恋爱的时候
[00:02:11,460 --> 00:02:13,500] 容易被别人画大饼白批
[00:02:13,500 --> 00:02:17,020] 就是因为他们总爱听别人说自己有多少资产
[00:02:17,020 --> 00:02:18,460] 能搞多大的买卖
[00:02:18,460 --> 00:02:21,540] 认识哪些哪些厉害的人脉等等
[00:02:21,540 --> 00:02:23,440] 沉浸在这些语言当中
[00:02:23,440 --> 00:02:26,100] 你就非常容易被对方所迷惑
[00:02:26,100 --> 00:02:26,620] 所以呢
[00:02:26,620 --> 00:02:28,460] 要去看他的行为
[00:02:28,460 --> 00:02:31,060] 你才会知道他真实的实力
[00:02:31,060 --> 00:02:32,300] 我举个例子啊
[00:02:32,300 --> 00:02:34,240] 我以前呢在饭局的时候啊
[00:02:34,240 --> 00:02:36,140] 其实没有办法判断出
[00:02:36,140 --> 00:02:40,000] 对方是真拒绝还是假拒绝
[00:02:40,000 --> 00:02:40,640] 比如说啊
[00:02:40,640 --> 00:02:41,380] 就是有一次
[00:02:41,380 --> 00:02:42,840] 我们一起参加饭局
[00:02:42,840 --> 00:02:43,740] 吃完饭以后呢
[00:02:43,740 --> 00:02:45,460] 我们当时请的这个大哥啊
[00:02:45,460 --> 00:02:49,700] 我们就很希望能够邀请他再参与到下一场去唱个歌
[00:02:49,700 --> 00:02:52,180] 但是这个大哥呢当时就说啊我不去
[00:02:52,180 --> 00:02:55,180] 他说我今天特别特别累要回去休息
[00:02:55,180 --> 00:02:57,680] 那这个是我那个时候还比较小啊
[00:02:57,680 --> 00:03:01,040] 我当然就是想说因为大哥都说他不去了对吧
[00:03:01,040 --> 00:03:04,740] 那我们也不好意思说强迫人家去做一件他不想做的事
[00:03:04,740 --> 00:03:07,340] 我在邀约被拒绝之后呢
[00:03:07,340 --> 00:03:09,480] 我当即其实就打算放弃了
[00:03:09,480 --> 00:03:13,500] 结果呢这个时候大哥旁边坐的那个女生
[00:03:13,500 --> 00:03:15,500] 他突然就拉着大哥的胳膊说
[00:03:15,500 --> 00:03:18,500] 哎呀去嘛去嘛我们一起去嘛
[00:03:18,500 --> 00:03:19,380] 其实我这个时候呢
[00:03:19,380 --> 00:03:21,500] 那个大哥就哈哈哈哈大笑
[00:03:21,500 --> 00:03:23,920] 说啊行行行吧那就去吧
[00:03:23,920 --> 00:03:26,200] 结果呢他是真的跟我们一起去唱歌了
[00:03:26,200 --> 00:03:29,080] 而且那天他一直跟我们一起到散场
[00:03:29,080 --> 00:03:30,820] 后来我在复盘这件事情的时候
[00:03:30,820 --> 00:03:32,180] 我就在想哦
[00:03:32,180 --> 00:03:35,320] 原来啊我是被他嘴巴上的语言所迷惑了
[00:03:35,320 --> 00:03:38,640] 实际上呢我应该观察他的行为
[00:03:38,640 --> 00:03:40,520] 如果说这个大哥真的不想去
[00:03:40,520 --> 00:03:41,680] 他会怎么做呢
[00:03:41,680 --> 00:03:44,320] 他可能来这个局上啊
[00:03:44,320 --> 00:03:45,740] 就是到第二场的时候
[00:03:45,740 --> 00:03:47,460] 坐半个小时就走了 对吗
[00:03:47,460 --> 00:03:48,420] 但是不是
[00:03:48,420 --> 00:03:49,560] 实际上呢
[00:03:49,560 --> 00:03:52,220] 他是一直到我们最后散场了才走的
[00:03:52,220 --> 00:03:54,860] 也就是说他其实是享受今天的
[00:03:54,860 --> 00:03:57,400] 整个的这两场的活动安排的
[00:03:57,400 --> 00:03:58,340] 那更进一步的
[00:03:58,340 --> 00:03:59,740] 我们可以去推测
[00:03:59,740 --> 00:04:02,260] 为什么一开始第一场结束
[00:04:02,260 --> 00:04:03,420] 我去邀请他的时候
[00:04:03,420 --> 00:04:04,780] 他会先拒绝
[00:04:04,780 --> 00:04:06,640] 然后最后在那个女生
[00:04:06,640 --> 00:04:08,780] 看似软磨硬泡的公式之下
[00:04:08,780 --> 00:04:09,740] 才答应呢
[00:04:09,740 --> 00:04:10,900] 其实本质上啊
[00:04:10,900 --> 00:04:13,820] 就是因为有很多这种印酬的场景下
[00:04:13,820 --> 00:04:17,340] 这个大哥呢 他应该是一个绝对高位的存在
[00:04:17,340 --> 00:04:20,240] 那么他是希望自己是非常非常有面子的
[00:04:20,240 --> 00:04:22,980] 所以呢 他一定要先给大家一种啊
[00:04:22,980 --> 00:04:24,540] 不是我想去的
[00:04:24,540 --> 00:04:28,400] 是你们一定要让我去 我才去的
[00:04:28,400 --> 00:04:29,780] 啊 这样子的一种去
[00:04:29,780 --> 00:04:34,860] 其实更体现了他对于对方的一种叫做偏爱吧
[00:04:34,860 --> 00:04:36,640] 那经过我们的推论之后呢
[00:04:36,640 --> 00:04:38,060] 我们就可以发现啊
[00:04:38,060 --> 00:04:41,560] 他这个大哥呢他一定是有一些性格特征的
[00:04:41,560 --> 00:04:44,700] 比如说他一定是非常的好面子的
[00:04:44,700 --> 00:04:47,180] 那么他需要别人把他捧的很高
[00:04:47,180 --> 00:04:48,040] 像这样的大哥
[00:04:48,040 --> 00:04:50,300] 如果你以后为了求他办事啊
[00:04:50,300 --> 00:04:51,420] 给他送东西
[00:04:51,420 --> 00:04:53,160] 如果说你送他拒绝了
[00:04:53,160 --> 00:04:54,020] 你就不送了
[00:04:54,020 --> 00:04:56,440] 那这个事肯定就办不成 对吧
[00:04:56,440 --> 00:04:57,920] 你一定要哎
[00:04:57,920 --> 00:05:01,160] 想尽办法多去打动他几次
[00:05:01,160 --> 00:05:02,360] 让他捧开心了
[00:05:02,360 --> 00:05:04,380] 他才会把这份礼物收下
[00:05:04,380 --> 00:05:06,580] 所以说我们真的不要简单的
[00:05:06,580 --> 00:05:08,280] 被一个人的语言所迷惑
[00:05:08,280 --> 00:05:10,040] 要反复的观察他的行为
[00:05:10,040 --> 00:05:11,600] 反复的测试他的行为
[00:05:11,600 --> 00:05:13,400] 才有可能真正的推测出
[00:05:13,400 --> 00:05:16,040] 他的真实的意图和性格底色
[00:05:16,040 --> 00:05:16,780] 那在这里呢
[00:05:16,780 --> 00:05:18,620] 我也给大家一个更为细致的
[00:05:18,620 --> 00:05:19,900] 一个思考路径啊
[00:05:19,900 --> 00:05:22,260] 就是当你在观察他的行为时
[00:05:22,260 --> 00:05:23,800] 你可以多问一句
[00:05:23,800 --> 00:05:26,000] 如果他真的这么想
[00:05:26,000 --> 00:05:27,720] 他本应该怎么做
[00:05:27,720 --> 00:05:28,800] 那通过这个提问呢
[00:05:28,800 --> 00:05:31,420] 你会很容易发现他的逻辑漏洞
[00:05:31,420 --> 00:05:33,940] 从而破除他语言上的包装
[00:05:33,940 --> 00:05:36,080] 发现他真实的动机
[00:05:36,080 --> 00:05:37,700] 我举一个例子啊
[00:05:37,700 --> 00:05:38,940] 就是上一次呢
[00:05:38,940 --> 00:05:42,560] 我不是跟闺蜜联盟的小姐姐们一起去迪拜吗
[00:05:42,560 --> 00:05:45,400] 当时呢就是我们一起看了房子
[00:05:45,400 --> 00:05:46,800] 其中一个小姐姐呢
[00:05:46,800 --> 00:05:48,600] 她就看好了房子
[00:05:48,600 --> 00:05:50,780] 但是呢她当时有两个房号啊
[00:05:50,780 --> 00:05:52,040] 她就定不下来
[00:05:52,040 --> 00:05:53,420] 她就在纠结说
[00:05:53,420 --> 00:05:58,000] 我到底是买1706还是买2806
[00:05:58,000 --> 00:06:02,560] 然后这两个房子它的户型是一模一样的
[00:06:02,560 --> 00:06:04,740] 1706它的楼层也不低对吧
[00:06:04,740 --> 00:06:06,540] 28楼呢 它当然也就更高
[00:06:06,540 --> 00:06:09,300] 但是呢 就因为这个楼层的差距呢
[00:06:09,300 --> 00:06:13,460] 那么这个17楼的是要比28楼的其实是便宜
[00:06:13,460 --> 00:06:14,580] 10万块钱的
[00:06:14,580 --> 00:06:16,760] 但是它当时就一直在纠结说
[00:06:16,760 --> 00:06:18,860] 哎呀 我到底选哪一套呢
[00:06:18,860 --> 00:06:20,880] 我呢 就在旁边默默的观察
[00:06:20,880 --> 00:06:22,640] 从头到尾呢 我就没有说话
[00:06:22,640 --> 00:06:24,300] 然后旁边几个小姐妹呢
[00:06:24,300 --> 00:06:27,180] 就争先恐后的再给她建议啊
[00:06:27,180 --> 00:06:30,120] 然后呢 大部分的小姐妹就一直在跟她说
[00:06:30,120 --> 00:06:31,680] 哎呀 你就选1706
[00:06:31,680 --> 00:06:33,480] 反正户型都是一样的
[00:06:33,480 --> 00:06:35,780] 当然是哪个便宜选哪个了
[00:06:35,780 --> 00:06:37,780] 然后他就说嗯是的
[00:06:37,780 --> 00:06:41,520] 但是呢我又觉得好像28比较吉利
[00:06:41,520 --> 00:06:43,140] 紧接着呢他又说
[00:06:43,140 --> 00:06:45,220] 哎呀还是好纠结啊
[00:06:45,220 --> 00:06:47,160] 我到底该选哪一个呀
[00:06:47,160 --> 00:06:48,940] 本来呢我前面没说话的啊
[00:06:48,940 --> 00:06:50,480] 就在这个时候啊
[00:06:50,480 --> 00:06:51,820] 他说哎
[00:06:51,820 --> 00:06:54,280] 曲曲你觉得我应该选哪一个呢
[00:06:54,280 --> 00:06:57,180] 然后我就非常非常坚定的跟他说
[00:06:57,180 --> 00:06:58,460] 选2806
[00:06:58,460 --> 00:07:01,340] 结果我一说他马上就爽快的说
[00:07:01,340 --> 00:07:01,960] 嗯
[00:07:01,960 --> 00:07:04,060] 我也觉得那就选这个吧
[00:07:04,060 --> 00:07:07,560] 然后呢他就迅速的敲定了买2806这一套
[00:07:07,560 --> 00:07:11,520] 那我们来复盘一下为什么这个小姐姐的爱恋是这个样子的啊
[00:07:11,520 --> 00:07:13,740] 就他嘴上虽然说很纠结
[00:07:13,740 --> 00:07:16,740] 但是呢如果说你尝试的追问一下
[00:07:16,740 --> 00:07:18,600] 如果他真的这么想
[00:07:18,600 --> 00:07:20,200] 他本该怎么做
[00:07:20,200 --> 00:07:22,920] 那么你就会发现这其中的一些小猫腻了
[00:07:22,920 --> 00:07:26,600] 如果你真的觉得他的两个选择是55开的
[00:07:26,600 --> 00:07:29,260] 也就是说他买1706或者买2806
[00:07:29,260 --> 00:07:33,140] 他其实是50%对50%的这么一个感受
[00:07:33,140 --> 00:07:37,480] 那么只要别人稍稍的给他推荐了一下1706
[00:07:37,480 --> 00:07:39,720] 他就应该选1706
[00:07:39,720 --> 00:07:41,740] 因为1706的价格更便宜
[00:07:41,740 --> 00:07:45,660] 而且有更多的人去让他买这一套
[00:07:45,660 --> 00:07:49,280] 可实际上是在更便宜的情况下
[00:07:49,280 --> 00:07:51,160] 且更多人推荐的情况下
[00:07:51,160 --> 00:07:54,380] 他依然说我好纠结呀
[00:07:54,380 --> 00:07:56,160] 他依然没有立刻下决定
[00:07:56,160 --> 00:07:57,800] 那么事实是什么呢
[00:07:57,800 --> 00:08:01,000] 他当时其实就给出了一条反驳理由叫什么
[00:08:01,000 --> 00:08:03,890] 我觉得28这个数字更吉利
[00:08:04,460 --> 00:08:09,020] 那么这个时候其实就已经代表了他内心当中的一个倾向性了
[00:08:09,020 --> 00:08:15,220] 也就是说在17和28之间其实他是更倾向于选择28的
[00:08:15,220 --> 00:08:17,480] 可是他又受到了别人的干扰
[00:08:17,480 --> 00:08:20,180] 说17更便宜啊都一样的互行啊
[00:08:20,180 --> 00:08:21,280] 你就选17啊
[00:08:21,280 --> 00:08:24,900] 所以才会导致他出现了假象的摇摆不定
[00:08:24,900 --> 00:08:25,880] 那么说白了
[00:08:25,880 --> 00:08:27,440] 他对于便宜那个10万块
[00:08:27,440 --> 00:08:29,040] 他并没有那么的敏感
[00:08:29,040 --> 00:08:32,760] 而他真正敏感的是他想要八这个几个月的数字
[00:08:32,760 --> 00:08:35,040] 他没有那么强大而坚定的心力
[00:08:35,040 --> 00:08:36,400] 他自己也在纠结说
[00:08:36,400 --> 00:08:37,880] 是不是我为了一个数字
[00:08:37,880 --> 00:08:40,080] 就多花这个10万块有点蠢呢
[00:08:40,080 --> 00:08:43,120] 那本质上他是希望有一个外力来肯定他
[00:08:43,120 --> 00:08:45,840] 告诉他这个选择是聪明的选择
[00:08:45,840 --> 00:08:47,080] 是正确的选择
[00:08:47,080 --> 00:08:51,560] 而不是真的说希望你去拧他的这个决策
[00:08:51,560 --> 00:08:52,080] 所以呢
[00:08:52,080 --> 00:08:54,440] 当我们听到对方的语言的时候
[00:08:54,440 --> 00:08:56,540] 不要迅速的下结论
[00:08:56,540 --> 00:08:59,340] 而是要多给选项 多去测试
[00:08:59,340 --> 00:09:01,060] 从他的反馈当中
[00:09:01,060 --> 00:09:04,280] 看出他真实的想法和意图
[00:09:04,280 --> 00:09:06,460] 男女关系呢 其实也是一样的道理
[00:09:06,460 --> 00:09:08,500] 就比如说 你和一个男生谈恋爱
[00:09:08,500 --> 00:09:10,360] 突然有一天 他发了无名虎
[00:09:10,360 --> 00:09:11,480] 就是没事找茬
[00:09:11,480 --> 00:09:13,480] 然后呢 跟你爆发矛盾
[00:09:13,480 --> 00:09:15,760] 哎 你今天这个菜为什么做的这么难吃啊
[00:09:15,760 --> 00:09:17,540] 我觉得你一点都不关心我
[00:09:17,540 --> 00:09:18,920] 我在外面累死累活一天
[00:09:18,920 --> 00:09:21,360] 回来你就给我吃这个 等等啊
[00:09:21,360 --> 00:09:23,900] 那炒完价之后 咣的他就摔门而出
[00:09:23,900 --> 00:09:25,480] 然后锻炼好几天
[00:09:25,480 --> 00:09:28,300] 那请问这个男生他到底是想干什么呢
[00:09:28,300 --> 00:09:31,120] 他为什么会无缘无故的发无明火呢
[00:09:31,120 --> 00:09:35,020] 那他的动机是真的在生你的气吗
[00:09:35,020 --> 00:09:37,040] 他是真的对你有什么不满吗
[00:09:37,040 --> 00:09:39,680] 那在我们看来呢显然不是这个样子的
[00:09:39,680 --> 00:09:41,000] 我们还是问那句话
[00:09:41,000 --> 00:09:42,580] 如果他真的这么想
[00:09:42,580 --> 00:09:44,500] 他本该怎么做
[00:09:44,500 --> 00:09:46,360] 如果一个男生真的生你的气了
[00:09:46,360 --> 00:09:47,600] 他应该怎么做呢
[00:09:47,600 --> 00:09:49,320] 他可能在家里不说话
[00:09:49,320 --> 00:09:51,440] 或者呢找个地方去抽烟
[00:09:51,440 --> 00:09:53,260] 甚至呢他可能下去散步
[00:09:53,260 --> 00:09:54,860] 自己舒缓一下
[00:09:54,860 --> 00:09:56,340] 然后没有过多久呢
[00:09:56,340 --> 00:09:58,080] 可能他就会重新回来
[00:09:58,080 --> 00:10:01,320] 甚至于是试图找你聊一聊这个问题
[00:10:01,320 --> 00:10:03,340] 然而所有的这些他都没有做
[00:10:03,340 --> 00:10:07,120] 而是直接选择了消失好几天
[00:10:07,120 --> 00:10:10,920] 说明他其实就是想要出去玩个几天
[00:10:10,920 --> 00:10:14,100] 但是呢他又找不到非常合适的一个借口
[00:10:14,100 --> 00:10:15,160] 或者说他也知道
[00:10:15,160 --> 00:10:17,100] 如果他直观的给你提出这个诉求
[00:10:17,100 --> 00:10:18,680] 你大概率不会同意
[00:10:18,680 --> 00:10:22,280] 所以他才需要通过跟你刻意的闹矛盾
[00:10:22,280 --> 00:10:25,640] 来为自己找一个锻炼的合适理由
[00:10:25,640 --> 00:10:26,800] 所以我们识人变人
[00:10:26,800 --> 00:10:28,480] 一定要看他的行为
[00:10:28,480 --> 00:10:31,620] 从他的行为当中找出逻辑漏洞
[00:10:31,620 --> 00:10:32,800] 多去问一问
[00:10:32,800 --> 00:10:34,280] 如果他真的这么想
[00:10:34,280 --> 00:10:35,980] 他本应怎么做
[00:10:35,980 --> 00:10:38,700] 这样你才不会被语言所迷惑
[00:10:38,700 --> 00:10:42,200] 从行为上判断出他的动机和底色
[00:10:42,200 --> 00:10:44,300] 接下来我们来看第二个方法
[00:10:44,300 --> 00:10:47,000] 叫事出反常必有妖
[00:10:47,000 --> 00:10:49,200] 就是但凡你在和人相处的时候
[00:10:49,200 --> 00:10:51,440] 遇到了一些不合常理的事情
[00:10:51,440 --> 00:10:53,060] 你就要留一个心眼
[00:10:53,060 --> 00:10:55,420] 推测出他为什么会反常
[00:10:55,420 --> 00:10:56,380] 对待客户
[00:10:56,380 --> 00:10:58,300] 我们要从他的反常中
[00:10:58,300 --> 00:10:59,720] 看出他的需求
[00:10:59,720 --> 00:11:00,600] 对待男人
[00:11:00,600 --> 00:11:02,480] 我们要从他的反常中
[00:11:02,480 --> 00:11:03,780] 看出他的猫腻
[00:11:03,780 --> 00:11:04,660] 举个例子
[00:11:04,660 --> 00:11:06,780] 曾经有一个宝宝在我这里连麦
[00:11:06,780 --> 00:11:09,460] 然后他说他自己在两个男嘉宾当中
[00:11:09,460 --> 00:11:10,740] 犹豫不决
[00:11:10,740 --> 00:11:12,000] 男嘉宾A呢
[00:11:12,000 --> 00:11:12,840] 收入很低
[00:11:12,840 --> 00:11:14,020] 对他不冷不热
[00:11:14,020 --> 00:11:15,560] 也不愿意付出
[00:11:15,560 --> 00:11:16,920] 然后他说男嘉宾B
[00:11:16,920 --> 00:11:18,000] 年入百万
[00:11:18,000 --> 00:11:19,420] 追他的时候一上来
[00:11:19,420 --> 00:11:22,200] 就给他送了好几个W的礼物
[00:11:22,200 --> 00:11:23,640] 然后他也很想结婚
[00:11:23,640 --> 00:11:25,000] 还提出要见家长
[00:11:25,000 --> 00:11:26,720] 最后我这个宝宝问我
[00:11:26,720 --> 00:11:29,460] A和B我到底该选哪一个呢
[00:11:29,460 --> 00:11:30,760] 他问完这个问题以后
[00:11:30,760 --> 00:11:33,040] 我回给他的第一句话就是
[00:11:33,040 --> 00:11:35,980] 男嘉宾A的10点半非常好吗
[00:11:35,980 --> 00:11:37,600] 为什么我会问这个问题呢
[00:11:37,600 --> 00:11:38,580] 因为大家可以想想看
[00:11:38,580 --> 00:11:39,760] 按他的说法
[00:11:39,760 --> 00:11:42,840] 这个A和B之间有可比性吗
[00:11:42,840 --> 00:11:44,320] 是个明眼人都看得出来
[00:11:44,320 --> 00:11:46,120] 这个B的条件
[00:11:46,120 --> 00:11:47,500] 以及他的诚意
[00:11:47,500 --> 00:11:49,840] 方方面面吊打了A
[00:11:49,840 --> 00:11:50,760] 那么为什么
[00:11:50,760 --> 00:11:53,180] 他要把一个方方面面都不行的A
[00:11:53,180 --> 00:11:56,280] 和一个明显方方面面都很卓越的B放在一起
[00:11:56,280 --> 00:11:58,840] 而且还产生了纠结情绪
[00:11:58,840 --> 00:12:01,640] 还要花钱来找我连麦来做选择呢
[00:12:01,640 --> 00:12:02,380] 唯一的原因
[00:12:02,380 --> 00:12:05,380] 就是因为他对A太上头了
[00:12:05,380 --> 00:12:07,840] 那么在A方方面面都不行的情况下
[00:12:07,840 --> 00:12:09,800] 他为什么上头呢 是吧
[00:12:09,800 --> 00:12:11,460] 那我只能得出一个结论
[00:12:11,460 --> 00:12:13,620] 就是他的10点半特别好
[00:12:13,620 --> 00:12:16,060] 让你挂住了 离不开了
[00:12:16,060 --> 00:12:21,140] 那这个呢其实就是我真的带入到了他的心境里面去换位思考说
[00:12:21,140 --> 00:12:26,480] 他反常的理由到底是什么才能够迅速的得出这个结论的
[00:12:26,480 --> 00:12:29,580] 那么无论你是做销售也好还是做咨询也好
[00:12:29,580 --> 00:12:32,920] 很多时候客户如果跟你说了一些非常反常识
[00:12:32,920 --> 00:12:36,520] 反直觉的话的时候那么你就要多想一想
[00:12:36,520 --> 00:12:42,500] 事出反常必有遥 这里边很可能藏着这个客户的潜在需求
[00:12:42,500 --> 00:12:44,920] 男女关系当中呢也是一样的道理啊
[00:12:44,920 --> 00:12:47,500] 如果一个男人有一些行为非常不合理
[00:12:47,500 --> 00:12:50,500] 那么他肯定是隐瞒了某些事情
[00:12:50,500 --> 00:12:52,920] 比如说之前有个姑娘来跟我联麦
[00:12:52,920 --> 00:12:56,380] 她说自己有一个40多岁的男朋友年入季百万
[00:12:56,380 --> 00:12:59,100] 离婚没娃 一个人一直过
[00:12:59,100 --> 00:13:02,600] 然后这个男的就说自己一直很渴望有孩子
[00:13:02,600 --> 00:13:06,160] 最近这个姐妹目前有两个月的身孕了
[00:13:06,160 --> 00:13:08,720] 男嘉宾就想让她把孩子生下来
[00:13:08,720 --> 00:13:10,600] 可是却不想跟她结婚
[00:13:10,600 --> 00:13:13,940] 因为她说两个人总是吵架 看不到未来
[00:13:13,940 --> 00:13:18,000] 以至于他还说什么我原来扯过这个离婚证啊
[00:13:18,000 --> 00:13:20,260] 我对婚姻充满了恐惧啊等等
[00:13:20,260 --> 00:13:22,440] 那这个姐妹呢这个时候就非常的迷惑
[00:13:22,440 --> 00:13:26,220] 说我应该给她把这个孩子生下来吗
[00:13:26,220 --> 00:13:27,520] 那听完这个故事呢
[00:13:27,520 --> 00:13:30,100] 我当时给到这个姐妹的第一句话就是
[00:13:30,100 --> 00:13:32,300] 你查过她的婚姻状态吗
[00:13:32,300 --> 00:13:33,860] 那我为什么会这么问呢
[00:13:33,860 --> 00:13:36,300] 因为这个男的他太反常了
[00:13:36,300 --> 00:13:40,180] 你想想看一个40岁的男人如果没有孩子
[00:13:40,180 --> 00:13:42,420] 他肯定是要哄着女朋友
[00:13:42,420 --> 00:13:44,920] 先把这个孩子生下来 对吗
[00:13:44,920 --> 00:13:48,860] 可是呢 他现在对待这个姐妹的态度
[00:13:48,860 --> 00:13:51,520] 并没有那么积极和迫切
[00:13:51,520 --> 00:13:53,060] 他本质上就是有一种
[00:13:53,060 --> 00:13:54,600] 啊 这个孩子你留也可以
[00:13:54,600 --> 00:13:56,460] 不留也可以的态度
[00:13:56,460 --> 00:13:59,020] 反正呢 婚恶是不会结的啊
[00:13:59,020 --> 00:14:01,120] 那这个根本就不像是一个
[00:14:01,120 --> 00:14:03,380] 40多岁了的单身
[00:14:03,380 --> 00:14:05,480] 还没有孩子的一个男人
[00:14:05,480 --> 00:14:07,260] 他该有的一个态度
[00:14:07,260 --> 00:14:10,060] 如果说他真的是干干净净的一个单身
[00:14:10,060 --> 00:14:11,260] 和没有孩子的状态
[00:14:11,260 --> 00:14:13,620] 他怎么都会做一下思想斗争
[00:14:13,620 --> 00:14:17,320] 但是呢他现在的状态实在是太没有斗争感了
[00:14:17,320 --> 00:14:20,280] 所以呢我认为他要么就是离婚不离家
[00:14:20,280 --> 00:14:22,120] 要么就是他其实有孩子
[00:14:22,120 --> 00:14:24,400] 可是他却选择了隐瞒
[00:14:24,400 --> 00:14:29,160] 总而言之不太可能是完完全全干干净净的状态
[00:14:29,160 --> 00:14:30,900] 因为这样他是站不住脚的
[00:14:31,440 --> 00:14:33,740] 那所以后来呢我就跟这个联卖的姑娘说
[00:14:33,740 --> 00:14:38,520] 我说你赶紧去通过各种手段查一查这个男的婚恋状态
[00:14:38,520 --> 00:14:40,400] 以及他到底有没有孩子
[00:14:40,400 --> 00:14:42,580] 先把这件事情搞清楚了
[00:14:42,580 --> 00:14:45,360] 再去谈所谓的生不生的问题
[00:14:45,360 --> 00:14:46,560] 做生意也好
[00:14:46,560 --> 00:14:48,400] 或者是处理男女关系也好
[00:14:48,400 --> 00:14:49,500] 都是一样的
[00:14:49,500 --> 00:14:51,160] 凡事都要有逻辑
[00:14:51,160 --> 00:14:52,720] 我们不要自欺欺人
[00:14:52,720 --> 00:14:53,600] 大家记住了
[00:14:53,600 --> 00:14:56,100] 就是事出反常必有妖
[00:14:56,100 --> 00:14:57,260] 很多时候呢
[00:14:57,260 --> 00:15:00,600] 真的能够帮你们去识别诸诸盘
[00:15:00,600 --> 00:15:01,980] 我之前认识一个女生
[00:15:01,980 --> 00:15:03,960] 她当时谈了一个男朋友
[00:15:03,960 --> 00:15:06,320] 然后她就说这个男的30出头
[00:15:06,320 --> 00:15:08,000] 身家在一个小目标以上
[00:15:08,000 --> 00:15:08,740] 第一个月啊
[00:15:08,740 --> 00:15:10,280] 就给她买了一台兵力
[00:15:10,280 --> 00:15:14,560] 我当时呢就隐隐约约的觉得那个男生有点问题
[00:15:14,560 --> 00:15:17,040] 因为一个月就给他送病历
[00:15:17,040 --> 00:15:19,600] 这个速度着实有点太快了
[00:15:19,600 --> 00:15:21,680] 快的有点不合常理啊
