[00:00:00,000 --> 00:00:03,820] Hello大家好 歡迎回到我們金貴的關係2.0的課堂
[00:01:32,550 --> 00:01:35,390] 他只會考慮我做了這個決定和選擇之後
[00:01:35,390 --> 00:01:38,370] 能拿到的最好的結果是什麼樣的
[00:01:38,370 --> 00:01:39,470] 就好像很多女生
[00:01:39,470 --> 00:01:42,130] 她們決定要不要跟一個男生分手的時候
[00:01:42,130 --> 00:01:43,550] 她們總是想的是
[00:01:43,550 --> 00:01:45,910] 我下一個肯定還能遇到更好的
[00:01:46,450 --> 00:01:48,370] 所以很多人來找我連埋的時候
[00:01:48,370 --> 00:01:50,450] 也是希望我能鼓勵她說
[00:01:50,450 --> 00:01:51,950] 你下一個一定會更好
[00:01:51,950 --> 00:01:52,870] 但是呢
[00:01:52,870 --> 00:01:55,490] 這樣的角色方式其實它會導致一個問題
[00:01:55,490 --> 00:01:58,630] 那就是如果你找不到更好的
[00:01:58,630 --> 00:01:59,830] 你就會怎麼樣呢
[00:02:00,350 --> 00:02:02,270] 你就會吃回頭草
[00:02:02,270 --> 00:02:04,350] 而且呢 我跟大家說過無數次
[00:02:04,350 --> 00:02:07,170] 只要你一回頭 是必要被殺價
[00:02:07,170 --> 00:02:09,510] 那這種殺價呢 它是各種形式的
[00:02:09,510 --> 00:02:12,570] 可能呢 你的前任或者是這個合作方
[00:02:12,570 --> 00:02:15,070] 它會貶低你的價值
[00:02:15,070 --> 00:02:19,110] 要麼呢 就是你在市場當中的評價也會被降低
[00:02:19,110 --> 00:02:20,570] 那無論是哪一種呢
[00:02:20,570 --> 00:02:23,250] 你都會因為回頭而掉價
[00:02:23,410 --> 00:02:26,690] 所以呢 我在做決策的時候都是反過來的
[00:02:26,690 --> 00:02:31,530] 我都是想我能不能接受這個決策之後的最壞結果
[00:02:31,530 --> 00:02:32,650] 如果能
[00:02:32,650 --> 00:02:34,450] 那麼我就能夠去做
[00:02:34,450 --> 00:02:36,650] 就好像如果我要分手的時候
[00:02:36,650 --> 00:02:37,690] 我都會去想
[00:02:37,690 --> 00:02:41,030] 如果我之後遇到男人不會更好
[00:02:41,030 --> 00:02:43,930] 那麼我還要不要這樣選擇
[00:02:43,930 --> 00:02:44,370] 所以呢
[00:02:44,370 --> 00:02:46,810] 當我離開某個男人的時候
[00:02:46,810 --> 00:02:49,270] 我想的都不是我還能遇到最好的
[00:02:49,270 --> 00:02:52,030] 所以我要把他丟掉啊
[00:02:52,030 --> 00:02:52,870] 我想的永遠都是
[00:02:52,870 --> 00:02:54,810] 就算我不能遇到最好的
[00:02:54,810 --> 00:02:56,810] 我還是要放棄這個
[00:02:56,810 --> 00:02:59,650] 那麼人呢 只有接受了最壞的結果以後
[00:02:59,650 --> 00:03:02,950] 才代表我們真的做好了所有的心理建設
[00:03:02,950 --> 00:03:07,090] 你才會不給自己留退路 然後一網無錢
[00:03:07,160 --> 00:03:08,960] 我舉個例子 當初呢
[00:03:08,960 --> 00:03:11,920] 我決定離開武漢去上海發展的時候
[00:03:11,920 --> 00:03:13,280] 我那個時候想的就是
[00:03:13,280 --> 00:03:17,420] 我離開武漢等於我要放棄武漢所有的資源
[00:03:17,420 --> 00:03:21,420] 放棄我在武漢原來建設的這麼多的人脈圈
[00:03:21,420 --> 00:03:22,900] 啊大佬等等
[00:03:22,900 --> 00:03:25,420] 我要放弃这么多的居间项目
[00:03:25,420 --> 00:03:30,140] 也就等于放弃了一年能够挣个百百两百万的机会啊
[00:03:30,140 --> 00:03:31,700] 那么当我到上海以后
[00:03:31,700 --> 00:03:33,800] 我就是一张白纸
[00:03:33,800 --> 00:03:35,440] 什么资源都没有
[00:03:35,440 --> 00:03:37,140] 什么滤镜都没有
[00:03:37,140 --> 00:03:39,060] 什么光环都没有
[00:03:39,060 --> 00:03:41,180] 一切都要从零开始
[00:03:41,740 --> 00:03:42,440] 而且呢
[00:03:42,440 --> 00:03:45,440] 那个时候我已经不再那么的年轻
[00:03:45,440 --> 00:03:46,860] 可以因为自己啊
[00:03:46,860 --> 00:03:48,220] 年轻漂亮小姑娘
[00:03:48,220 --> 00:03:48,880] 所以说呢
[00:03:48,880 --> 00:03:50,300] 社交上面有便利
[00:03:50,300 --> 00:03:55,280] 精密的就会有各种各样的大佬带我去链接各种各样的圈子了
[00:03:55,280 --> 00:03:59,420] 所以说如果我离开武汉以后去上海最坏的结果是什么呢
[00:03:59,420 --> 00:04:06,620] 那我理性评估之后我认为最坏的结果是我得去找个班上 那这个结果我能不能接受呢
[00:04:06,620 --> 00:04:08,280] 我觉得我可以接受
[00:04:08,570 --> 00:04:13,090] 因为我想了一想就算是找个班上我挣的也不会少
[00:04:13,090 --> 00:04:19,050] 因为呢 我有非常强的销售能力 只要给我一定的时间去跑市场跑客户
[00:04:19,050 --> 00:04:23,210] 我還是會掙到比同級別的人更多的錢的
[00:04:23,210 --> 00:04:23,470] 所以呢
[00:04:23,470 --> 00:04:25,830] 我就依然決然的決定一定要來上海
[00:04:25,830 --> 00:04:27,170] 不會再回去了
[00:04:27,170 --> 00:04:31,290] 或者說我給自己說的話是我要飯都不會再回去了
[00:04:31,290 --> 00:04:32,190] 雖然呢
[00:04:32,190 --> 00:04:33,150] 我不會要飯
[00:04:33,150 --> 00:04:36,090] 但是這完完全全是我考慮好了
[00:04:36,090 --> 00:04:38,610] 最壞的情況之後做出的選擇
[00:04:38,610 --> 00:04:41,250] 那我就是不給自己留退路
[00:04:41,250 --> 00:04:42,070] 一網無錢
[00:04:42,650 --> 00:04:44,310] 如果不這樣去思考
[00:04:44,310 --> 00:04:46,970] 那麼我很有可能當時面臨的結局就是
[00:04:46,970 --> 00:04:48,950] 當我來上海混了一段時間之後
[00:04:48,950 --> 00:04:51,650] 那個時候上海也發生這個口罩了
[00:04:51,650 --> 00:04:53,190] 當我的爸媽勸我說
[00:04:53,190 --> 00:04:54,310] 哎呀你別在那兒栽了
[00:04:54,310 --> 00:04:55,570] 那邊成本太高了
[00:04:55,570 --> 00:04:57,430] 很有可能我真的就會聽著他們的勸
[00:04:57,430 --> 00:04:59,070] 然後會嘮嘮的就回去了
[00:04:59,070 --> 00:05:00,110] 如果是這樣的話
[00:05:00,110 --> 00:05:02,310] 那我武漢的朋友們會怎麼看我呢
[00:05:02,310 --> 00:05:03,650] 他是不是覺得說
[00:05:03,650 --> 00:05:05,530] 你是因為在上海混不下去了
[00:05:05,530 --> 00:05:06,470] 你才回來的
[00:05:06,470 --> 00:05:07,050] 對嗎
[00:05:07,050 --> 00:05:08,510] 所以做決策的時候
[00:05:08,510 --> 00:05:11,330] 一定要先做最壞的打算
[00:05:11,330 --> 00:05:12,570] 我再舉個例子
[00:05:12,570 --> 00:05:15,450] 那我和我的EVE的導師每一次呢
[00:05:15,450 --> 00:05:18,130] 去商量他們是否要漲價
[00:05:18,130 --> 00:05:19,490] 也是這個樣子的
[00:05:19,490 --> 00:05:22,430] 因為大家知道我們的導師他是分為兩個檔的
[00:05:22,430 --> 00:05:25,390] 一個是金鑽導師 一個是黑鑽導師
[00:05:25,390 --> 00:05:28,350] 那黑鑽導師的價格其實是更貴的
[00:05:28,350 --> 00:05:31,290] 當我們的導師他服務的時長
[00:05:31,290 --> 00:05:33,070] 以及服務的單量
[00:05:33,070 --> 00:05:36,410] 還有客戶的好評的這種percent
[00:05:36,410 --> 00:05:38,190] 他已經達到一個程度的時候
[00:05:38,190 --> 00:05:40,010] 那麼我們會有一個門檻
[00:05:40,010 --> 00:05:43,990] 他就可以從金鑽導師升級到黑鑽導師了
[00:05:43,990 --> 00:05:46,150] 也就是說他們的服務單價會上漲
[00:05:46,150 --> 00:05:50,270] 但是每次我在給他們去挑這個檔位的時候
[00:05:50,270 --> 00:05:54,250] 我都會跟他們說漲價是個雙刃劍
[00:05:54,250 --> 00:05:57,010] 漲價了以後最壞的結果是什麼
[00:05:57,010 --> 00:06:00,710] 是你的課單量很有可能會大幅度的減少
[00:06:01,270 --> 00:06:04,950] 如果說你因為漲價而課單變少了的話
[00:06:04,950 --> 00:06:08,050] 那麼我們是不可以降價的
[00:06:08,050 --> 00:06:12,070] 也不可以再把級別退回到原來的精湛級別的
[00:06:12,070 --> 00:06:14,790] 所以你真的做好準備了嗎
[00:06:14,790 --> 00:06:16,310] 所以我都會這樣告訴他
[00:06:16,310 --> 00:06:18,630] 讓他知道這個後面風險是什麼
[00:06:18,630 --> 00:06:20,170] 而不要一味的只想著說
[00:06:20,170 --> 00:06:21,090] 哎我漲價了
[00:06:21,090 --> 00:06:22,850] 然後我能掙更多了是吧
[00:06:22,850 --> 00:06:24,090] 告知風險以後
[00:06:24,090 --> 00:06:26,990] 然後再讓他們自行的去做出選擇
[00:06:26,990 --> 00:06:27,870] 那麼這樣的話呢
[00:06:27,870 --> 00:06:30,130] 就有助於他們做了這個選擇之後
[00:06:30,130 --> 00:06:32,670] 後面有更加穩定的心態啊
[00:06:32,670 --> 00:06:35,070] 繼續去實施他的服務
[00:06:35,070 --> 00:06:36,230] 我自己在做諮詢
[00:06:36,230 --> 00:06:38,070] 還有直播聯賣的時候也是這樣的
[00:06:38,070 --> 00:06:39,850] 我都會告訴大家說
[00:06:39,850 --> 00:06:41,910] 你這樣做最壞的結果是什麼
[00:06:41,910 --> 00:06:44,090] 你能不能承受這個結果
[00:06:44,090 --> 00:06:47,590] 我跟很多的这个玄学算命大师
[00:06:47,590 --> 00:06:49,550] 其实他们的逻辑是相反的
[00:06:50,050 --> 00:06:51,190] 很多算命的大师呢
[00:06:51,190 --> 00:06:52,690] 可能他们都会鼓励你
[00:06:52,690 --> 00:06:55,270] 给你很多很多确定性的信心
[00:06:55,270 --> 00:06:57,990] 比如说你30岁那年会发财
[00:06:57,990 --> 00:07:01,550] 或者你明年下半年会找到一个真爱
[00:07:01,550 --> 00:07:03,710] 所以大家为什么喜欢算命呢
[00:07:03,710 --> 00:07:06,670] 是因为他听了这个算命先生的话之后呢
[00:07:06,670 --> 00:07:10,910] 他就对他后面那个阶段充满了确定性的信心
[00:07:10,910 --> 00:07:11,930] 他就觉得哎
[00:07:11,930 --> 00:07:15,010] 那我现在我就可以悠然自得的躺着了
[00:07:15,010 --> 00:07:17,790] 等到那个时刻那个事发生就可以了
[00:07:17,790 --> 00:07:19,950] 但是呢我却不是这么操作的
[00:07:19,950 --> 00:07:22,490] 我呢就经常会给客户泼冷水
[00:07:22,490 --> 00:07:24,190] 所以大家会发现
[00:07:24,190 --> 00:07:27,850] 其实我的客户很多在跟我挂麦的时候
[00:07:27,850 --> 00:07:30,510] 他们都有点不甘心啊
[00:07:30,510 --> 00:07:32,110] 很多时候都是不高兴的
[00:07:32,110 --> 00:07:36,210] 因为他们并没有从我这个地方得到他们最想要的那个答案
[00:07:36,210 --> 00:07:39,410] 可是我依然会觉得我们要更负责
[00:07:39,410 --> 00:07:42,070] 而不光是給予情緒上的知識
[00:07:42,070 --> 00:07:45,290] 我想做的是要讓你看清現實
[00:07:45,290 --> 00:07:49,030] 然後學會用理性狀態做決策
[00:07:49,030 --> 00:07:51,870] 因為我覺得只有這樣你才會真正的成長
[00:07:51,870 --> 00:07:55,330] 你也會學習為自己的選擇而買單
[00:07:55,330 --> 00:07:58,270] 那麼你的心力就會變得越來越強大
[00:07:58,270 --> 00:08:01,130] 好那這個呢就是我們講的第一個舞曲啊
[00:08:01,130 --> 00:08:03,910] 大家要記住我們要做最壞的打算
[00:08:03,910 --> 00:08:06,290] 去努力求得最好的結果
[00:08:07,920 --> 00:08:11,680] 接下來我們就來看決策的第二個誤區
[00:08:11,680 --> 00:08:14,140] 就是不敢獨立決策
[00:08:14,140 --> 00:08:17,440] 總是需要聽取局外人的建議
[00:08:17,440 --> 00:08:19,000] 很多人在做決策的時候
[00:08:19,000 --> 00:08:22,320] 都缺乏獨立決策的魄力和勇氣
[00:08:22,320 --> 00:08:24,760] 他們特別特別喜歡聽別人的意見
[00:08:24,760 --> 00:08:28,500] 而且他們並不是以對方的智力水平
[00:08:28,500 --> 00:08:34,240] 或者說對方的價值指標來作為他求助的標準的
[00:08:34,240 --> 00:08:36,900] 也就是說並不是因為對方比他更加的
[00:08:37,360 --> 00:08:39,640] 或者說對方比他獲得了更多的結果
[00:08:39,640 --> 00:08:41,300] 他就去求助於到對方
[00:08:41,300 --> 00:08:42,200] 而是以什麼呢?
[00:08:42,280 --> 00:08:44,880] 而是以關係的親疏
[00:08:44,880 --> 00:08:46,960] 和好壞遠近
[00:08:46,960 --> 00:08:49,060] 來決定是否要向對方
[00:08:49,060 --> 00:08:50,500] 尋求建議的
[00:08:50,500 --> 00:08:53,040] 所以你們會發現大部分人在尋求建議的時候
[00:08:53,040 --> 00:08:55,100] 他們可能會尋求閨蜜的建議
[00:08:55,100 --> 00:08:56,600] 或者說他去尋求
[00:08:56,600 --> 00:08:59,600] 他本來就不怎麼地的父母的建議
[00:08:59,600 --> 00:09:01,460] 有很多寶子來跟我聯埋的時候
[00:09:01,460 --> 00:09:02,920] 我跟他給了一個建議之後
[00:09:02,920 --> 00:09:04,880] 他還會說可是我的閨蜜
[00:09:04,880 --> 00:09:08,320] 不是这样说的 可是我的闺蜜是那样说的
[00:09:08,320 --> 00:09:11,900] 他们试图用他闺蜜的话来推翻我的结论
[00:09:11,900 --> 00:09:15,920] 可是呢 可能他跟他的闺蜜都还没有谈过几段恋爱
[00:09:15,920 --> 00:09:20,560] 所以说 他怎么能够给他非常切实的建议呢
[00:09:20,560 --> 00:09:25,360] 那么 比起不断的去寻求建议 让别人来决定你的未来呢
[00:09:25,360 --> 00:09:29,280] 我是更加建议大家咬咬牙 倾听自己的声音
[00:09:29,280 --> 00:09:30,980] 独立做出决策的
[00:09:30,980 --> 00:09:34,120] 甚至有的时候哪怕一些真的所谓的很牛的人
[00:09:34,120 --> 00:09:36,300] 大佬在否定你的時候
[00:09:36,300 --> 00:09:39,680] 我也依然希望大家能夠堅定自己的想法
[00:09:39,680 --> 00:09:40,520] 前幾天的時候
[00:09:40,520 --> 00:09:43,660] 我跟我們閨蜜聯盟的一個男閨蜜在交流
[00:09:43,660 --> 00:09:47,840] 他就說他自己從小到大都是被別人霸凌的
[00:09:47,840 --> 00:09:50,780] 所以導致他一直都是一個被孤立的狀態
[00:09:50,780 --> 00:09:53,940] 沒有人願意給到他一些建設性的意見
[00:09:53,940 --> 00:09:55,820] 所以這個只能倒逼著
[00:09:55,820 --> 00:09:59,440] 他只能去相信他自己獨立的做出決策
[00:09:59,440 --> 00:10:01,880] 而就是在這樣的一個情況下
[00:10:01,880 --> 00:10:06,060] 他在25歲的年紀就已經掙了大幾千萬了
[00:10:06,060 --> 00:10:09,100] 而且因為他已經有了足夠的資本
[00:10:09,100 --> 00:10:11,080] 也有了很高的情商
[00:10:11,080 --> 00:10:14,340] 所以他確確實實是已經拿到了很多結果
[00:10:14,340 --> 00:10:16,600] 可是他有一個困惑
[00:10:16,600 --> 00:10:19,100] 就是他認為他自己在內心當中
[00:10:19,100 --> 00:10:21,060] 沒有辦法去信任別人
[00:10:21,060 --> 00:10:23,680] 沒有辦法去聽取別人的意見
[00:10:23,680 --> 00:10:25,860] 他現在認為這是一個毛病
[00:10:25,860 --> 00:10:28,300] 他很想改變自己的這個毛病
[00:10:28,300 --> 00:10:30,700] 更多的能夠借力於他人
[00:10:30,700 --> 00:10:33,760] 從而讓自己的決策變得更正確
[00:10:33,760 --> 00:10:35,840] 也許他就能拿到更大的結果
[00:10:35,840 --> 00:10:37,400] 那這個時候呢
[00:10:37,400 --> 00:10:38,160] 我就跟他講
[00:10:38,160 --> 00:10:42,720] 其實靠自己獨立決策是非常非常正確的一件事
[00:10:42,720 --> 00:10:47,020] 你就應該繼續的相信自己獨立的去做判斷
[00:10:47,020 --> 00:10:48,280] 因為我呢
[00:10:48,280 --> 00:10:50,520] 其實是花了很長很長的時間
[00:10:50,520 --> 00:10:52,540] 才從聽別人的建議
[00:10:52,540 --> 00:10:55,040] 而變成相信自己的想法
[00:10:55,300 --> 00:10:57,540] 因為我很早很早的時候
[00:10:57,540 --> 00:10:59,860] 我就學會了向上社交
[00:10:59,860 --> 00:11:04,040] 那麼我會很習慣性的想去尋求一些上位者的建議
[00:11:04,040 --> 00:11:06,620] 但是我後來發現有一個非常有意思的點
[00:11:06,620 --> 00:11:09,580] 就是關於所有人生大方向
[00:11:09,580 --> 00:11:11,780] 也就是價值觀等等上面的建議
[00:11:11,780 --> 00:11:15,100] 大部分情況下這些大佬說的都是對的
[00:11:15,100 --> 00:11:18,760] 可是關於具體的事業的決策上的建議
[00:11:18,760 --> 00:11:21,140] 我卻發現他們都是錯的
[00:11:21,800 --> 00:11:23,640] 就好像我剛開始做自媒體的時候
[00:11:23,640 --> 00:11:24,840] 就有一個大人跟我說
[00:11:24,840 --> 00:11:27,860] 他說我覺得你就是在浪費自己的時間
[00:11:27,860 --> 00:11:29,240] 浪費自己的才華
[00:11:29,240 --> 00:11:32,140] 如果你好好地去干居间项目的话
[00:11:32,140 --> 00:11:35,100] 一个项目轻轻松松可以赚个几百万呢
[00:11:35,100 --> 00:11:37,920] 然后你现在呢每天都不知道在干什么
[00:11:37,920 --> 00:11:39,970] 还要出来泡头露面
[00:11:39,970 --> 00:11:41,850] 可是呢你们看现在的结果
[00:11:41,850 --> 00:11:43,770] 我现在赚到的钱的量级
[00:11:43,770 --> 00:11:47,170] 难道是我随随便便搞几个居间项目能赚来的吗
[00:11:47,170 --> 00:11:49,470] 那么此时此刻我是很庆幸当初
[00:11:49,470 --> 00:11:51,650] 我没有听他的这个劝解的
[00:11:51,650 --> 00:11:54,070] 在这里呢我也依然要重点强调一下
[00:11:54,070 --> 00:11:59,010] 就是我希望大家一定要做到对所谓的大佬趣味
[00:11:59,670 --> 00:12:03,430] 所有的大佬他也有短板也有支持的盲區
[00:12:03,430 --> 00:12:05,890] 很多時候他很篤定的事情
[00:12:05,890 --> 00:12:09,300] 可能跟他所說的結果也是完全不一樣的
[00:12:09,830 --> 00:12:11,590] 好像我記得很多年前啊
[00:12:11,590 --> 00:12:14,250] 我在跟一個大哥掰扯這個賈月婷的事
[00:12:14,250 --> 00:12:16,430] 我說我覺得賈月婷是個騙子
[00:12:16,430 --> 00:12:17,950] 然後呢這個大哥他就跟我說
[00:12:17,950 --> 00:12:19,790] 他說你的想法是錯的
[00:12:19,790 --> 00:12:22,150] 他說啊樂視的股票現在是低股
[00:12:22,150 --> 00:12:24,530] 啊很便宜非常適合超低
[00:12:24,530 --> 00:12:26,490] 那我當時呢不好反駁他
[00:12:26,490 --> 00:12:29,870] 因为他的财富量级实在是我的很多很多倍
[00:12:29,870 --> 00:12:31,350] 那他讲了这个话之后
[00:12:31,350 --> 00:12:33,790] 你说我直接跟他两个人距离力争
[00:12:33,790 --> 00:12:35,650] 我又没有什么证据是吧
[00:12:35,650 --> 00:12:37,470] 我觉得也挺博他的面子的
[00:12:37,470 --> 00:12:37,750] 所以呢
[00:12:37,750 --> 00:12:39,210] 我就没有再跟他battle
[00:12:39,210 --> 00:12:40,950] 我就觉得那你抄底就抄底
[00:12:40,950 --> 00:12:42,050] 我打心里想说
[00:12:42,050 --> 00:12:43,630] 那我祝福你吧
[00:12:43,630 --> 00:12:44,370] 结果呢
[00:12:44,370 --> 00:12:45,610] 这么多年下来啊
[00:12:45,610 --> 00:12:47,790] 大家可以看到现在这个结果是什么
[00:12:47,790 --> 00:12:48,890] 然后这个大哥呢
[00:12:48,890 --> 00:12:52,270] 就从此以后他再也不沾股票了
[00:12:52,900 --> 00:12:54,240] 还有一次呢
[00:12:54,240 --> 00:12:57,540] 是这个当时王宝强的老婆嘛
[00:12:57,540 --> 00:12:58,860] 他这个这个前妻啊
[00:12:58,860 --> 00:12:59,940] 当时不是劈叉了吗
[00:12:59,940 --> 00:13:02,280] 就是跟他那个经纪人搞的一起这个事啊
[00:13:02,280 --> 00:13:03,720] 当时呢我身边的一个大佬
[00:13:03,720 --> 00:13:04,540] 他就跟我说
[00:13:04,540 --> 00:13:06,520] 他说我有内幕消息
[00:13:06,520 --> 00:13:08,620] 说这俩是炒作的剧本
[00:13:09,190 --> 00:13:11,350] 我当时说怎么可能呢
[00:13:11,350 --> 00:13:14,670] 我说王宝强好歹也是一个大明星吧
[00:13:14,670 --> 00:13:17,950] 哪个男人会用这种事情来炒作剧本呢
[00:13:17,950 --> 00:13:19,690] 把自己炒成一个绿帽子吗
[00:13:19,690 --> 00:13:21,090] 我说这是个什么逻辑
[00:13:21,090 --> 00:13:23,230] 但是呢他就特别特别笃定的跟我讲
[00:13:23,230 --> 00:13:24,590] 他说这个就是剧本
[00:13:24,590 --> 00:13:27,690] 你等著看吧 一年之內他倆就得復婚
[00:13:28,010 --> 00:13:30,790] 結果遲至今日我們再來看
[00:13:30,790 --> 00:13:31,830] 最後的結果是什麼
[00:13:32,370 --> 00:13:34,710] 其實咱們這個事就是一個真實的世界
[00:13:34,710 --> 00:13:35,150] 對吧
[00:13:35,150 --> 00:13:38,330] 那麼雖然這是兩個比較有趣的一個事情啊
[00:13:38,330 --> 00:13:41,290] 可能也不一定完全說跟商業的思考相關
[00:13:41,290 --> 00:13:42,650] 但是呢從這些故事當中
[00:13:42,650 --> 00:13:44,730] 大家是可以非常清晰的看到
[00:13:44,730 --> 00:13:47,790] 即使是大佬他也會有認知盲區
[00:13:47,790 --> 00:13:49,590] 他也不是全能的
[00:13:49,590 --> 00:13:52,230] 那麼我們所有人說的話
[00:13:52,230 --> 00:13:55,390] 其實都能叫做有這種可能性
[00:13:55,390 --> 00:13:57,810] 那麼既然大佬講的是大佬認為的可能性
[00:13:57,810 --> 00:13:59,770] 我也有我覺得的可能性
[00:13:59,770 --> 00:14:04,450] 為什麼一定要覺得他的想法是優於我的呢
[00:14:04,450 --> 00:14:05,790] 那麼理解了這一點之後呢
[00:14:05,790 --> 00:14:08,390] 你就會發現其實別人給的建議也要猜
[00:14:08,390 --> 00:14:09,890] 我獨立決策也是猜
[00:14:09,890 --> 00:14:11,090] 既然大家都是猜
[00:14:11,090 --> 00:14:12,910] 你也不一定比我猜的對
[00:14:12,910 --> 00:14:14,930] 啊那麼任何時候呢
[00:14:14,930 --> 00:14:16,130] 我們對於別人的建議
[00:14:16,130 --> 00:14:17,410] 還有別人的猜想
[00:14:17,410 --> 00:14:18,510] 別人的質疑
[00:14:18,510 --> 00:14:21,610] 我們就會保持一個更加客觀中立的心態
[00:14:21,610 --> 00:14:22,550] 去看待了
[00:14:22,550 --> 00:14:23,410] 而且呢
[00:14:23,410 --> 00:14:24,910] 坚持自己的想法
[00:14:24,910 --> 00:14:26,650] 其實它有一個非常好的點
[00:14:26,650 --> 00:14:29,730] 那就是即使這件事情做錯了
[00:14:29,730 --> 00:14:33,150] 那麼我也能夠得到一個錯誤的結果
[00:14:33,150 --> 00:14:34,970] 我也能知道這件事
[00:14:34,970 --> 00:14:38,610] 它是怎麼一步一步的做錯了的
[00:14:38,610 --> 00:14:42,830] 我也可以去學習到整個的過程是什麼樣的
[00:14:42,830 --> 00:14:44,330] 是一切也能夠長一致
[00:14:44,330 --> 00:14:44,770] 對吧
[00:14:44,770 --> 00:14:46,470] 所以我們靠自己去執行
[00:14:46,470 --> 00:14:47,750] 靠自己去驗證
[00:14:47,750 --> 00:14:48,930] 那麼無論這件事
[00:14:48,930 --> 00:14:51,050] 最後的結果是做對了還是做錯了
[00:14:51,050 --> 00:14:54,610] 我們都能夠形成一套完整的方法論
[00:14:54,610 --> 00:14:58,630] 然後讓這套方法論作用到我未來的人生當中去
[00:14:58,630 --> 00:14:59,690] 只有這樣做
[00:14:59,690 --> 00:15:03,910] 我的人生才會每一步都走的非常非常的踏實
[00:15:06,280 --> 00:15:07,420] 那接下來呢
[00:15:07,420 --> 00:15:08,960] 我們來看第三個舞曲
[00:15:08,960 --> 00:15:13,100] 那就是放任賭信盲目投錢
[00:15:13,130 --> 00:15:16,810] 很多人在剛開始做副業和創業的時候啊
[00:15:16,810 --> 00:15:18,230] 都有一個壞習慣
[00:15:18,230 --> 00:15:21,310] 就是明明沒有接觸過這個行業
[00:15:21,310 --> 00:15:23,910] 也没有学习过相关的这个专业
[00:15:23,910 --> 00:15:26,850] 可是呢只要别人跟他说啊这个事很赚钱
[00:15:26,850 --> 00:15:29,510] 他就会直接把钱投进去
[00:15:29,510 --> 00:15:30,250] 那你说
[00:15:30,250 --> 00:15:34,010] 这个动作本质上他跟赌博有什么区别呢
[00:15:34,010 --> 00:15:36,190] 运气好了啊你就挣运气不好
[00:15:36,190 --> 00:15:38,150] 你就被割把钱就赔了
[00:15:38,150 --> 00:15:39,670] 那其实就是在赌
[00:15:39,670 --> 00:15:41,970] 说实话就是这样的赌信
[00:15:41,970 --> 00:15:44,990] 其实满大街很多很多的人都存在
[00:15:44,990 --> 00:15:47,210] 比如说别人说做奶茶店赚钱夸的
[00:15:47,210 --> 00:15:48,550] 他就去开个奶茶店
[00:15:48,550 --> 00:15:50,070] 别人说做小餐饮赚钱
[00:15:50,070 --> 00:15:52,130] 她誇的就去加盟一個小餐飲
[00:15:52,130 --> 00:15:53,750] 前幾天有一個聯邦的女生
