[00:00:00,000 --> 00:00:01,420] Hello 寶子们你们好
[00:02:22,840 --> 00:02:26,160] 能迅速的拿到一些快的这种结果
[00:02:26,160 --> 00:02:30,920] 但另外一方面呢他需要面对的是我们每天这样一些非常繁琐的
[00:02:31,340 --> 00:02:32,660] 副能量的客户
[00:02:32,660 --> 00:02:39,600] 那这两者在短时间之内产出的投入产出比吧可以说是有很大的差距的
[00:02:39,600 --> 00:02:44,720] 所以呢他们往往啊会比较的缺乏耐心 而且呢会比较挑剔
[00:02:44,720 --> 00:02:48,560] 他们会觉得说我有这个功夫在你这儿啊
[00:02:48,560 --> 00:02:51,860] 坑吃坑吃的教你 我还不如花更多的时间去跟
[00:02:52,480 --> 00:02:55,920] 我的这个男朋友啊 或是大佬啊 是吧 提供情绪价值
[00:02:55,920 --> 00:02:59,900] 所以他们跟客户之间就会产生一种双向的不满意
[00:02:59,900 --> 00:03:02,500] 客户觉得他们的耐心不够
[00:03:02,500 --> 00:03:04,020] 那他们又会有的时候
[00:03:04,020 --> 00:03:05,900] 尤其还会遇到一些客户
[00:03:05,900 --> 00:03:10,960] 可能因为他们经历的这种男嘉宾实在是有点下沉
[00:03:10,960 --> 00:03:12,220] 然后这样的导师
[00:03:12,220 --> 00:03:16,320] 他会没有办法太好地去共情到对方说
[00:03:16,320 --> 00:03:20,240] 你为什么要在这么垃圾的一个人身上去浪费时间
[00:03:21,790 --> 00:03:22,190] 所以呢
[00:03:23,150 --> 00:03:26,190] 他们的客诉量相对来说也会比较大
[00:03:26,190 --> 00:03:28,890] 那最后呢 只好离开我们这个团队
[00:03:28,890 --> 00:03:30,630] 那我们这里啊 还有一个导师
[00:03:30,630 --> 00:03:32,990] 她的情况呢 也是比较有意思啊
[00:03:32,990 --> 00:03:35,510] 其实是在我第一轮招募导师的时候
[00:03:35,510 --> 00:03:37,530] 她就已经来报名参加了
[00:03:37,530 --> 00:03:40,070] 她当时呢 也在辞星状态里头
[00:03:40,070 --> 00:03:42,530] 结果呢 在我这儿干了一个月就走了
[00:03:42,530 --> 00:03:46,250] 那这个女生 她当时的那个大老男朋友呢
[00:03:46,250 --> 00:03:48,910] 其实也是在一年多以后就分了
[00:03:48,910 --> 00:03:51,210] 最后呢 这个女生又回头来找我
[00:03:51,210 --> 00:03:53,430] 说她特别特别的后悔
[00:03:53,430 --> 00:03:57,590] 当时被眼前的利益所迷惑了
[00:03:57,590 --> 00:04:00,450] 很希望能够重新回到我们这个大家庭
[00:04:00,450 --> 00:04:04,770] 但是那个时候实际上我们已经没有再招聘的一个指标了
[00:04:05,430 --> 00:04:05,950] 所以说
[00:04:06,940 --> 00:04:09,900] 大家知道如果说一个人他走慈境
[00:04:09,900 --> 00:04:10,940] 走习惯了
[00:04:10,940 --> 00:04:13,180] 然后没有长期主义的一个心态的话
[00:04:13,180 --> 00:04:16,720] 很容易被眼前的利益所诱惑
[00:04:16,720 --> 00:04:20,820] 那么他再去转雄静难度其实是会非常大的
[00:04:20,820 --> 00:04:21,920] 那讲到这个地方
[00:04:21,920 --> 00:04:24,600] 很多寶子呢 內心當中一定會有一個疑問了
[00:04:24,600 --> 00:04:27,740] 啊 那搞辭進這個就這麼容易嗎 是不是
[00:04:27,740 --> 00:04:29,380] 啊 來錢來得這麼快嗎
[00:04:29,380 --> 00:04:32,880] 那我們肯定要選擇先把錢搞不熟再說 是吧
[00:04:32,880 --> 00:04:34,160] 但其實呢 是這樣的
[00:04:34,160 --> 00:04:38,700] 在前期啊 我們如果說還在一個溫飽線徘徊
[00:04:38,700 --> 00:04:40,200] 啊 或者說你這個時候呢
[00:04:40,200 --> 00:04:43,640] 你沒有打造出很好的自己跟雄勁有關的
[00:04:43,640 --> 00:04:45,040] 這樣一些核心競爭力的時候
[00:04:45,040 --> 00:04:48,480] 那這個時候可能是什麼離你近啊
[00:04:48,480 --> 00:04:49,960] 我們就去做什麼 是吧
[00:04:49,960 --> 00:04:52,000] 你说我现在有一个男朋友
[00:04:52,000 --> 00:04:54,780] 他能够让我现在的生活状态变得非常的好
[00:04:54,780 --> 00:04:57,280] 既能够给到我很好的物质条件
[00:04:57,280 --> 00:04:58,520] 填饱肚子
[00:04:58,520 --> 00:05:00,860] 同时也能让我生活非常的轻松
[00:05:00,860 --> 00:05:02,560] 那这个也没有问题
[00:05:02,560 --> 00:05:05,100] 但是我依然是建议大家
[00:05:05,100 --> 00:05:08,560] 就是不要一辈子只想着搞资金
[00:05:08,560 --> 00:05:11,340] 或者一辈子只想着赚块钱
[00:05:11,340 --> 00:05:12,200] 最终的最终
[00:05:12,200 --> 00:05:14,400] 我还是希望大家可以沉下心来
[00:05:14,400 --> 00:05:16,300] 去坚持长期主义
[00:05:16,300 --> 00:05:18,480] 看到更长远的利益
[00:05:18,480 --> 00:05:19,440] 为什么呢
[00:05:19,440 --> 00:05:20,420] 有兩個
[00:05:23,040 --> 00:05:26,700] 一個是辭進的生命周期
[00:05:26,700 --> 00:05:27,420] 非常的短
[00:05:28,060 --> 00:05:29,940] 辭進其實就是青春飯啊
[00:05:29,940 --> 00:05:31,420] 你再怎麼辭進
[00:05:31,420 --> 00:05:32,080] 35歲
[00:05:32,440 --> 00:05:33,240] 40歲
[00:05:33,240 --> 00:05:35,260] 基本也就到頭了
[00:05:35,260 --> 00:05:36,360] 可能在最初呢
[00:05:36,360 --> 00:05:38,500] 你還是可以靠著年輕貌美
[00:05:38,500 --> 00:05:40,420] 身材好有光環
[00:05:40,420 --> 00:05:42,140] 讓這樣一些男嘉賓
[00:05:42,140 --> 00:05:43,200] 去給你付出
[00:05:43,200 --> 00:05:45,300] 但是呢長期來看啊
[00:05:45,300 --> 00:05:46,120] 顏值其實
[00:05:46,120 --> 00:05:47,820] 它是會衰退的
[00:05:47,820 --> 00:05:49,040] 還有你的身材等等
[00:05:49,040 --> 00:05:51,180] 這樣一些外在上的一些優勢
[00:05:51,180 --> 00:05:56,380] 那你曾经依靠的这些去吸引男嘉宾的这样一些优势
[00:05:56,380 --> 00:06:00,440] 其实他是会随着时间的流逝而贬值的
[00:06:00,440 --> 00:06:03,680] 如果这个时候你的核心竞争力没有提上去的话
[00:06:03,680 --> 00:06:07,660] 没有和对方做更加深度的利益绑定
[00:06:07,660 --> 00:06:11,180] 你不能给他嫁接到有价值的人际关系
[00:06:11,180 --> 00:06:14,240] 也不能够给他提供什么生意资源
[00:06:14,240 --> 00:06:17,260] 甚至可能你也没有自己的娃
[00:06:17,260 --> 00:06:21,240] 你也没有精力拿出来去好好教育你自己的
[00:06:21,240 --> 00:06:24,300] 那么到最后你是一定会被替代的
[00:06:24,300 --> 00:06:26,280] 这个它是一个很残忍的东西
[00:06:26,280 --> 00:06:28,060] 但同时它也非常的现实
[00:06:28,640 --> 00:06:29,780] 相反的
[00:06:29,780 --> 00:06:32,200] 如果大家走的是雄静的路子
[00:06:32,200 --> 00:06:34,080] 你研究的是产品
[00:06:34,080 --> 00:06:34,880] 是营销
[00:06:34,880 --> 00:06:35,940] 是用户
[00:06:35,940 --> 00:06:37,680] 这些竞争力
[00:06:37,680 --> 00:06:41,160] 它不会随着年龄的推移而消失
[00:06:41,160 --> 00:06:45,400] 甚至是会随着时间的增长而越来越之前的
[00:06:45,960 --> 00:06:46,880] 大家可以想想看
[00:06:46,880 --> 00:06:48,720] 一个长期研究用户
[00:06:48,720 --> 00:06:50,480] 研究产品和营销的人
[00:06:50,480 --> 00:06:52,440] 他最起码最起码
[00:06:52,440 --> 00:06:54,000] 应该也是一个大销售
[00:06:54,000 --> 00:06:54,520] 对吧
[00:06:54,520 --> 00:06:55,840] 甚至于是一个大销罐
[00:06:57,030 --> 00:06:58,050] 那这样的人
[00:06:58,050 --> 00:07:00,350] 其实他是不害怕说
[00:07:00,350 --> 00:07:02,550] 什么所谓的年老色衰的
[00:07:02,550 --> 00:07:04,710] 他反而会越老越值钱
[00:07:04,710 --> 00:07:05,850] 因为越老
[00:07:05,850 --> 00:07:08,150] 他就意味着他手上的经验
[00:07:08,150 --> 00:07:09,600] 越多客户越多
[00:07:10,170 --> 00:07:10,970] 所以说呢
[00:07:10,970 --> 00:07:13,310] 如果大家想要一直都活得很风光
[00:07:13,310 --> 00:07:15,110] 一直走上坡路
[00:07:15,110 --> 00:07:16,690] 而不是说年龄一到
[00:07:16,690 --> 00:07:18,270] 就暂而然被淘汰
[00:07:18,270 --> 00:07:21,930] 那么我们是不可以脱离竞争状态的
[00:07:21,930 --> 00:07:24,190] 大家一定还是要有一个自己的事业
[00:07:24,190 --> 00:07:26,090] 或者说自己的商业版图
[00:07:26,090 --> 00:07:29,030] 最低限度也要有自己的小生意
[00:07:29,030 --> 00:07:29,910] 总而言之呢
[00:07:29,910 --> 00:07:33,110] 其实就是要构建自己的一个核心竞争力
[00:07:34,520 --> 00:07:35,800] 更进一步的说啊
[00:07:35,800 --> 00:07:38,880] 如果说你一辈子都要抱着一个慈敬的心
[00:07:38,880 --> 00:07:43,100] 其实你是吃不上慈敬这口饱饭的
[00:07:43,100 --> 00:07:45,000] 其实我遇到过很多很多的案例
[00:07:45,000 --> 00:07:47,920] 里面的女孩子她一分钱没有挣过
[00:07:47,920 --> 00:07:49,380] 啊 书也没有怎么读
[00:07:49,380 --> 00:07:50,860] 然后遇到一个男的呢
[00:07:50,860 --> 00:07:53,320] 可能就每个月每个月这样跟他给你小钱
[00:07:53,320 --> 00:07:55,500] 他就觉得啊 我这样的生活
[00:07:55,500 --> 00:07:57,160] 岁月静好
[00:07:57,160 --> 00:07:58,000] 结果呢
[00:07:58,000 --> 00:08:00,320] 压根也不想着怎么去努力奋斗啊
[00:08:00,320 --> 00:08:02,020] 或者说居安思危啊
[00:08:02,020 --> 00:08:02,820] 那到最后呢
[00:08:02,820 --> 00:08:04,840] 其实就是把自己给养废了
[00:08:04,840 --> 00:08:05,700] 后来呢
[00:08:05,700 --> 00:08:07,880] 你逐渐逐渐的你的价值下降啊
[00:08:07,880 --> 00:08:08,700] 男的也腻了
[00:08:08,700 --> 00:08:11,460] 那么这个男的他一定会去缩减开支
[00:08:11,810 --> 00:08:13,670] 他去缩减开支的时候
[00:08:13,670 --> 00:08:15,050] 他首先第一件事
[00:08:15,050 --> 00:08:16,410] 就是把你的消费砍掉
[00:08:16,410 --> 00:08:17,130] 对吧
[00:08:17,130 --> 00:08:18,090] 尤其是啊
[00:08:18,090 --> 00:08:19,350] 现在这个经济环境之下
[00:08:19,350 --> 00:08:20,610] 大家其实可以看到
[00:08:20,610 --> 00:08:22,130] 有很多的传统老板
[00:08:22,130 --> 00:08:24,290] 他们现在自身的行业
[00:08:24,290 --> 00:08:25,950] 其实是在缩减的
[00:08:26,210 --> 00:08:27,710] 他所有的现金流
[00:08:27,710 --> 00:08:28,830] 都在缩减的时候
[00:08:28,830 --> 00:08:31,510] 他从哪个维度上面去进行
[00:08:31,510 --> 00:08:32,290] 第一缩减
[00:08:32,290 --> 00:08:34,890] 那个维度就是他旁边这个
[00:08:34,890 --> 00:08:37,130] 不值钱的女生
[00:08:38,570 --> 00:08:39,810] 难道他会觉得说
[00:08:39,810 --> 00:08:41,030] 江山是我打下来的
[00:08:41,030 --> 00:08:41,370] 对吧
[00:08:41,370 --> 00:08:42,930] 那我的江山是不是
[00:08:42,930 --> 00:08:45,650] 却要分给那个值得的人
[00:08:45,650 --> 00:08:50,130] 如果说你既不能吃苦,也不能为我创造额外的价值
[00:08:50,130 --> 00:08:52,970] 而且当我的事业可能遇到波动
[00:08:52,970 --> 00:08:54,790] 或者说遇到走下坡路的时候
[00:08:54,790 --> 00:08:58,050] 你还会成为我的一个拖油瓶
[00:08:58,050 --> 00:09:00,870] 那他当然就不愿意再给你去分配更多了
[00:09:00,870 --> 00:09:04,310] 因为骨子里头他还是认为你不配,你不值
[00:09:05,430 --> 00:09:10,630] 相反啊,真正的这种很高微的顶级的磁劲选手
[00:09:10,630 --> 00:09:15,250] 其实他们都是抱着非常强烈的这种雄劲意识的
[00:09:15,470 --> 00:09:20,570] 要不停的去提升自己在一段关系里面的比重
[00:09:20,570 --> 00:09:24,270] 要么可能就是给这个南方的家族带来业务的增长
[00:09:24,270 --> 00:09:27,770] 要么他们就是可以把自己的孩子培养的特别特别好
[00:09:27,770 --> 00:09:30,730] 或者说他也可以通过自己的社交
[00:09:30,730 --> 00:09:33,630] 去为对方链接更有价值的圈层
[00:09:34,130 --> 00:09:37,310] 就好比我以前在看这个电视剧《三少爷》的时候
[00:09:37,310 --> 00:09:40,010] 里边所谓的这个父太太团是吧
[00:09:40,010 --> 00:09:42,150] 也是在互相的去对接资源
[00:09:42,150 --> 00:09:44,190] 都是在问啊你老公是在做什么呀
[00:09:44,190 --> 00:09:45,510] 我老公是做什么的呀
[00:09:45,510 --> 00:09:47,150] 我们能不能互动一下呀
[00:09:47,150 --> 00:09:48,070] 啊 连接一下
[00:09:48,070 --> 00:09:51,750] 那他们也是通过这样的一些雄劲的手段
[00:09:51,750 --> 00:09:54,570] 来增加自己在辞境维度的竞争力的
[00:09:56,220 --> 00:09:57,120] 再好比啊
[00:09:57,120 --> 00:09:58,040] 这个奶茶妹妹
[00:09:58,040 --> 00:09:59,160] 她也是一样的
[00:09:59,160 --> 00:10:01,040] 她在嫁给东哥之后呢
[00:10:01,040 --> 00:10:02,600] 我们可以非常清晰的看到
[00:10:02,600 --> 00:10:06,420] 她并没有单纯的去做一个刘太太的角色
[00:10:06,420 --> 00:10:09,340] 而是成为了一名老板 企业家
[00:10:09,340 --> 00:10:10,260] 在国外呢
[00:10:10,260 --> 00:10:13,120] 她就可以跟比尔拜慈同桌就餐
[00:10:13,120 --> 00:10:15,120] 而且在整个就餐的过程当中
[00:10:15,120 --> 00:10:18,640] 我们看得到他用一种非常流利的英语
[00:10:18,640 --> 00:10:23,760] 向比尔盖茨去推广他们京东的物资捐赠的平台
[00:10:23,760 --> 00:10:27,100] 最后还成功的让微软入驻到了京东
[00:10:27,100 --> 00:10:28,680] 那在国内就更不用说了
[00:10:28,680 --> 00:10:32,240] 他不仅仅是担任了京东的服装品牌的代言人
[00:10:32,240 --> 00:10:34,320] 而且他在怀孕的时候
[00:10:34,320 --> 00:10:38,480] 还在为京东的母婴醋香活动做宣传
[00:10:38,480 --> 00:10:41,480] 为京东也是吸引了大量的女性客户的
[00:10:41,480 --> 00:10:43,760] 省下了巨额的广告费
[00:10:43,760 --> 00:10:48,360] 所以说呢其实奶茶他走到最后也是一个妥妥的熊进选手
[00:10:48,900 --> 00:10:51,260] 那么我们总结下来就是一句话
[00:10:51,260 --> 00:10:55,420] 死进花期短 熊进才能穿越周期
[00:10:55,420 --> 00:10:59,120] 快前一时爽 长期主义才能一直爽
[00:11:00,820 --> 00:11:05,060] 第二啊 就是赚快钱他的天花板特别的低
[00:11:05,060 --> 00:11:07,960] 我从十几岁的时候开始呢可以说我就
[00:11:07,960 --> 00:11:12,700] 这个行业搞一下 这个行业搞一下 穿梭到很多行业中间啊
[00:11:12,700 --> 00:11:14,600] 灰的白的灰的啊
[00:11:14,600 --> 00:11:17,080] 也见过很多很多老板这种起起落落
[00:11:17,080 --> 00:11:17,560] 所以呢
[00:11:17,560 --> 00:11:20,020] 我知道有一个非常非常重要的规律
[00:11:20,020 --> 00:11:22,000] 那就是一个人的天花板
[00:11:22,000 --> 00:11:25,260] 其实是由他的圈子决定的
[00:11:25,260 --> 00:11:26,960] 一帮喜欢搞快钱的人
[00:11:26,960 --> 00:11:31,780] 他们的圈子基本上都是一些什么汽车租赁啊
[00:11:31,780 --> 00:11:33,320] 放贷呀啊等等
[00:11:33,320 --> 00:11:34,740] 就相对来说吧
[00:11:34,740 --> 00:11:37,140] 比较乱的这么一些圈子
[00:11:37,140 --> 00:11:41,380] 如果说你的圈子一直都是这样的一个维度的一个状态
[00:11:41,380 --> 00:11:45,620] 你什麼時候才能夠拿到真正的所謂大結果呢
[00:11:45,620 --> 00:11:48,320] 或是我們有沒有可能去走到一個更高的維度呢
[00:11:49,040 --> 00:11:49,480] 其實
[00:11:49,480 --> 00:11:51,000] 就會比較難
[00:11:51,000 --> 00:11:55,380] 因為人類的心性其實沒有我們想像當中的那麼強大
[00:11:55,380 --> 00:11:57,680] 能夠從一個很low的圈子裡
[00:11:57,680 --> 00:12:00,760] 不斷的去往高進值的圈子裡攀爬
[00:12:01,260 --> 00:12:03,720] 這種心意其實非常非常考驗人的
[00:12:03,720 --> 00:12:05,340] 也是很不常見的
[00:12:06,420 --> 00:12:08,360] 基本上我們經常講就是叫
[00:12:08,360 --> 00:12:10,960] 學霸跟學霸玩 學差跟學差玩是吧
[00:12:12,920 --> 00:12:16,880] 而且搞快錢的人特別容易被溫水煮清
[00:12:16,880 --> 00:12:21,040] 大家可以想想看這五年以來十年以來
[00:12:21,040 --> 00:12:23,400] 他都是東撈一筆西撈一筆
[00:12:23,400 --> 00:12:24,900] 快速地搞到一筆錢
[00:12:24,900 --> 00:12:30,440] 那這個過程當中其實他會把這種狀態變成一種慣性
[00:12:30,440 --> 00:12:32,120] 也會有點上癮
[00:12:32,120 --> 00:12:34,420] 很難去沉下心來
[00:12:34,420 --> 00:12:40,120] 然後更加扎根與去接觸那些更陽光或是更高大上的產業
[00:12:40,120 --> 00:12:44,880] 那些產業他們的特徵可能是前期你需要的努力會更多
[00:12:44,880 --> 00:12:48,740] 但是你卻可以讓這個生意走得更加的長遠
[00:12:48,740 --> 00:12:49,760] 那麼到最後呢
[00:12:49,760 --> 00:12:53,380] 由於他身邊的圈子一直都是一些比較雜亂的
[00:12:53,380 --> 00:12:53,820] 然後呢
[00:12:53,820 --> 00:12:55,560] 自己又賺了塊錢賺習慣了
[00:12:55,560 --> 00:12:59,800] 所以他就會習慣於遊走在這些邊緣化的產業裡頭
[00:12:59,800 --> 00:13:03,720] 沒有辦法真正的沉下心來去拿到那些富力的結果
[00:13:03,720 --> 00:13:05,140] 我再舉個例子
[00:13:05,140 --> 00:13:06,720] 就是之前直播的時候呢
[00:13:06,720 --> 00:13:08,520] 有一個粉絲寶寶他向我提問
[00:13:08,520 --> 00:13:11,700] 她说她的父母想让她去日本留学五年
[00:13:11,700 --> 00:13:14,540] 但是呢她现在在YC月入十万
[00:13:14,540 --> 00:13:16,820] 所以她就觉得如果我继续干YC的话
[00:13:16,820 --> 00:13:18,780] 我一年就有一百多万
[00:13:18,780 --> 00:13:21,560] 我五年后就能有个五百多万的进账
[00:13:21,560 --> 00:13:23,920] 如果说我真的要放弃这个五百万
[00:13:23,920 --> 00:13:26,960] 然后呢还要砸几十万去日本读书
[00:13:26,960 --> 00:13:28,640] 拿一个好看的学历
[00:13:28,640 --> 00:13:29,960] 这样真的值得吗
[00:13:30,830 --> 00:13:33,010] 其实啊一直看我直播的宝宝呢
[00:13:33,010 --> 00:13:35,110] 应该知道啊像她这个问题
[00:13:35,110 --> 00:13:36,950] 你哪怕是问我一万次
[00:13:36,950 --> 00:13:40,450] 一万次我都会给出来一致的答案
[00:13:40,450 --> 00:13:43,890] 那就是我一定会支持他先去留学
[00:13:43,890 --> 00:13:44,790] 为什么呢
[00:13:44,790 --> 00:13:45,150] 首先呢
[00:13:45,150 --> 00:13:46,070] 这里有几个问题
[00:13:46,070 --> 00:13:49,870] 第一个就是他其实是在一个理想主义的状态下
[00:13:49,870 --> 00:13:52,870] 在估算着他的这种收入的
[00:13:52,870 --> 00:13:55,990] 那么在他自己价值恒定不变的情况下啊
[00:13:55,990 --> 00:13:58,510] 我今年我一个月能挣十万
[00:13:58,510 --> 00:14:00,430] 我明年还一个月能挣十万
[00:14:00,430 --> 00:14:02,890] 我五年之后还能挣十万是吧
[00:14:02,890 --> 00:14:05,190] 那么在他的价值恒定不变的情况下
[00:14:05,190 --> 00:14:07,350] 仿佛算出来应该是这么一个数字
[00:14:07,750 --> 00:14:09,790] 但是从实际层面上来说呢
[00:14:09,790 --> 00:14:14,050] 如果说你现在啊早早的你也没有再去深造读书了
[00:14:14,050 --> 00:14:16,670] 然后到这个场域里面去泡着
[00:14:16,670 --> 00:14:21,630] 你的认知其实它是没有迭代没有提高的你也没有增加你自己的光环
[00:14:21,630 --> 00:14:27,730] 那么是不是你现在能拿10万一个月可能你五年之后就只能拿到两万一个月了呢
[00:14:27,730 --> 00:14:31,810] 因为你的年龄增长了然后大家对于你也审美疲劳了对不对
[00:14:31,810 --> 00:14:34,310] 你也不像現在是剛出來的一個香菠蘿
[00:14:34,310 --> 00:14:35,810] 對吧 可能你才19歲
[00:14:35,810 --> 00:14:37,650] 20歲你是個香菠蘿
[00:14:37,650 --> 00:14:39,110] 那大家願意給你一個月10萬
[00:14:39,110 --> 00:14:42,150] 所以這個呢 其實是有一點理想主義的
[00:14:42,150 --> 00:14:44,050] 那麼從現實層面上面來說
[00:14:44,050 --> 00:14:46,750] 如果說我們可以出國去留學
[00:14:46,750 --> 00:14:47,710] 留學的時候
[00:14:47,710 --> 00:14:50,450] 首先第一你給自己增加了認知
[00:14:50,450 --> 00:14:52,130] 然後開拓了眼界
[00:14:52,130 --> 00:14:54,190] 而且呢 你還為自己
[00:14:54,190 --> 00:14:56,170] 增加了很多很多的光環
[00:14:56,170 --> 00:14:58,350] 那麼這些東西首先第一點啊
[00:14:58,350 --> 00:15:01,670] 它當然可以用到你未來的這個雄勁的
[00:15:01,810 --> 00:15:04,390] 轨道当中去 首先它是一种可能性
[00:15:04,390 --> 00:15:06,970] 第二 就算是你不想雄近
[00:15:06,970 --> 00:15:10,550] 你说我未来我就要去找一个有钱的男人嫁了 是吧
[00:15:10,550 --> 00:15:12,750] 你说你去相亲 结婚
[00:15:12,750 --> 00:15:14,650] 那么你有这样的一种身份
[00:15:14,650 --> 00:15:16,470] 再加上你的年轻
[00:15:16,470 --> 00:15:19,610] 是不是你能够去撬动更高的
[00:15:19,610 --> 00:15:21,030] 这样那些婚姻关系呢
[00:15:21,030 --> 00:15:22,630] 那么这个又是一种可能性
[00:15:22,630 --> 00:15:24,630] 那我退一万步说
[00:15:24,630 --> 00:15:26,970] 我就算是最差最差最差的情况
[00:15:26,970 --> 00:15:29,010] 你说你去读了书以后
[00:15:29,010 --> 00:15:31,390] 然后你说我还是想干YC是吧
[00:15:31,390 --> 00:15:33,650] 這種當然我們不推崇
[00:15:33,650 --> 00:15:36,070] 但是呢就算是最差最差的這種情況
[00:15:36,070 --> 00:15:37,410] 我們可以想像一下
[00:15:37,410 --> 00:15:39,530] 當你有了這樣一些不一樣的認知
[00:15:39,530 --> 00:15:41,310] 還有關懷之後
[00:15:41,310 --> 00:15:44,830] 那麼你跟同樣的在幹YC的這些女孩子
[00:15:44,830 --> 00:15:48,790] 你是不是就有著非常明顯的一個核心競爭力了
[00:15:48,790 --> 00:15:50,550] 那麼這個時候很有可能你原來覺得
[00:15:50,550 --> 00:15:52,270] 我只能在這兒坑汁坑汁地幹
[00:15:52,270 --> 00:15:54,490] 我每年幹這麼多每年幹這麼多
[00:15:54,490 --> 00:15:55,370] 但是有可能
[00:15:55,970 --> 00:15:57,570] 因為你特別的優秀
[00:15:57,570 --> 00:15:58,750] 因為你特別的出彩
[00:15:58,750 --> 00:16:00,590] 再加上你依然是年輕的
[00:16:00,590 --> 00:16:02,070] 啊貌美的
[00:16:02,070 --> 00:16:05,930] 那麼你說不定就會遇到真正的伯樂
[00:16:05,930 --> 00:16:07,990] 也許你一年甚至兩年
[00:16:07,990 --> 00:16:11,130] 就能把現在他跟我說的這個什麼什麼五百萬
[00:16:11,130 --> 00:16:12,510] 這樣的一個數字給證出來
[00:16:12,510 --> 00:16:14,820] 那這種可能性是不是也非常之大呢
