[00:00:00,000 --> 00:00:03,640] Hello 大家好 欢迎回到我们亲贵的关系2.0的课堂
[00:03:12,260 --> 00:03:16,000] 我觉得那个就算是我居住体验当中
[00:03:16,000 --> 00:03:18,920] 非常非常恶劣的一段回忆了
[00:03:18,920 --> 00:03:21,660] 那看似呢我妈好像是在节约前
[00:03:21,660 --> 00:03:24,160] 既没有请调非常好的设计师
[00:03:24,160 --> 00:03:27,740] 也没有用所谓的非常好的这种装修团队
[00:03:27,740 --> 00:03:30,300] 好像他所有的东西都是自己去买的
[00:03:30,300 --> 00:03:31,580] 自己去用的
[00:03:31,580 --> 00:03:33,580] 中间商赚差价这件事
[00:03:33,580 --> 00:03:35,320] 仿佛在他身上没有发生
[00:03:35,320 --> 00:03:36,420] 可是呢
[00:03:36,420 --> 00:03:37,520] 最后的结果是
[00:03:37,520 --> 00:03:39,980] 因为中间一直在出现问题
[00:03:39,980 --> 00:03:41,700] 所以在一直不停的反攻
[00:03:41,700 --> 00:03:44,060] 然后最后导致他一直都在找我
[00:03:44,060 --> 00:03:44,640] 要钱
[00:03:44,640 --> 00:03:46,080] 然后我就一直都在给
[00:03:46,080 --> 00:03:47,800] 然后给完了以后又花掉了
[00:03:47,800 --> 00:03:49,380] 最后效果又没有做出来
[00:03:49,380 --> 00:03:51,060] 所以我们可以看到
[00:03:51,060 --> 00:03:54,760] 这其实不仅仅不是一个非常所谓的有性价比的选择
[00:03:54,760 --> 00:03:56,300] 反而是一种极大的浪费
[00:03:56,300 --> 00:03:57,660] 在这个之后呢
[00:03:57,660 --> 00:04:00,040] 我又在武汉买了一套房子
[00:04:00,040 --> 00:04:02,980] 那个时候我因为吃了第一次的亏啊
[00:04:02,980 --> 00:04:05,920] 所以呢我就坚决一定要找设计师
[00:04:05,920 --> 00:04:09,120] 我坚决要用专业的装修团队
[00:04:09,120 --> 00:04:09,840] 而且呢
[00:04:09,840 --> 00:04:13,240] 因为这件事情当时我还跟我的爸妈大吵一架
[00:04:13,240 --> 00:04:15,220] 就是因为他们依然要省钱
[00:04:15,220 --> 00:04:17,140] 依然还是想要自己弄
[00:04:17,140 --> 00:04:20,580] 然后坚决的反对我的建议
[00:04:20,580 --> 00:04:22,360] 我那个时候真的受不了
[00:04:22,360 --> 00:04:27,280] 我说我再一次如果说花掉了我所有的积蓄来买一套房子的时候
[00:04:27,280 --> 00:04:30,560] 我真的希望我未来住进这套房子的时候
[00:04:30,560 --> 00:04:32,880] 我每天都是想回家的
[00:04:32,880 --> 00:04:35,620] 我在这套房子里我不会感觉到丢人
[00:04:35,620 --> 00:04:38,640] 我还可以请各种各样的朋友来家里做客
[00:04:38,640 --> 00:04:44,640] 因为对于我来说房子也是一个非常非常重要有社交属性的一个地方
[00:04:45,260 --> 00:04:48,660] 所以呢我就一定坚持了按照我自己的想法
[00:04:48,660 --> 00:04:51,460] 找了相对的专业还有靠谱的人来做
[00:04:51,460 --> 00:04:55,060] 虽然说那个时候装修的房子没有说像现在
[00:04:55,060 --> 00:04:57,560] 所居住的房子一样多么多么的高大上
[00:04:57,560 --> 00:05:00,380] 但是呢 那是一个很有设计感
[00:05:00,380 --> 00:05:03,460] 然后也很温馨 很耐看的一个房子
[00:05:03,460 --> 00:05:07,320] 最后呢也是收获了我身边的亲朋好友的一致的好评的
[00:05:07,320 --> 00:05:10,660] 所以说大家真的不要为了便宜而买单
[00:05:10,660 --> 00:05:14,700] 我认为便宜和划算它不是画等号的
[00:05:14,700 --> 00:05:17,640] 便宜和值得更加不是画等号的
[00:05:17,640 --> 00:05:21,080] 我们很有可能会因为他的小便宜而吃大亏
[00:05:21,080 --> 00:05:22,180] 我再举个例子
[00:05:22,180 --> 00:05:23,580] 就是很多的公司呢
[00:05:23,580 --> 00:05:24,500] 在招聘的时候
[00:05:24,500 --> 00:05:26,740] 有一些HR或者是小老板
[00:05:26,740 --> 00:05:28,480] 他们会为了省钱
[00:05:28,480 --> 00:05:32,080] 一直一直不停的去招聘一些所谓的
[00:05:32,080 --> 00:05:34,120] 比如说大学刚毕业的毕业生啊
[00:05:34,120 --> 00:05:36,200] 然后一些成本更低的人
[00:05:36,200 --> 00:05:37,320] 可是呢
[00:05:37,320 --> 00:05:39,420] 看起来好像是节约成本了
[00:05:39,420 --> 00:05:40,860] 可是大家可以想想啊
[00:05:40,860 --> 00:05:42,620] 一个没有什么工作经验的
[00:05:42,620 --> 00:05:43,840] 刚刚毕业的一个人
[00:05:43,840 --> 00:05:46,780] 他到底能够有多少经验呢
[00:05:46,780 --> 00:05:51,340] 或者说它对于人与人之间的关系又有多少认知呢
[00:05:51,340 --> 00:05:53,880] 如果说你把一个项目交到他手上
[00:05:53,880 --> 00:05:58,880] 那么他必然会在执行的过程当中出现非常非常多的纰漏
[00:05:58,880 --> 00:06:01,540] 进而呢 折损了客户的满意度
[00:06:01,540 --> 00:06:03,940] 而一旦客户的满意度降低了
[00:06:03,940 --> 00:06:07,040] 实际上其实就是对于客户的一种损伤
[00:06:07,040 --> 00:06:12,160] 那么他们对于我们这家公司的整个的心理感受就会变差
[00:06:12,160 --> 00:06:15,580] 那么对于我们未来想要去做自己的品牌议价
[00:06:15,580 --> 00:06:18,880] 也是非常非常的有损伤的一件事情
[00:06:18,880 --> 00:06:22,920] 那么这个呢看起来好像也是用了更少的一个用人成本
[00:06:22,920 --> 00:06:24,780] 但从最终的结果上来看
[00:06:24,780 --> 00:06:26,940] 其实也是亏损的
[00:06:26,940 --> 00:06:28,180] 所以我认为啊
[00:06:28,180 --> 00:06:31,320] 所有的那些可以做大做强的企业创始人
[00:06:31,320 --> 00:06:35,080] 一定都是倾向于去选择一些更优秀的
[00:06:35,080 --> 00:06:36,140] 更优质的人
[00:06:36,140 --> 00:06:40,740] 一定是更加愿意去选择那些被市场验证过的人才
[00:06:40,740 --> 00:06:43,300] 虽然说这个人才可能看起来会贵一点
[00:06:43,300 --> 00:06:46,360] 但是在任何一个项目推进的过程当中
[00:06:46,360 --> 00:06:49,620] 他都能够给出真正的有建设性的建议
[00:06:49,620 --> 00:06:52,040] 而且能够实现好的效果
[00:06:52,040 --> 00:06:54,820] 它能给客户带来更好的埋度
[00:06:54,820 --> 00:06:59,580] 那么它一定是给公司做整个的加持的
[00:07:00,260 --> 00:07:03,520] 那这个价值反而能够更加轻易的
[00:07:03,520 --> 00:07:06,500] cover掉这个人的用人成本
[00:07:06,500 --> 00:07:09,260] 所以说有的时候大家不要看表面上的账
[00:07:09,260 --> 00:07:12,740] 也不要只看当下我付出的金额的多与少
[00:07:12,740 --> 00:07:19,520] 而是要想到我用了这个人之后后续能够为公司带来的效益是多少
[00:07:19,520 --> 00:07:22,640] 那么无论是后续的效果还是说客户的满意度
[00:07:22,640 --> 00:07:26,360] 我们一定要把这些东西全部都核算进来
[00:07:26,360 --> 00:07:28,980] 这样才是真正的精打细算
[00:07:28,980 --> 00:07:31,760] 才能真正做出更高性价比的选择
[00:07:31,760 --> 00:07:32,760] 那我再举一个例子
[00:07:32,760 --> 00:07:34,500] 就是之前有一个女生来跟我联麦
[00:07:34,500 --> 00:07:38,620] 她就问我说她是否可以考虑去出国留学
[00:07:38,620 --> 00:07:40,280] 但是她想到哪里去呢
[00:07:40,280 --> 00:07:42,220] 她说她考虑去东南亚留学
[00:07:43,020 --> 00:07:45,960] 那么东南亚留学他为什么会选择呢
[00:07:45,960 --> 00:07:50,200] 是因为他认为这个国家的价钱比较便宜
[00:07:50,200 --> 00:07:52,480] 那么我这个时候就会觉得说
[00:07:52,480 --> 00:07:54,920] 那你留学到底是为什么呢 是不是
[00:07:54,920 --> 00:07:58,540] 你要么就是为了学习一些真的很领先的
[00:07:58,540 --> 00:08:00,300] 这样一些知识认知
[00:08:00,300 --> 00:08:03,920] 或者说你想要去结交一些更有价值的人脉 对吗
[00:08:03,920 --> 00:08:06,820] 可是如果说你选择东南亚国家
[00:08:06,820 --> 00:08:09,000] 你这个时间是耗费进去了
[00:08:09,000 --> 00:08:10,840] 虽然说学费比较便宜
[00:08:10,840 --> 00:08:13,540] 但是不管怎么样还是得花钱
[00:08:13,540 --> 00:08:15,340] 如果说你又花了这个钱
[00:08:15,340 --> 00:08:16,720] 又花了这个时间
[00:08:16,720 --> 00:08:17,880] 但是呢
[00:08:17,880 --> 00:08:20,420] 既没有得到更有价值的人脉
[00:08:20,420 --> 00:08:21,960] 同时也没有学习到
[00:08:21,960 --> 00:08:24,720] 这个世界上更超前的这样一些知识
[00:08:24,720 --> 00:08:25,880] 那么本质上来说
[00:08:25,880 --> 00:08:29,600] 不就是对于你自己时间和精力的一种浪费吗
[00:08:29,600 --> 00:08:30,480] 对于他来说
[00:08:30,480 --> 00:08:32,720] 可能他只会觉得选择一个便宜点的学校
[00:08:32,720 --> 00:08:34,220] 是不是更有性价比
[00:08:34,220 --> 00:08:37,160] 那实际上他只考虑了价格这一个维度
[00:08:37,160 --> 00:08:38,980] 那这个呢是远远不够的
[00:08:38,980 --> 00:08:39,940] 如果是我的话
[00:08:39,940 --> 00:08:42,180] 我就会更加倾向于去思考
[00:08:42,180 --> 00:08:44,320] 环境去思考地理位置
[00:08:44,320 --> 00:08:47,140] 去思考这所学校里的优秀的人
[00:08:47,140 --> 00:08:49,980] 或者说富有的人够不够多
[00:08:49,980 --> 00:08:52,340] 那我就会告诉他们说
[00:08:52,340 --> 00:08:54,160] 哪里有钱人多
[00:08:54,160 --> 00:08:55,800] 你就要去哪里
[00:08:55,800 --> 00:08:57,580] 我认为去有钱人多的地方
[00:08:57,580 --> 00:09:00,160] 或者说去金钱聚集的更多的地方
[00:09:00,160 --> 00:09:04,080] 它是更有助于你未来挣到钱的
[00:09:04,080 --> 00:09:05,520] 所以呢 还是那句话
[00:09:05,520 --> 00:09:07,560] 便宜不是真的有性价比
[00:09:07,560 --> 00:09:09,880] 我们也不要仅仅因为一件事情
[00:09:09,880 --> 00:09:12,220] 便宜而去参与这件事情
[00:09:12,220 --> 00:09:15,580] 因为一个产品便宜而去购买一个产品
[00:09:15,580 --> 00:09:17,240] 本质上这还是一种浪费
[00:09:17,240 --> 00:09:19,120] 我们再来看第二个误区啊
[00:09:19,120 --> 00:09:21,360] 就是超前消费
[00:09:21,360 --> 00:09:24,720] 这个呢其实也是很多人经常会犯的一个错误
[00:09:24,720 --> 00:09:29,140] 他们会花超出自己能力范围内的这个钱啊
[00:09:29,140 --> 00:09:33,720] 我认为年轻人一定是一定要警惕这样的消费习惯
[00:09:33,720 --> 00:09:36,800] 尽量不要超前消费和过度消费
[00:09:36,800 --> 00:09:37,500] 不然呢
[00:09:37,500 --> 00:09:42,220] 你很容易在未来有一天不断不断的入不附出的时候
[00:09:42,220 --> 00:09:45,500] 可能就会葬送自己的大好青春
[00:09:45,500 --> 00:09:48,780] 甚至于会走上一条诈骗的道路
[00:09:48,780 --> 00:09:51,320] 当你一直处在入不附出的状态里
[00:09:51,320 --> 00:09:53,580] 同时又有着欠债的压力的时候
[00:09:53,580 --> 00:09:56,180] 你就很容易去思考一件什么事
[00:09:56,180 --> 00:10:00,240] 就是如何更快速的搞到钱
[00:10:00,240 --> 00:10:04,640] 而一旦这种思维在你的脑子里去深耕发芽之后
[00:10:04,640 --> 00:10:07,080] 是很有可能让自己见走偏锋的
[00:10:07,080 --> 00:10:12,720] 就好像是我看到很多很多的搞这个比如说猪猪盘的啊
[00:10:12,720 --> 00:10:14,460] 或者是搞P2P的人啊
[00:10:14,460 --> 00:10:18,020] 其实他们都会用很超额的钱来包装自己
[00:10:18,020 --> 00:10:21,060] 他们要么呢喜欢穿着一身名牌啊
[00:10:21,060 --> 00:10:23,320] 来骗人感情
[00:10:23,320 --> 00:10:26,800] 要么呢就是租非常非常豪华的办公室
[00:10:26,800 --> 00:10:30,560] 啊开着劳斯莱斯然后呢让你把钱交给他理财
[00:10:30,560 --> 00:10:33,200] 那其实呢这个就是一种恶性循环
[00:10:33,200 --> 00:10:34,640] 越是过度的包装
[00:10:34,640 --> 00:10:37,760] 可能越意味着他的目的是单纯的
[00:10:37,760 --> 00:10:40,120] 可能就是为了去骗取你的信任
[00:10:40,120 --> 00:10:41,420] 然后以小博大
[00:10:41,420 --> 00:10:41,920] 所以呢
[00:10:41,920 --> 00:10:45,500] 我是非常非常的不建议大家去用什么
[00:10:45,500 --> 00:10:47,460] 这个杯那个杯啊
[00:10:47,460 --> 00:10:49,260] 或者是这个袋那个袋啊
[00:10:49,260 --> 00:10:50,200] 大家可以想想看
[00:10:50,200 --> 00:10:51,960] 如果说我们去创业
[00:10:51,960 --> 00:10:54,740] 其实呢我们是从零开始起步的
[00:10:54,740 --> 00:10:56,480] 从平地往上干
[00:10:56,480 --> 00:10:57,740] 从没有到有
[00:10:57,740 --> 00:10:59,480] 我认为这个相对来说
[00:10:59,480 --> 00:11:02,940] 它还是一个没有那么困难的选项
[00:11:02,940 --> 00:11:04,780] 我认为只要你往上走
[00:11:04,780 --> 00:11:07,020] 那么它无非是赚多赚少的一个问题
[00:11:07,020 --> 00:11:11,720] 可是如果你现在把自己整成了一个负债状态
[00:11:11,720 --> 00:11:13,880] 一上来就是一个坑
[00:11:13,880 --> 00:11:17,360] 那么我们从坑里头再往上爬
[00:11:17,360 --> 00:11:21,920] 在自己的认知能力还有人脉等等方方面面的
[00:11:21,920 --> 00:11:24,100] 水平都达不到的情况下
[00:11:24,100 --> 00:11:26,640] 你说我从坑里头往上爬
[00:11:26,640 --> 00:11:28,520] 从负债到有钱
[00:11:28,520 --> 00:11:30,000] 你说这得多费劲
[00:11:30,000 --> 00:11:32,000] 你得承受多大的心理考验
[00:11:32,000 --> 00:11:34,360] 那我在之前的课程里面呢也讲过
[00:11:34,360 --> 00:11:38,300] 我曾经在美国留学的那段时间其实是经历了
[00:11:38,300 --> 00:11:41,220] 我人生当中最大的一次经济危机的
[00:11:41,220 --> 00:11:43,120] 那其中有一个核心原因
[00:11:43,120 --> 00:11:47,860] 就是因为前面我贷了款然后去投资了
[00:11:47,860 --> 00:11:51,840] 当时呢其实是在我的一个朋友的建议之下啊
[00:11:51,840 --> 00:11:53,760] 然后呢跟着他一起
[00:11:53,760 --> 00:11:58,260] 并且呢用了他的背书去贷款了200万
[00:11:58,260 --> 00:12:00,520] 然后等到美国留学的时候呢
[00:12:00,520 --> 00:12:05,040] 我最后的一笔贷款是一次性要偿还掉140多万的
[00:12:05,040 --> 00:12:09,140] 所以导致我的现金流一下子变得非常非常的短缺
[00:12:09,140 --> 00:12:11,540] 根本就没有办法一下就还上
[00:12:11,540 --> 00:12:16,860] 所以那个时候呢让我的整个情绪陷入到了一个大崩溃的一个状态当中
[00:12:16,860 --> 00:12:18,600] 每天晚上都会睡不着觉
[00:12:18,600 --> 00:12:21,100] 一想到这件事情就无比的焦虑
[00:12:21,100 --> 00:12:24,680] 因为我特别特别在乎自己的信誉 名誉
[00:12:24,680 --> 00:12:27,660] 我很害怕自己进入银行系统的失禁名单
[00:12:27,660 --> 00:12:31,080] 最后呢大家也知道我是耗费了多大的心力
[00:12:31,080 --> 00:12:34,040] 才从那样的一场危机当中给熬过来了啊
[00:12:34,040 --> 00:12:36,980] 所以说呢我是希望大家尽量不要让自己
[00:12:36,980 --> 00:12:39,260] 陷入到这种巨大的困境当中
[00:12:39,260 --> 00:12:41,520] 我们的人生就算不做家法
[00:12:41,520 --> 00:12:42,600] 不做惩罚
[00:12:42,600 --> 00:12:46,180] 但是呢我们也不要让自己不停的去做减法和除法
[00:12:46,180 --> 00:12:48,720] 那作为普通的老百姓来说啊
[00:12:48,720 --> 00:12:51,200] 我希望大家能够少一点的笃信
[00:12:51,200 --> 00:12:53,100] 做一些风险更低的事情
[00:12:53,100 --> 00:12:56,880] 那么宁愿花更多的时间去学习
[00:12:56,880 --> 00:12:59,480] 去完成基础的财富积累
[00:12:59,480 --> 00:13:02,460] 也不要让自己一下子陷到一个大坑
[00:13:02,460 --> 00:13:05,020] 然后导致心态的崩塌
[00:13:05,020 --> 00:13:07,800] 我认为有正能量的这种心力
[00:13:07,800 --> 00:13:11,400] 才有可能让我们把所有的事情做得更顺
[00:13:11,400 --> 00:13:13,800] 以上呢就是我在讲花钱的时候
[00:13:13,800 --> 00:13:16,620] 大家一定要警惕的两个误区
[00:13:16,620 --> 00:13:19,500] 那么接下来呢我再来说一说如何做到
[00:13:19,500 --> 00:13:21,520] 越花越有
[00:13:21,520 --> 00:13:24,280] 首先呢大家要记住一句很核心的话
[00:13:24,280 --> 00:13:29,560] 那就是富人都在投资,穷人都在消费
[00:13:29,560 --> 00:13:31,400] 如果说你想要变得富有
[00:13:31,400 --> 00:13:33,800] 那么我们就要想尽一切办法
[00:13:33,800 --> 00:13:40,420] 把我们花的每一次的钱都尽量变成投资思维
[00:13:40,420 --> 00:13:43,540] 那么投资和消费到底有什么区别呢
[00:13:43,860 --> 00:13:47,860] 可能在很多金融学家或者说在经济学家的眼里
[00:13:47,860 --> 00:13:50,180] 有特别特别严谨的一些分类
[00:13:50,180 --> 00:13:51,620] 但是作为普通人呢
[00:13:51,620 --> 00:13:53,600] 我认为大家记住一点就可以了
[00:13:53,600 --> 00:13:56,740] 那就是看你花出去的这笔钱
[00:13:56,740 --> 00:14:01,240] 会不会反过来帮你赚到更多的钱
[00:14:01,240 --> 00:14:02,920] 如果说你花了一笔钱
[00:14:02,920 --> 00:14:07,300] 除了是快感还有虚荣等等的这些精神价值以外
[00:14:07,300 --> 00:14:12,200] 没有给你带来人脉上的资源上的财富上的
[00:14:12,200 --> 00:14:14,360] 或者智慧上的这种增长
[00:14:14,360 --> 00:14:17,220] 那么这笔钱它就叫纯消费
[00:14:17,220 --> 00:14:19,200] 相反如果你花了一笔钱
[00:14:19,200 --> 00:14:23,260] 虽然当下也许你没有立竿见影的看到你的财富增长
[00:14:23,260 --> 00:14:27,500] 但是你因此而结实了更佳佣这个人脉
[00:14:27,500 --> 00:14:29,280] 进入了更高的圈子
[00:14:29,280 --> 00:14:32,240] 或者拥有了更加高微的谈资等等
[00:14:32,240 --> 00:14:34,720] 那么这笔钱它也是在投资
[00:14:34,720 --> 00:14:36,020] 比如说很多女生她买包
[00:14:36,020 --> 00:14:36,820] 她是因为什么
[00:14:36,820 --> 00:14:38,500] 她可能觉得这个包好看
[00:14:38,500 --> 00:14:40,840] 或者说我觉得可以拿出去
[00:14:40,840 --> 00:14:43,040] 跟我的同学同事去炫耀
[00:14:43,040 --> 00:14:44,440] 或者说我就是跟风
[00:14:44,440 --> 00:14:45,560] 我看到别人买了
[00:14:45,560 --> 00:14:46,340] 我也想买
[00:14:46,860 --> 00:14:49,560] 但是我买包肯定不是这个样子的
[00:14:49,560 --> 00:14:50,840] 我在买包的时候
[00:14:50,840 --> 00:14:54,140] 其实是抱着非常非常明确的目的的
[00:14:54,140 --> 00:14:58,340] 要么呢就是我为了感受这种高消费的文化
[00:14:58,340 --> 00:15:00,520] 还有高消费的这种场域
[00:15:00,520 --> 00:15:03,400] 从而让我在服务高消费的人群的时候
[00:15:03,400 --> 00:15:05,900] 有一个更加精准的手感
[00:15:05,900 --> 00:15:08,220] 它也能够提高我的服务细节
[00:15:08,220 --> 00:15:11,560] 还有我在办活动的时候也可以有一些借鉴
[00:15:11,560 --> 00:15:15,800] 那么能够提高我为富人去办活动的这样一些品质
[00:15:15,800 --> 00:15:18,620] 要么呢我就是为了链接高端的人群
[00:15:18,620 --> 00:15:20,620] 因为这样的一个包拎出去的时候呢
[00:15:20,620 --> 00:15:27,180] 它能够降低对方识别我的实力的这样的一个成本和过程
[00:15:27,180 --> 00:15:31,640] 我可以快速的让对方看到我的消费层级和财富水平
[00:15:31,640 --> 00:15:33,180] 甚至于那当然了
[00:15:33,180 --> 00:15:34,260] 我会买阿玛士的包
[00:15:34,260 --> 00:15:36,200] 当然还有一个很重要的原因是因为
[00:15:36,200 --> 00:15:39,300] 它里面是有一种这种保值
[00:15:39,300 --> 00:15:41,960] 甚至是增值的这样一种属性的
[00:15:41,960 --> 00:15:45,960] 所以说我买它的包不是说买完了就结束了
[00:15:45,960 --> 00:15:49,260] 而是我看重的是消费完了这笔钱之后
[00:15:49,260 --> 00:15:53,720] 那么这笔钱还会在后续为我产生一些隐性的价值
[00:15:53,720 --> 00:15:57,520] 否则的话呢我就不会花这么多的钱去干这件事
[00:15:57,520 --> 00:16:01,420] 所以在我看来我买包并不是一个纯粹的消费行为
[00:16:01,420 --> 00:16:04,100] 而是一种学习和投资行为
[00:16:04,100 --> 00:16:08,620] 那具体而言呢我们要如何把我们每一次花钱的动作
[00:16:08,620 --> 00:16:11,180] 都尽可能变成投资属性呢
[00:16:11,720 --> 00:16:14,320] 那在这里我给大家分享三个思路啊
[00:16:14,320 --> 00:16:17,400] 就是让大家多投资少消费
[00:16:17,400 --> 00:16:19,920] 第一呢就是思考要迭代
[00:16:19,920 --> 00:16:24,080] 我们说投资和消费的区别往往不在于你买什么
[00:16:24,080 --> 00:16:27,900] 而是在于你买这个东西的过程当中
[00:16:27,900 --> 00:16:29,740] 你有没有动脑子
[00:16:29,740 --> 00:16:32,140] 在花钱的时候你有没有去思考
[00:16:32,140 --> 00:16:34,680] 我花这笔钱的目的是什么
[00:16:34,680 --> 00:16:37,260] 我为什么被这个产品而打动
[00:16:37,260 --> 00:16:40,880] 或者说我在做这笔花钱的动作的时候
[00:16:40,880 --> 00:16:44,520] 我是被这个销售的哪一句话
[00:16:44,520 --> 00:16:47,560] 或者哪个动作提高了我的购买欲
[00:16:47,560 --> 00:16:51,660] 这个产品能不能帮助我去撬动更多的人
[00:16:51,660 --> 00:16:53,520] 买更好的资源
[00:16:53,520 --> 00:16:56,020] 或者说我能不能把这个产品
[00:16:56,020 --> 00:17:00,380] 或者我购买这个产品的过程变成我的谈资
[00:17:00,380 --> 00:17:03,020] 那么你思考的越多就越有可能
[00:17:03,020 --> 00:17:06,860] 在这一次花钱的过程当中得到更多的回报
[00:17:06,860 --> 00:17:08,040] 我举个例子
[00:17:08,040 --> 00:17:10,300] 当我在买爱马仕的包的时候
[00:17:10,300 --> 00:17:13,000] 其实得到过非常非常多的灵感
[00:17:13,000 --> 00:17:14,900] 因为我在买包的过程当中
[00:17:14,900 --> 00:17:19,300] 首先呢我有思考出很多高端人群的消费心理
[00:17:19,300 --> 00:17:21,520] 比如说在高端人群的眼里
[00:17:21,520 --> 00:17:24,280] 越难得到的东西就会越珍惜
