[00:00:00,000 --> 00:00:01,620] 今天这节课啊
[00:01:02,540 --> 00:01:04,680] 還有一些做支付費的國主也是這樣
[00:01:04,680 --> 00:01:06,780] 他覺得只要一開線下課
[00:01:06,780 --> 00:01:10,280] 好像一場活動就能有比較可觀的一個現金流
[00:01:10,280 --> 00:01:13,180] 所以呢他們每個月都會不斷的去開課
[00:01:13,180 --> 00:01:14,680] 我就不會這麼幹
[00:01:14,680 --> 00:01:15,540] 為什麼呢
[00:01:15,540 --> 00:01:16,540] 因為我發現啊
[00:01:16,540 --> 00:01:19,220] 這樣做生意其實會非常的疲憊
[00:01:19,220 --> 00:01:23,980] 而且呢會沒有學習和成長的時間和空間
[00:01:23,980 --> 00:01:25,760] 這樣的商業模式在我看來呢
[00:01:25,760 --> 00:01:27,020] 它是不夠高級的
[00:01:27,640 --> 00:01:28,780] 就比如說啊
[00:01:28,780 --> 00:01:31,600] 我們在做深圳的這個變現課的時候
[00:01:31,600 --> 00:01:33,580] 大家知道我們兩天的時間
[00:01:33,580 --> 00:01:36,860] 是做了差不多八百多萬的一個業績
[00:01:36,860 --> 00:01:39,120] 但是呢我幹完這場之後
[00:01:39,120 --> 00:01:40,720] 我就說說不幹就不幹了
[00:01:41,300 --> 00:01:42,140] 為什麼啊
[00:01:42,140 --> 00:01:43,020] 大家想想看
[00:01:43,020 --> 00:01:44,660] 這個成績丟出來
[00:01:44,660 --> 00:01:46,420] 所有的人都會覺得
[00:01:46,420 --> 00:01:50,080] 哇塞你們幹線下課好賺錢吶是吧
[00:01:50,080 --> 00:01:51,460] 如果這麼能掙錢的話
[00:01:51,460 --> 00:01:52,880] 大部分的人肯定他都認為
[00:01:52,880 --> 00:01:55,260] 那你每個月就應該都開線下課呀
[00:01:55,260 --> 00:01:58,920] 当时包括我们公司的其他的小伙伴还有我的CEO
[00:01:58,920 --> 00:02:01,140] 他们也都是这么来思考这个问题的
[00:02:01,140 --> 00:02:04,380] 我还记得在我深圳办完这个限价课之后呢
[00:02:04,380 --> 00:02:06,540] 当时我就跟我的CEO在聊天了
[00:02:06,540 --> 00:02:08,320] 他整个人非常非常的兴奋
[00:02:08,320 --> 00:02:09,720] 我呢就很淡定
[00:02:09,720 --> 00:02:10,920] 他就跑来问我
[00:02:10,920 --> 00:02:11,760] 他说老板
[00:02:11,760 --> 00:02:13,580] 哎你高不高兴啊
[00:02:13,580 --> 00:02:14,800] 我说高兴什么
[00:02:14,800 --> 00:02:17,080] 他说这么赚钱啊
[00:02:17,080 --> 00:02:19,580] 两天啊就能干八百多万啊
[00:02:19,580 --> 00:02:20,460] 他说还干不
[00:02:20,460 --> 00:02:23,320] 结果没想到我当时就跟他说我说不干了
[00:02:23,820 --> 00:02:25,960] 那個時候呢他就特別的失望
[00:02:25,960 --> 00:02:29,160] 因為在他的概念裡他認為兩天能幹這麼多錢
[00:02:29,160 --> 00:02:32,040] 那我就應該經常幹 常常幹
[00:02:32,040 --> 00:02:34,940] 他覺得我一定是會給他一個肯定性的答覆的
[00:02:35,540 --> 00:02:37,400] 但是呢後來我就跟他講
[00:02:37,400 --> 00:02:40,280] 我說這個錢真的是我們兩天掙的嗎
[00:02:40,280 --> 00:02:43,340] 實際上我們為了這一場線下的課程
[00:02:43,340 --> 00:02:45,720] 我們前面至少鋪墊了有三個月
[00:02:45,720 --> 00:02:48,220] 而且呢我們是有業務的主體的
[00:02:48,220 --> 00:02:49,760] 我們是有諮詢的業務啊
[00:02:49,760 --> 00:02:52,000] 閨蜜聯盟的業務啊 課程的業務啊
[00:02:52,000 --> 00:02:56,340] 我们其实整个团队他在做自己的主营业务的时候
[00:02:56,340 --> 00:02:58,820] 他已经付出了很多的时间跟精力
[00:02:58,820 --> 00:03:02,160] 可是就因为我们要单独办这样的一场现下课
[00:03:02,160 --> 00:03:06,200] 那么他们其实是需要抽出自己的一部分的时间精力
[00:03:06,200 --> 00:03:08,660] 用到这个新的项目上面来的
[00:03:08,660 --> 00:03:11,940] 除此以外你看我在做这两天的现下课的时候
[00:03:11,940 --> 00:03:13,640] 我在上面站了那么长时间
[00:03:14,140 --> 00:03:15,520] 非常非常的辛苦
[00:03:15,520 --> 00:03:17,140] 而且其实那个时候大家都不知道
[00:03:17,140 --> 00:03:19,340] 我已经有宝宝在肚子里了
[00:03:19,340 --> 00:03:21,120] 其实我都没有跟任何人讲啊
[00:03:21,120 --> 00:03:24,260] 我在上面是兩天穿著這麼高的高跟鞋
[00:03:24,260 --> 00:03:27,960] 在上面站著為了給大家一個最好的一個狀態的呈現
[00:03:27,960 --> 00:03:30,640] 所以這種辛苦我們只有自己心裡清楚
[00:03:30,640 --> 00:03:34,660] 那在我看來呢這個是大家都在壓縮自己的時間
[00:03:34,660 --> 00:03:40,380] 或者說壓榨自己的勞動力和精力來增加這樣的一個變現
[00:03:40,380 --> 00:03:41,720] 這個是他的邏輯
[00:03:41,720 --> 00:03:43,600] 那在我看來這個叫什麼叫
[00:03:43,600 --> 00:03:45,460] 幹的越多 正的越多
[00:03:45,460 --> 00:03:47,680] 但我覺得幹的越多 正的越多
[00:03:47,680 --> 00:03:50,740] 它叫合情合理 理所應當
[00:03:50,740 --> 00:03:53,520] 這有什麼好去額外的高興的呢
[00:03:53,520 --> 00:03:56,720] 我覺得這個都應該是在我們的預料之內的一個事情
[00:03:56,720 --> 00:03:58,640] 所以說它是應該的
[00:03:58,640 --> 00:04:03,040] 那麼在我看來這個其實它本質上就是一種高級的賣白菜
[00:04:03,040 --> 00:04:05,000] 賣一顆白菜掙一顆白菜的錢
[00:04:05,000 --> 00:04:07,640] 賣兩顆白菜掙兩顆白菜的錢
[00:04:07,640 --> 00:04:11,360] 那麼這件事情其實它叫多勞多得
[00:04:11,360 --> 00:04:12,900] 沿著這個思路走的話
[00:04:12,900 --> 00:04:14,960] 在我看來其實掙再多的錢
[00:04:14,960 --> 00:04:20,040] 你都沒有讓你的整個的商業運為邏輯變得更加的高級
[00:04:20,040 --> 00:04:21,840] 那么到最后它会是什么
[00:04:21,840 --> 00:04:25,040] 它会是我永远都需要花更多的时间
[00:04:25,040 --> 00:04:26,640] 花更多的精力
[00:04:26,640 --> 00:04:29,100] 找更多的人来
[00:04:29,100 --> 00:04:30,960] 试图挣越来越多的钱
[00:04:30,960 --> 00:04:33,700] 那么我们就会把自己捲得越来越疲惫
[00:04:33,700 --> 00:04:36,800] 那么虽然呢大家挣这个钱很开心啊
[00:04:36,800 --> 00:04:38,700] 有好的现金流也很开心
[00:04:38,700 --> 00:04:41,340] 但是真正值得开心的应该是什么
[00:04:41,340 --> 00:04:42,600] 我认为应该是
[00:04:42,600 --> 00:04:44,980] 如果我只是花同等的精力
[00:04:44,980 --> 00:04:46,280] 同等时间
[00:04:46,280 --> 00:04:48,880] 甚至于花更少的精力
[00:04:48,880 --> 00:04:53,320] 更少的时间还能拿到更大的结果
[00:04:53,320 --> 00:04:56,860] 并且我还能够把更多的时间跟精力拿去思考
[00:04:56,860 --> 00:05:00,380] 做其他的四两拨千斤的这种事情
[00:05:00,380 --> 00:05:04,760] 我认为这个才叫逐渐趋向高级的商业模式
[00:05:04,760 --> 00:05:07,980] 那这个呢也就是咱们今天的课程的主题
[00:05:07,980 --> 00:05:10,660] 我们要学会找到杠杆
[00:05:10,660 --> 00:05:12,600] 不要追求多劳多得
[00:05:12,600 --> 00:05:14,420] 而要追求不劳而获
[00:05:14,420 --> 00:05:18,100] 要用更少的时间和精力追求更大的结果
[00:05:18,100 --> 00:05:20,740] 甚至是追求被動收入
[00:05:20,740 --> 00:05:22,520] 稅後收入的增長
[00:05:22,520 --> 00:05:25,120] 也就是說即使有一天我不勞動了
[00:05:25,120 --> 00:05:29,300] 可是我的收入依然會有一個非常穩健的成長狀態
[00:05:29,300 --> 00:05:32,820] 那麼具體來說我們要怎麼找到槓桿呢
[00:05:32,820 --> 00:05:36,980] 我把槓桿分成了內部槓桿和外部槓桿
[00:05:36,980 --> 00:05:39,700] 外部槓桿就是宏觀上外界上
[00:05:39,700 --> 00:05:43,040] 能夠幫助你來提高效率的事物
[00:05:43,040 --> 00:05:46,160] 內部槓桿就是通過咱們的精力的分配
[00:05:46,160 --> 00:05:49,280] 體系的設計來提升效率的手段
[00:05:49,280 --> 00:05:51,640] 我們先來說這個外部槓桿
[00:05:51,640 --> 00:05:53,780] 那外部槓桿呢有兩個我認為
[00:05:53,780 --> 00:05:55,500] 非常常見的槓桿
[00:05:55,500 --> 00:05:57,680] 一個叫趨勢槓桿
[00:05:57,680 --> 00:06:00,060] 一個叫程式槓桿
[00:06:00,060 --> 00:06:02,280] 我們先來看趨勢槓桿
[00:06:02,280 --> 00:06:04,780] 人呢是一定要跟著趨勢走
[00:06:04,780 --> 00:06:06,420] 如果人不跟著趨勢走
[00:06:06,420 --> 00:06:08,100] 你再牛也沒有用
[00:06:08,100 --> 00:06:10,940] 當你看到這個世界的發展的變化
[00:06:10,940 --> 00:06:12,260] 看到了趨勢
[00:06:12,260 --> 00:06:15,780] 看到大家都在談論某個新興事物的時候
[00:06:15,780 --> 00:06:20,600] 如果你膽子大一點 能夠率先出來做出調整
[00:06:20,600 --> 00:06:22,300] 實則是要不了多長時間
[00:06:22,300 --> 00:06:25,600] 我覺得兩三年的時間你就會優於其他的人
[00:06:25,600 --> 00:06:27,020] 你們看這個周洪一
[00:06:27,020 --> 00:06:28,740] 他是不是在企業家裡
[00:06:28,740 --> 00:06:31,080] 其實就是第一波出來做網紅的
[00:06:31,080 --> 00:06:33,040] 其他的企業家都在把自己端著
[00:06:33,040 --> 00:06:35,280] 但是你看他 他出來做網紅的時候
[00:06:35,280 --> 00:06:37,660] 他的流量非常非常的大 對吧
[00:06:37,660 --> 00:06:39,880] 為了自己的人工智能的企業
[00:06:39,880 --> 00:06:43,000] 省下了無數的營銷費用
[00:06:43,000 --> 00:06:44,820] 你們想想看這麼大的老闆
[00:06:44,820 --> 00:06:46,340] 都敢衝出來做網紅
[00:06:46,340 --> 00:06:47,120] 像這樣的人
[00:06:47,120 --> 00:06:50,260] 他就是一個總是能夠抓住時代風口的人
[00:06:50,260 --> 00:06:51,980] 你說他不成功 誰成功
[00:06:51,980 --> 00:06:53,160] 我講到這裡呢
[00:06:53,160 --> 00:06:54,640] 很多寶寶應該都理解
[00:06:54,640 --> 00:06:57,460] 我們要追風口 追趨勢
[00:06:57,460 --> 00:06:59,300] 其實這是非常簡單的道理
[00:06:59,300 --> 00:07:00,020] 但是呢
[00:07:00,020 --> 00:07:01,120] 我們說來簡單
[00:07:01,120 --> 00:07:02,620] 我們卻未必能做得到
[00:07:02,620 --> 00:07:04,340] 因為每一個人呢
[00:07:04,340 --> 00:07:07,080] 都會有很多的卡點還有內耗
[00:07:07,080 --> 00:07:07,840] 那接下來呢
[00:07:07,840 --> 00:07:08,720] 我會給大家分享
[00:07:08,720 --> 00:07:11,020] 三個尋求趨勢槓桿時
[00:07:11,020 --> 00:07:12,960] 應該有的正確心態
[00:07:12,960 --> 00:07:14,700] 幫助大家破除內耗
[00:07:14,700 --> 00:07:15,840] 用好杠杆
[00:07:15,840 --> 00:07:19,820] 第一呢就是不要被沉默成本所綁架
[00:07:20,500 --> 00:07:24,920] 其實很多人呢他都會被行業啊被自己
[00:07:24,920 --> 00:07:27,960] 原有的業務體系溫水煮青蛙
[00:07:27,960 --> 00:07:32,280] 就是這個行業明明已經肉眼可見的在走下坡路
[00:07:32,280 --> 00:07:36,100] 或者說這個技能即將被這個時代所淘汰
[00:07:36,100 --> 00:07:39,980] 但是他們卻捨不得自己曾經打下的這片江山
[00:07:39,980 --> 00:07:41,420] 我跟大家打個比方啊
[00:07:41,420 --> 00:07:44,380] 因為我呢原來是從傳統媒體出身的
[00:07:44,380 --> 00:07:46,780] 后来呢才进入到了自媒体赛道
[00:07:46,780 --> 00:07:51,120] 大家知道啊我前几年在做自媒体的时候当时是个什么感觉吗
[00:07:51,560 --> 00:07:54,460] 就那个时候传统媒体的一些大咖
[00:07:54,460 --> 00:07:55,660] 大马
[00:07:55,660 --> 00:07:56,800] 大主播
[00:07:56,800 --> 00:07:59,260] 特别瞧不上我们这个行业
[00:07:59,260 --> 00:08:03,040] 那个时候呢他们认为把网络主播称为主播
[00:08:03,040 --> 00:08:06,040] 是对主播这两个字的一种蟹毒
[00:08:06,040 --> 00:08:09,940] 我甚至还看过一些传统的新闻主播啊
[00:08:09,940 --> 00:08:11,520] 在发朋友圈的时候说
[00:08:11,520 --> 00:08:15,140] 現在是個人就敢出來說自己是主播了
[00:08:15,140 --> 00:08:17,120] 這裡面充滿著蔑視啊
[00:08:17,640 --> 00:08:18,800] 因為以前呢
[00:08:18,800 --> 00:08:22,380] 電視台裡邊的那些主播他們其實是非常的有光環的
[00:08:22,380 --> 00:08:25,080] 首先呢他肯定是半個鐵飯碗 對吧
[00:08:25,080 --> 00:08:27,800] 然後呢他們也很有社會影響力
[00:08:27,800 --> 00:08:32,560] 而且呢電視媒體廣告那個時候的營收金額其實是非常大的
[00:08:32,560 --> 00:08:37,100] 以前要去請這些傳統媒體的主播出去代言費用也是非常高的
[00:08:37,580 --> 00:08:40,620] 那個時候的流量啊基本就聚集在傳統媒體
[00:08:40,620 --> 00:08:43,620] 所以傳統媒體能夠收到很高的廣告費用
[00:08:43,620 --> 00:08:47,020] 那麼主播順其自然也能拿到更高的薪酬
[00:08:47,580 --> 00:08:49,700] 可是你們看這麼幾年發展過來
[00:08:49,700 --> 00:08:51,780] 還有那麼多的大廠
[00:08:51,780 --> 00:08:54,580] 去給電視媒體投廣告嗎
[00:08:55,120 --> 00:08:56,660] 這些傳統媒體的主播
[00:08:56,660 --> 00:09:00,220] 還有辦法拿到那麼高的出場費和代言費用嗎
[00:09:00,720 --> 00:09:04,940] 他們還能夠享有那個時候的流量和知名度嗎
[00:09:05,560 --> 00:09:06,860] 以前他們家喻戶曉
[00:09:06,860 --> 00:09:10,080] 但是現在很明顯他們的流量供給不足
[00:09:10,080 --> 00:09:13,300] 所以整體的社會位置在下降
[00:09:13,300 --> 00:09:14,860] 但是我就不一樣
[00:09:14,860 --> 00:09:18,040] 我以前在傳統媒體裡頭其實扎根不深
[00:09:18,040 --> 00:09:21,100] 我那個時候待了可能也就兩年左右的時間
[00:09:21,100 --> 00:09:22,460] 我先是做新聞
[00:09:22,460 --> 00:09:25,300] 後來又去做了電影 做汽車
[00:09:25,300 --> 00:09:29,160] 但當時其實我也只是一個非常邊緣化的小角色
[00:09:29,160 --> 00:09:31,740] 後來被空降部隊給擠出來了
[00:09:31,740 --> 00:09:35,060] 這個故事大家應該在我的書裡頭也有所耳聞
[00:09:35,060 --> 00:09:36,880] 電影類汽車類的這個節目
[00:09:36,880 --> 00:09:39,600] 它也基本上屬於是電視台的外包節目
[00:09:39,600 --> 00:09:41,580] 它不屬於是電視台內部的
[00:09:41,580 --> 00:09:44,760] 其實就是給那些私人的那些老闆做節目
[00:09:44,760 --> 00:09:47,580] 所以我在傳統媒體其實紮根不深
[00:09:47,580 --> 00:09:51,080] 也因此我在做新媒體自媒體的時候
[00:09:51,080 --> 00:09:53,140] 其實是沒有任何內耗的
[00:09:53,140 --> 00:09:54,880] 我只是覺得自媒體對於我來說
[00:09:54,880 --> 00:09:56,660] 它是一個很好的機會
[00:09:56,660 --> 00:09:59,260] 所以我一下子就能夠入局到
[00:09:59,260 --> 00:10:00,920] 這樣的一個新興的賽道裡頭
[00:10:00,920 --> 00:10:02,680] 並且做了彎道超車
[00:10:02,680 --> 00:10:05,140] 其實任何一個行業任何一個賽道
[00:10:05,140 --> 00:10:08,280] 它都會經歷這樣的一些變革時期
[00:10:08,280 --> 00:10:10,920] 就好像很多傳統製造業的工廠
[00:10:10,920 --> 00:10:13,060] 在互聯網電商興起的時候
[00:10:13,060 --> 00:10:15,080] 也沒有去擁抱互聯網
[00:10:15,080 --> 00:10:16,740] 沒有去擁抱電商
[00:10:16,740 --> 00:10:17,720] 那當時呢
[00:10:17,720 --> 00:10:20,640] 他們是因為覺得自己的銷路是沒有問題的
[00:10:20,640 --> 00:10:23,700] 可是等到互聯網電商全部起來之後
[00:10:23,700 --> 00:10:27,800] 基本上就把傳統工廠的銷路給堵死了
[00:10:27,800 --> 00:10:28,720] 這個時候
[00:10:28,720 --> 00:10:31,760] 你才想著再去向電商轉型
[00:10:31,760 --> 00:10:32,300] 可是呢
[00:10:32,300 --> 00:10:34,060] 你已經很晚了
[00:10:34,060 --> 00:10:36,500] 所以它就會變得非常艱難
[00:10:36,500 --> 00:10:38,060] 那麼我們的結論是什麼呢
[00:10:38,060 --> 00:10:43,940] 也就是當你已經感知到好像這個事兒未來的趨勢有點不太對勁了
[00:10:43,940 --> 00:10:46,920] 會不會走下坡路了的那一瞬間
[00:10:46,920 --> 00:10:50,820] 那麼你們就一定要堅定不移的踏出這一步
[00:10:50,820 --> 00:10:55,500] 向這個未知的有風險的領域去摘入頭角
[00:10:55,500 --> 00:10:58,920] 只有這樣你才有可能抓住這個趨勢槓桿
[00:10:58,920 --> 00:10:59,980] 然後起飛
[00:10:59,980 --> 00:11:03,960] 第二就是永遠不要害怕入局太晚
[00:11:03,960 --> 00:11:05,620] 我做自媒體五年了
[00:11:05,620 --> 00:11:09,720] 每一年都會有人問現在做自媒體是不是沒有機會了
[00:11:09,720 --> 00:11:12,420] 現在是不是沒有自媒體的紅利了
[00:11:12,420 --> 00:11:16,380] 那我給大家講個笑話就是5年前我在做的時候
[00:11:16,380 --> 00:11:18,820] 其實大家那個時候已經說
[00:11:18,820 --> 00:11:20,300] 抖音沒有機會了
[00:11:21,020 --> 00:11:22,240] 可能現在你們不相信
[00:11:22,240 --> 00:11:24,420] 但確實在我那個時候起步的時候
[00:11:24,420 --> 00:11:26,900] 我耳朵裡聽到的就是這樣的聲音
[00:11:26,900 --> 00:11:29,800] 你們知道那個時候我是怎麼思考這個問題的嗎
[00:11:29,800 --> 00:11:30,760] 就是我想
[00:11:30,760 --> 00:11:33,360] 我曾經啊在05年的時候
[00:11:33,360 --> 00:11:34,980] 我就註冊了淘寶
[00:11:34,980 --> 00:11:36,600] 我還在上面買過衣服
[00:11:36,600 --> 00:11:38,240] 05年哦
[00:11:38,240 --> 00:11:39,880] 當時就是我記得阿里巴巴
[00:11:39,880 --> 00:11:41,620] 他天天在電視上面打廣告
[00:11:41,620 --> 00:11:43,500] 我們那個時候買衣服呢
[00:11:43,500 --> 00:11:46,580] 是在這個淘寶的網站上啊
[00:11:46,580 --> 00:11:48,280] 看到了喜歡的好看的
[00:11:48,280 --> 00:11:50,360] 然後呢就跟賣家打電話
[00:11:50,360 --> 00:11:53,160] 根本就沒有所謂的線上下單這個功能
[00:11:53,160 --> 00:11:54,140] 打完電話以後
[00:11:54,140 --> 00:11:56,680] 我還要跟這個賣家去面對面交易
[00:11:56,680 --> 00:11:59,100] 我還記得我買的第一件東西
[00:11:59,100 --> 00:12:00,700] 是一件白色的斗篷
[00:12:00,700 --> 00:12:03,220] 當時在我的那個初中門口
[00:12:03,220 --> 00:12:04,320] 有一個電話停
[00:12:04,320 --> 00:12:08,600] 然后我在那个电话亭跟那个时候的卖家进行了一次交易
[00:12:08,600 --> 00:12:09,800] 我现场把钱给他
[00:12:09,800 --> 00:12:10,760] 然后他把衣服给我
[00:12:10,760 --> 00:12:14,900] 其实那可以看到我是属于最早最早的淘宝用户了
[00:12:14,900 --> 00:12:18,620] 而且我还在淘宝上其实注册过一个店
[00:12:18,620 --> 00:12:22,560] 但是那个时候压根就没有想着真的去把这个事做成一个什么生意
[00:12:22,560 --> 00:12:23,600] 只是觉得好玩
[00:12:24,100 --> 00:12:26,840] 你们想想看我05年就能用淘宝
[00:12:26,840 --> 00:12:29,820] 那个其实就是所谓的分口所谓的趋势
[00:12:29,820 --> 00:12:31,220] 你说我看见了吗
[00:12:31,220 --> 00:12:32,160] 我看见了
[00:12:32,160 --> 00:12:33,400] 可是我抓住了吗
[00:12:33,400 --> 00:12:34,320] 我沒有抓住
[00:12:34,320 --> 00:12:36,620] 到15年的時候你們知道
[00:12:36,620 --> 00:12:40,080] 那個時候已經有多少人都在唱衰淘寶了
[00:12:40,080 --> 00:12:41,360] 可是我們今天再來看
[00:12:41,360 --> 00:12:43,640] 15年的時候淘寶能做嗎
[00:12:43,640 --> 00:12:45,080] 顯然可以做
[00:12:45,080 --> 00:12:47,260] 是直到2020年之後
[00:12:47,260 --> 00:12:49,420] 抖音的整個趨勢起來了
[00:12:49,420 --> 00:12:52,440] 然後才把這個淘寶的整體的
[00:12:52,440 --> 00:12:54,000] 趨勢往下打了一點
[00:12:54,000 --> 00:12:56,820] 那個時候這個風口才算差不多過去
[00:12:56,820 --> 00:12:58,580] 所以我想告訴大家的是
[00:12:58,580 --> 00:13:00,620] 當所有人都在說
[00:13:00,620 --> 00:13:03,840] 這件事已經沒得玩了 進不去了的時候
[00:13:04,400 --> 00:13:07,340] 其實你還是有很大的機會的
[00:13:07,340 --> 00:13:12,000] 因為當這件事真的已經成為了涼涼的風口的時候
[00:13:12,000 --> 00:13:14,920] 就沒有人再會去探討它了
[00:13:14,920 --> 00:13:17,740] 你們看今天還會有人天天在聊
[00:13:17,740 --> 00:13:19,600] 淘寶有沒有機會做嗎
[00:13:19,600 --> 00:13:21,740] 已經沒有什麼人去聊這個話題了
[00:13:21,740 --> 00:13:22,120] 對不對
[00:13:22,120 --> 00:13:24,340] 所以大家可以看到啊
[00:13:24,340 --> 00:13:25,580] 如果有人經常在說
[00:13:25,580 --> 00:13:26,760] 哎這件事幹不了
[00:13:26,760 --> 00:13:28,860] 這件事進不去了 晚了
[00:13:28,860 --> 00:13:31,780] 其實本質上是因為他沒幹明白
[00:13:31,780 --> 00:13:34,500] 他自己對這個體系他不清晰
[00:13:34,500 --> 00:13:35,960] 所以呢他是不是幹不了呢
[00:13:35,960 --> 00:13:37,940] 要不然就是可能他已經幹出來了
[00:13:37,940 --> 00:13:39,840] 他不想讓你玩 是吧
[00:13:39,840 --> 00:13:41,600] 要不然就是他壓根就看不懂
[00:13:41,600 --> 00:13:44,340] 所以只要還有人討論
[00:13:44,340 --> 00:13:46,120] 只要還有人再發出疑問
[00:13:46,120 --> 00:13:48,620] 那麼這個時候就不要怕入局了
[00:13:48,620 --> 00:13:49,800] 不要怕沒有機會
[00:13:49,800 --> 00:13:51,440] 我再給大家舉個小例子啊
[00:13:51,440 --> 00:13:54,800] 就是我原本呢起過一個抖音的小號
[00:13:54,800 --> 00:13:56,500] 叫做曲曲之招
[00:13:56,500 --> 00:13:58,620] 大家知道我原來大號叫曲曲大女人
[00:13:58,620 --> 00:14:01,500] 後來呢我在做曲曲之召那個時候
[00:14:01,500 --> 00:14:03,500] 其實是所有人都在說
[00:14:03,500 --> 00:14:06,220] 現在0粉起號已經不可能了
[00:14:06,960 --> 00:14:10,060] 所有人都在講說不投流是沒有粉絲的
[00:14:10,060 --> 00:14:12,240] 但實際上別說做短視頻了
[00:14:12,240 --> 00:14:13,380] 哪怕直播啊
[00:14:13,380 --> 00:14:14,400] 我到今天為止
[00:14:14,400 --> 00:14:17,660] 我們還沒有開始在平台上投過流
[00:14:18,120 --> 00:14:21,380] 希望各位平台的老闆不要看到我的視頻啊
[00:14:21,380 --> 00:14:23,120] 那麼所以呢還是一句話
[00:14:23,120 --> 00:14:25,000] 大多數人呢不是沒有機會
[00:14:25,000 --> 00:14:26,680] 他是在怕入局太晚
[00:14:26,680 --> 00:14:28,440] 事實證明後來曲曲之召這個號
[00:14:28,440 --> 00:14:30,340] 我一做 他就爆掉了
[00:14:30,340 --> 00:14:33,580] 我基本上條條視頻都是爆款視頻
[00:14:33,580 --> 00:14:37,460] 第三 就是不要害怕錯過分口
[00:14:37,460 --> 00:14:39,580] 很多人呢 他又會走到另外一個極端
[00:14:39,580 --> 00:14:41,140] 說因為他們想要賺快錢
[00:14:41,140 --> 00:14:45,460] 想要在一年還是兩年之內就進行財富的月簽
[00:14:45,460 --> 00:14:48,260] 三年我要賺到一輩子的錢
[00:14:48,260 --> 00:14:50,300] 所以呢 我一旦抓住了一個分口
[00:14:50,300 --> 00:14:53,000] 就要把後面所有的錢全部賺乾淨
[00:14:53,000 --> 00:14:54,640] 那之後我就可以玩了
[00:14:54,640 --> 00:14:56,780] 我就可以眼睛閉上了 耳朵關上了
[00:14:56,780 --> 00:14:58,180] 好幾十年都跟我沒有關係了
[00:14:58,180 --> 00:14:59,340] 那麼這一撥人呢
[00:14:59,340 --> 00:15:00,940] 他們就會陷入到一個狀態裡頭
[00:15:00,940 --> 00:15:01,700] 就是你會發現
[00:15:01,700 --> 00:15:04,420] 他非常非常的壓榨自己
[00:15:04,420 --> 00:15:05,700] 你們知道有些老闆
[00:15:05,700 --> 00:15:07,760] 他們在唱一種口號叫做
[00:15:07,760 --> 00:15:09,820] 只要幹不死就往死裡幹
[00:15:09,820 --> 00:15:11,700] 這個口號是我在自媒體這個行業
[00:15:11,700 --> 00:15:13,860] 聽得最多最多的一個口號
[00:15:13,860 --> 00:15:16,040] 那他們就會把自己弄得
[00:15:16,040 --> 00:15:17,420] 無比的疲憊
[00:15:17,420 --> 00:15:18,300] 無比的累
[00:15:18,300 --> 00:15:20,040] 而且很有可能他們的動作
[00:15:20,040 --> 00:15:21,860] 會非常非常的變形
[00:15:21,860 --> 00:15:23,100] 所以呢在我這裡
[00:15:23,100 --> 00:15:24,840] 我就不是這麼看待這個問題的
[00:15:24,840 --> 00:15:26,560] 因為我想說
[00:15:26,560 --> 00:15:28,780] 封口絕不是只有一次
[00:15:28,780 --> 00:15:31,880] 哪怕我們今天可能也就三十來歲的年紀
[00:15:31,880 --> 00:15:35,320] 可是大家說在過去的這三十年的時間裡面
[00:15:35,320 --> 00:15:37,000] 你們想一想
