[00:00:00,000 --> 00:00:01,780] 哈喽宝子们大家好
[00:03:12,430 --> 00:03:14,070] 如果你觉得价格太贵
[00:03:14,070 --> 00:03:15,510] 那么你可以再观望一下
[00:03:15,510 --> 00:03:18,630] 你也可以选择不买或者你去其他地方看看
[00:03:18,630 --> 00:03:22,790] 因为这个市场上比我便宜的永远都是大有人在的
[00:03:23,920 --> 00:03:25,860] 好那这个呢就是我所说的第一点
[00:03:25,860 --> 00:03:27,600] 客群决定价格
[00:03:27,600 --> 00:03:29,460] 价格筛选客群
[00:03:32,010 --> 00:03:35,030] 好那第二点呢就是销量
[00:03:35,030 --> 00:03:36,490] 这个非常好理解
[00:03:36,490 --> 00:03:39,910] 如果你想要这个产品卖给很多很多的人
[00:03:39,910 --> 00:03:42,970] 那么你的价格呢可能就要定的相对低一点
[00:03:42,970 --> 00:03:45,470] 如果你不是想卖给那么多的人
[00:03:45,470 --> 00:03:48,470] 你是想卖给一个小众一点的群体
[00:03:48,470 --> 00:03:51,430] 那么你的价格就可以定的高一点
[00:03:51,970 --> 00:03:54,050] 就好像啊 农夫山泉
[00:03:54,050 --> 00:03:57,630] 他是不是就是要卖给绝大多数的中国人的
[00:03:57,630 --> 00:04:00,670] 所以呢 他的定价大概就在两块钱一瓶
[00:04:00,670 --> 00:04:03,150] 再比如说像我们闺蜜联盟这个产品
[00:04:03,150 --> 00:04:05,610] 在一开始的时候我就是卖了10万块
[00:04:05,610 --> 00:04:07,850] 啊 9万9千8是吧
[00:04:07,850 --> 00:04:10,190] 我自己交付一年的情感咨询
[00:04:10,190 --> 00:04:11,930] 当时之所以这么去设计
[00:04:11,930 --> 00:04:13,470] 其实就是为了让大家
[00:04:13,470 --> 00:04:15,970] 多去找我们的1V1导师来咨询
[00:04:15,970 --> 00:04:19,350] 而不是每个人都挤到这边来找我咨询
[00:04:19,350 --> 00:04:21,730] 所以呢是为了把我的价格
[00:04:21,730 --> 00:04:24,210] 跟我下面团队的1V1老师的价格
[00:04:24,210 --> 00:04:26,030] 去拉开很大的一个差距
[00:04:26,030 --> 00:04:29,530] 这样呢就能够更好的去释放我的时间和精力
[00:04:29,530 --> 00:04:31,170] 也让我的整个导师团队
[00:04:31,170 --> 00:04:33,010] 他们的业务量能够多起来
[00:04:33,010 --> 00:04:35,070] 那到现在呢我们的闺蜜联盟的价格
[00:04:35,070 --> 00:04:37,970] 已经涨到了19万9千8的一个价格
[00:04:37,970 --> 00:04:39,110] 其实也是一样的
[00:04:39,110 --> 00:04:42,330] 我也是不想让那么多的人进来以后
[00:04:42,330 --> 00:04:47,050] 對閨蜜聯盟的定位和標籤啊產生太大的這個影響
[00:04:47,050 --> 00:04:53,290] 所以呢我對於閨蜜聯盟這個產品的定位它就是打造全國甚至是全球
[00:04:54,090 --> 00:04:57,030] 最高質量的女性社群
[00:04:57,030 --> 00:05:03,050] 那麼我只想要那一群最向上的最有錢的或者說最認同我的人來購買它
[00:05:03,050 --> 00:05:06,070] 那麼我就會進一步的去漲價和提高門檻
[00:05:06,640 --> 00:05:11,600] 好 那這個呢就是我們所說的第二點啊 根據預期的銷量來倒推你的定價
[00:05:13,680 --> 00:05:16,700] 那第三个定价的策略呢就是成本
[00:05:16,700 --> 00:05:18,020] 那这个其实很好理解
[00:05:18,020 --> 00:05:20,360] 就是你总不能做亏本的生意吧
[00:05:20,360 --> 00:05:22,720] 当然了像我们这样的做知识付费的呀
[00:05:22,720 --> 00:05:24,200] 或者说做咨询啊
[00:05:24,200 --> 00:05:25,900] 或者说做自媒体行业的呢
[00:05:25,900 --> 00:05:27,940] 他可能相对来说会比较特殊
[00:05:27,940 --> 00:05:31,100] 因为我们卖的并不是一个实体的产品
[00:05:31,100 --> 00:05:31,880] 是吧啊
[00:05:31,880 --> 00:05:33,680] 你说这个原材料要多少钱啊
[00:05:33,680 --> 00:05:35,180] 那个原材料多少钱
[00:05:35,180 --> 00:05:37,720] 所以呢他会省去很大的一笔
[00:05:37,720 --> 00:05:40,160] 所谓的这个食物成本的费用
[00:05:40,160 --> 00:05:42,300] 但是呢你在刚起步的时候
[00:05:42,300 --> 00:05:45,040] 你每天總要吃總要喝吧
[00:05:45,040 --> 00:05:46,580] 你要用房租吧
[00:05:46,580 --> 00:05:47,450] 水電費吧
[00:05:47,860 --> 00:05:50,300] 這些基礎成本還是要算進來的
[00:05:50,300 --> 00:05:51,240] 但是這裡呢
[00:05:51,240 --> 00:05:55,920] 我也給賣這種類似於服務類的產品的朋友們一個小建議
[00:05:55,920 --> 00:05:57,540] 就是你的定價呢
[00:05:57,540 --> 00:06:01,700] 我覺得至少要是你的成本的三倍往上
[00:06:01,700 --> 00:06:04,620] 那這樣的既能夠保障利潤的同時呢
[00:06:04,620 --> 00:06:06,740] 也能夠因為我們有足夠的利潤
[00:06:06,740 --> 00:06:11,520] 那麼在將來你想要去調整你的整個團隊的大的架構的時候
[00:06:11,520 --> 00:06:14,120] 比如说近更多的人来用的时候
[00:06:14,120 --> 00:06:17,500] 那么你也能够去储备一些用人的成本
[00:06:17,500 --> 00:06:18,260] 在这个里头
[00:06:18,260 --> 00:06:20,640] 你能够做的事情就会越多
[00:06:21,160 --> 00:06:22,500] 另外关于成本
[00:06:22,500 --> 00:06:24,560] 我也做两个小小的延伸
[00:06:24,560 --> 00:06:26,640] 第一个是初创期
[00:06:26,640 --> 00:06:29,080] 不用太考虑时间成本
[00:06:29,080 --> 00:06:30,620] 我觉得比起创业者
[00:06:30,620 --> 00:06:35,040] 其实打工人是更需要去计算他的时间成本的
[00:06:35,580 --> 00:06:36,800] 因为打工人要计算
[00:06:36,800 --> 00:06:38,520] 在同等的时间之内
[00:06:38,520 --> 00:06:40,860] 哪一家公司拿的钱更多
[00:06:40,860 --> 00:06:45,850] 然后选择那个我能够投入产出比更高的公司
[00:06:46,300 --> 00:06:47,940] 但是创业者不太一样
[00:06:47,940 --> 00:06:49,760] 你之所以选择创业
[00:06:49,760 --> 00:06:53,160] 之所以选择这个行业这个项目
[00:06:53,160 --> 00:06:54,980] 往往是因为你在这方面
[00:06:54,980 --> 00:06:56,880] 比如说有信念感
[00:06:56,880 --> 00:06:58,780] 有专业 有热爱
[00:06:58,780 --> 00:07:00,740] 甚至你是有一些
[00:07:00,740 --> 00:07:03,840] 不走常规路的想法在里头的 对吧
[00:07:03,840 --> 00:07:06,220] 所以这个时候如果你还要计算说
[00:07:06,220 --> 00:07:07,380] 哎呀 我有这个时间
[00:07:07,380 --> 00:07:08,780] 我还不如去搞别的
[00:07:08,780 --> 00:07:10,120] 那这样就没有意义了
[00:07:10,120 --> 00:07:12,660] 因为创业是一定要all in的
[00:07:12,660 --> 00:07:16,140] 拿出全部的时间跟精力都投入进来
[00:07:16,140 --> 00:07:18,140] 才有可能开花结果
[00:07:18,140 --> 00:07:22,100] 我们一定是抱着一个不成功变成人的态度去创业
[00:07:22,100 --> 00:07:23,600] 否则的话那么多人创业
[00:07:23,600 --> 00:07:25,480] 凭什么你成功呢 对不对
[00:07:25,480 --> 00:07:26,400] 好 那后期呢
[00:07:26,400 --> 00:07:28,200] 当我们形成了规模了之后
[00:07:28,200 --> 00:07:29,140] 要转型了
[00:07:29,140 --> 00:07:31,160] 或者说是开拓新的项目了
[00:07:31,160 --> 00:07:34,580] 你这个时候才应该再去考虑时间成本
[00:07:34,580 --> 00:07:38,220] 因为你有很多很多的项目可以去选择的时候
[00:07:38,220 --> 00:07:39,980] 那么我们就要去考虑说
[00:07:39,980 --> 00:07:43,500] 同等的时间投入到哪个项目上
[00:07:43,500 --> 00:07:46,520] 它的产出比是最合适的就可以了
[00:07:46,520 --> 00:07:48,500] 在初创期 摸索期
[00:07:48,500 --> 00:07:50,960] 不要有太多的杂念和想法
[00:07:50,960 --> 00:07:52,220] 不要动摇自己
[00:07:52,220 --> 00:07:54,200] 一定要全身心的投入
[00:07:54,920 --> 00:07:57,360] 第二就是尽量我们要去选择
[00:07:57,360 --> 00:08:01,160] 成本低一些 毛利高一些的赛道
[00:08:01,160 --> 00:08:03,040] 在很多传统型的行业
[00:08:03,040 --> 00:08:06,080] 毛利率可能就只有10%到20%
[00:08:06,080 --> 00:08:08,400] 甚至有的只有百分之几
[00:08:08,400 --> 00:08:12,780] 而对于他们来说甚至都已经觉得算高利润了
[00:08:12,780 --> 00:08:15,840] 可能一年听起来很吓人 营收几个亿
[00:08:16,280 --> 00:08:19,520] 但是最后毛利率算下来只有几百万
[00:08:20,040 --> 00:08:23,100] 然后他还要大量的什么人工的成本
[00:08:23,100 --> 00:08:25,720] 厂房的成本 土地的成本等等
[00:08:25,720 --> 00:08:27,960] 那这样的行业虽然说
[00:08:27,960 --> 00:08:30,380] 对于我们整个国家的经济发展来说
[00:08:30,380 --> 00:08:32,160] 它也是非常重要的
[00:08:32,160 --> 00:08:36,820] 但是我还是会建议大家如果有选择的情况下
[00:08:36,820 --> 00:08:38,200] 作为一个创业者
[00:08:38,200 --> 00:08:40,780] 我们尽量能够去选择那些
[00:08:40,780 --> 00:08:42,220] 编辑成本更低
[00:08:42,220 --> 00:08:45,880] 甚至于无限的趋近于零的这样一些赛道
[00:08:45,880 --> 00:08:47,920] 除了我们所说的自媒体以外
[00:08:47,920 --> 00:08:50,840] 比如说像麦肯西这样的商业咨询什么的
[00:08:50,840 --> 00:08:52,620] 他们也是这个样子的
[00:08:55,530 --> 00:08:55,790] 好
[00:08:55,790 --> 00:08:58,270] 那第四就是影响力
[00:08:58,270 --> 00:09:00,210] 我在网上看到很多人都说
[00:09:00,210 --> 00:09:01,470] 在刚起步的时候
[00:09:01,470 --> 00:09:03,930] 产品价格一定要定的很贵
[00:09:03,930 --> 00:09:06,070] 因为他们觉得本来你的客户就少
[00:09:06,070 --> 00:09:07,990] 如果说你的价格再定的不贵的话
[00:09:07,990 --> 00:09:10,870] 可能你最后就拿不到什么现金收入
[00:09:10,870 --> 00:09:13,590] 但是我呢 其实不是这么看的
[00:09:13,590 --> 00:09:17,570] 我会觉得在你的影响力和知名度都没有那么大的时候呢
[00:09:17,570 --> 00:09:21,270] 我们要相对来说去定一个比较低一点的价格
[00:09:21,270 --> 00:09:22,750] 那理由呢有三个
[00:09:22,750 --> 00:09:25,750] 第一个呢是为了保障你的收入
[00:09:25,750 --> 00:09:27,990] 如果说都没有几个人知道你
[00:09:27,990 --> 00:09:30,550] 然后你的价格还无比的高
[00:09:30,550 --> 00:09:34,430] 那么你很有可能是一单都卖不出去的
[00:09:34,430 --> 00:09:36,950] 那我们总不能让自己饿死吧 对不对
[00:09:36,950 --> 00:09:40,210] 所以很多人的创业初期他之所以失败呀
[00:09:40,210 --> 00:09:43,630] 都是因为他没有足够的现金流
[00:09:43,630 --> 00:09:46,550] 来支撑自己创业的信心
[00:09:47,070 --> 00:09:50,550] 所以一开始呢我们要先来保销量
[00:09:50,550 --> 00:09:53,530] 保销量的目的其实就是让我能够有一个
[00:09:53,530 --> 00:09:56,890] 起码我能挣到让我自己体面生活的一个钱
[00:09:56,890 --> 00:09:58,250] 这个是很重要的
[00:09:58,250 --> 00:10:00,810] 第二个呢就是要收集案例
[00:10:00,810 --> 00:10:02,550] 很多的宝宝会有一个误区
[00:10:02,550 --> 00:10:05,370] 他们就觉得说我要做高端人群
[00:10:05,370 --> 00:10:08,550] 所以我一上来就要定很高的价格
[00:10:08,550 --> 00:10:10,570] 这个其实是不对的
[00:10:10,570 --> 00:10:12,790] 因为你的正面案例不够
[00:10:12,790 --> 00:10:13,690] 你的正面案例不够
[00:10:13,690 --> 00:10:15,070] 你没有积累
[00:10:15,070 --> 00:10:17,070] 那么你就没有事能
[00:10:17,070 --> 00:10:20,670] 你的定价自然就不足以让客户去信服
[00:10:20,670 --> 00:10:23,470] 你在没有取得客户的正面案例的时候
[00:10:23,470 --> 00:10:25,090] 外面那些没有付费的客户
[00:10:25,090 --> 00:10:25,570] 他看着你
[00:10:25,570 --> 00:10:27,850] 他觉得你凭什么低这个价格
[00:10:27,850 --> 00:10:28,990] 你是谁呀
[00:10:28,990 --> 00:10:29,890] 你哪位呀
[00:10:29,890 --> 00:10:30,550] 对不对
[00:10:30,550 --> 00:10:32,430] 他们在刚起步的时候
[00:10:32,430 --> 00:10:35,110] 我们为什么要把价格定的稍微低一点
[00:10:35,110 --> 00:10:41,390] 是為了能夠讓我們有一個累積正面案例和正反饋的這麼一個時間
[00:10:41,390 --> 00:10:45,970] 然後轉化成你日後可以對外宣傳的素材
[00:10:46,000 --> 00:10:51,080] 只有在你不斷的服務和宣傳的過程當中形成了正向的循環
[00:10:51,080 --> 00:10:53,500] 那麼你的影響力才會越來越大
[00:10:53,500 --> 00:10:55,300] 當你真正的有影響力了
[00:10:55,300 --> 00:10:57,420] 有了客戶的口碑了以後
[00:10:57,420 --> 00:10:59,180] 你再去漲價
[00:10:59,180 --> 00:11:01,760] 那麼才會是合情合理的
[00:11:01,760 --> 00:11:03,600] 第三就是降低預期
[00:11:03,600 --> 00:11:05,980] 当你的定价相对来说比较低的时候
[00:11:05,980 --> 00:11:08,540] 或者说你的价格对于目标客户来说
[00:11:08,540 --> 00:11:09,780] 并不敏感的时候
[00:11:09,780 --> 00:11:12,140] 他们付费就会觉得说
[00:11:12,140 --> 00:11:13,960] 我反正就付了这么点钱
[00:11:13,960 --> 00:11:14,420] 是吧
[00:11:14,420 --> 00:11:18,040] 压根也不会对你真的有特别大的预期
[00:11:18,040 --> 00:11:19,640] 面对这样的客户
[00:11:19,640 --> 00:11:23,000] 它就不容易产生那么多的客诉
[00:11:23,000 --> 00:11:26,940] 能够保证你的口碑和生意的持续发展
[00:11:26,940 --> 00:11:31,640] 其实我一开始也是做过比较低客单价的产品的
[00:11:31,640 --> 00:11:38,300] 我的第一单情感咨询是500块钱一个小时的电话沟通
[00:11:38,300 --> 00:11:42,020] 后面是随着知名度和影响力的越来越大
[00:11:42,020 --> 00:11:44,380] 然后我的产品才不断的迭代
[00:11:44,380 --> 00:11:46,140] 价格才慢慢升上去的
[00:11:46,700 --> 00:11:49,260] 所以当你还没有那么高的知名度的时候
[00:11:49,260 --> 00:11:51,720] 可以先定个低一点的价格
[00:11:51,720 --> 00:11:54,900] 再慢慢的去迭代你的产品调整你的价格
[00:11:54,900 --> 00:11:56,000] 但是大家也要注意
[00:11:56,000 --> 00:11:59,140] 很多人他又会跑到另外一个极端
[00:11:59,140 --> 00:12:02,940] 那就是当他用低价一旦打开了市场和销量之后
[00:12:02,940 --> 00:12:08,520] 他又不敢去舍弃原来的这一套产品体系和定价体系
[00:12:08,520 --> 00:12:10,620] 然后去寻求更高价位的客户
[00:12:10,620 --> 00:12:12,460] 因为他在那一刻他会很害怕
[00:12:12,460 --> 00:12:15,760] 一旦我的价格体系发生了很大变动之后
[00:12:15,760 --> 00:12:17,720] 我的客户就不买单了
[00:12:17,720 --> 00:12:20,640] 其实我自己曾经是有过这样的心态的
[00:12:20,640 --> 00:12:24,440] 就是刚才我提到我当初做闺蜜联盟这个产品的时候
[00:12:24,440 --> 00:12:28,460] 就是為了把我自己從非常繁瑣的
[00:12:28,460 --> 00:12:32,120] 日復一日的這樣的一V一諮詢當中摘出去
[00:12:32,120 --> 00:12:34,680] 那那個時候我是非常糾結的
[00:12:34,680 --> 00:12:39,140] 因為我已經靠當時的那個產品體系賺到了比較多的錢了
[00:12:39,920 --> 00:12:46,060] 然後我的諮詢交付就是我整個產品體系當中的一個最大的支柱
[00:12:46,060 --> 00:12:47,960] 如果說那個時候讓我去斷捨離
[00:12:47,960 --> 00:12:52,280] 然後去追求一個有可能賣不動的一個產品
[00:12:52,280 --> 00:12:55,620] 其实是非常地反人性的一个事情
[00:12:55,620 --> 00:12:56,800] 可是没有办法
[00:12:56,800 --> 00:12:59,980] 因为我知道有一件事情我是必须干的
[00:12:59,980 --> 00:13:01,360] 什么是我必须干的
[00:13:01,360 --> 00:13:05,260] 就是我必须要去扩大我的业务规模
[00:13:05,260 --> 00:13:08,500] 如果说我始终把自己拽在这个产品体系里头
[00:13:08,500 --> 00:13:09,880] 拽在做交付里头
[00:13:09,880 --> 00:13:13,920] 那么我永远都没有办法去做更大规模的业务
[00:13:13,920 --> 00:13:15,520] 所以我必须向上
[00:13:15,520 --> 00:13:20,280] 然后必须让我自己去链接更为高端的圈层
[00:13:20,280 --> 00:13:22,200] 结交更为优质的人群
[00:13:22,280 --> 00:13:25,960] 那么我才能在这个过程当中不断的做意识迭代
[00:13:25,960 --> 00:13:29,300] 再反过来反补我的整个服务体系
[00:13:29,300 --> 00:13:31,500] 所以我现在要送给大家四个字
[00:13:31,500 --> 00:13:33,440] 叫能屈能伸
[00:13:33,440 --> 00:13:35,840] 我们可以用低价先来打开市场
[00:13:35,840 --> 00:13:37,200] 这个叫能屈
[00:13:37,200 --> 00:13:39,640] 然后再用高价来突破自我
[00:13:39,640 --> 00:13:40,780] 这个叫能伸
[00:13:40,780 --> 00:13:44,160] 我们要做能屈能伸的生意人
[00:13:44,160 --> 00:13:47,260] 我们来看第5点 市场价
[00:13:47,260 --> 00:13:50,620] 简单来说就是看大多数人在这个市场里
[00:13:50,620 --> 00:13:52,600] 他们的定价是怎么定的
[00:13:52,600 --> 00:13:53,220] 说白了
[00:13:53,220 --> 00:13:55,240] 就是你去调研一下你的同行
[00:13:55,240 --> 00:13:56,880] 看看他们如何定价
[00:13:56,880 --> 00:13:57,860] 我举个例子
[00:13:57,860 --> 00:14:01,240] 到我一开始做情感咨询这个产品的时候呢
[00:14:01,240 --> 00:14:05,060] 也是让我的小助理去查了一下各个情感咨询机构
[00:14:05,060 --> 00:14:07,280] 他们是怎么定价的
[00:14:07,280 --> 00:14:07,760] 但是呢
[00:14:07,760 --> 00:14:10,260] 我就发现了这个行业非常的特殊
[00:14:10,260 --> 00:14:12,300] 就是特别混乱
[00:14:12,300 --> 00:14:13,600] 鱼龙混杂
[00:14:13,600 --> 00:14:18,580] 那会我们查的时候就是可以从几百块钱的价格到几十万的价格
[00:14:18,580 --> 00:14:20,180] 甚至上百万的价格都有
[00:14:20,180 --> 00:14:23,600] 好像没有一个特别稳定的一个定价体系
[00:14:23,600 --> 00:14:27,100] 那我当时呢就去掉了最低价最高价去参考
[00:14:27,100 --> 00:14:30,740] 在中间选择了一个我个人觉得比较合理的价位
[00:14:30,740 --> 00:14:35,680] 就是我说如果这个价位正好又能吻合大家一个月的这个收入预期的话
[00:14:35,680 --> 00:14:37,600] 我觉得好像是比较合理的
[00:14:37,600 --> 00:14:39,420] 那实际上呢现在放眼望去
[00:14:39,420 --> 00:14:42,300] 市场上大部分的情感咨询的产品
[00:14:42,300 --> 00:14:45,060] 其实都比我们的定价要更高
[00:14:45,700 --> 00:14:48,660] 看起来我们好像定了八九千上万的价格
[00:14:48,660 --> 00:14:51,820] 但是你要是看一看我们的整个的服务时长
[00:14:51,820 --> 00:14:53,600] 我们的服务标准化
[00:14:53,600 --> 00:14:56,680] 还有我们的交付的这种质量来说
[00:14:56,680 --> 00:14:59,760] 我们的收费在这个行业里头
[00:14:59,760 --> 00:15:01,240] 其实它是算第一的
[00:15:01,240 --> 00:15:03,400] 那在这里我就要给各位宝宝提个醒
[00:15:03,400 --> 00:15:08,380] 就是也不要直接照搬同行的价格体系
[00:15:08,380 --> 00:15:09,360] 为什么呢
[00:15:09,360 --> 00:15:12,020] 因为如果说你们也跟我一样
[00:15:12,020 --> 00:15:15,060] 进入了一个一开始非常混乱的行业
[00:15:15,060 --> 00:15:17,400] 那你就会发现其实同行的定价
[00:15:17,400 --> 00:15:19,780] 非常的没有逻辑
[00:15:19,780 --> 00:15:21,660] 我就拿情感行业举例子
[00:15:21,660 --> 00:15:24,000] 我之前呢也看过一个
[00:15:24,000 --> 00:15:25,540] 情感IP他的一个收费
[00:15:25,540 --> 00:15:27,600] 标准 那个情感IP他是对标
[00:15:27,600 --> 00:15:29,620] 我的 那有一次呢
[00:15:29,620 --> 00:15:31,820] 我们同事就去加了他的客服
[00:15:31,820 --> 00:15:33,120] 然后就问他就说
[00:15:33,120 --> 00:15:35,480] 我有个什么什么事啊想要去解决
[00:15:35,480 --> 00:15:37,200] 你们这边是怎么收费的
[00:15:37,200 --> 00:15:39,740] 结果他那边的那个销售啊
[00:15:39,740 --> 00:15:41,660] 从一开始跟我的同事说
[00:15:41,660 --> 00:15:43,480] 我们200块钱就可以
[00:15:43,480 --> 00:15:45,380] 约一个老师通话 然后我们同事
[00:15:45,380 --> 00:15:47,800] 那你能不能把老师的介绍发给我看一下
[00:15:47,800 --> 00:15:49,820] 我这个问题比较复杂
[00:15:49,820 --> 00:15:52,060] 我需要有经验的老师来帮我解决
[00:15:52,060 --> 00:15:54,720] 结果他们客户马上就开始垂涨穿高
[00:15:54,720 --> 00:15:57,180] 说如果要有经验的老师的话
[00:15:57,180 --> 00:16:00,340] 那我要给你推荐一个2万多的一个老师
[00:16:00,340 --> 00:16:01,280] 来给你做服务
[00:16:01,280 --> 00:16:04,120] 他一下子就是一秒钟就从200块钱
[00:16:04,120 --> 00:16:05,440] 变成了2万块钱
[00:16:05,440 --> 00:16:07,000] 这剔度就已经非常大了
[00:16:07,950 --> 00:16:09,010] 结果还没完
[00:16:09,010 --> 00:16:10,370] 我们同事就继续说
[00:16:10,370 --> 00:16:13,630] 那你们能够解决那种非常规的关系吗
[00:16:13,630 --> 00:16:16,350] 就是我们说的非主流的情感关系嘛
[00:16:16,350 --> 00:16:16,830] 结果呢
[00:16:16,830 --> 00:16:19,170] 对方一听到他这个关系是非主流的
[00:16:19,170 --> 00:16:19,710] 直接就说
[00:16:19,710 --> 00:16:22,350] 那你这个是需要定制化解决的
[00:16:22,350 --> 00:16:23,430] 定制化方案的话
[00:16:23,430 --> 00:16:25,230] 我们要收30万
[00:16:25,230 --> 00:16:27,230] 这是一个真实的事情啊
[00:16:27,230 --> 00:16:29,450] 就是我们的同事潜到同行
[00:16:29,450 --> 00:16:32,050] 销售的微信号里去问他们是
[00:16:32,050 --> 00:16:33,910] 怎么服务的 怎么付费的
[00:16:33,910 --> 00:16:35,870] 没想到他就在短短的
[00:16:35,870 --> 00:16:37,990] 不到半个小时的交流时间里头
[00:16:37,990 --> 00:16:40,030] 他能够从一个200块钱的报价
[00:16:40,030 --> 00:16:41,990] 报到30万的一个报价
[00:16:41,990 --> 00:16:42,970] 那我看到这个的时候
[00:16:42,970 --> 00:16:46,010] 我整个人是觉得非常可笑
[00:16:46,010 --> 00:16:49,190] 因为我当时为什么会去看这个IP是因为
[00:16:49,190 --> 00:16:49,990] 除了我以外
[00:16:49,990 --> 00:16:55,110] 这个IP已经算得上是可能被很多人所知晓的一个IP了
[00:16:55,110 --> 00:16:56,850] 那其他的就更不用说了
[00:16:56,850 --> 00:16:58,530] 就是我觉得没多参考的必要
[00:16:58,530 --> 00:17:01,710] 我当时想这个人好歹也被很多人所提及嘛
[00:17:01,710 --> 00:17:03,590] 还有的人会拿他跟我比什么的
[00:17:03,590 --> 00:17:05,470] 我说那我去看一下好奇
[00:17:05,470 --> 00:17:07,450] 结果没想到这么一个IP
[00:17:07,450 --> 00:17:10,630] 他的价格定价体系居然是如此之混乱
[00:17:10,630 --> 00:17:11,890] 所以我在想哦
[00:17:11,890 --> 00:17:14,070] 原来别人都是见人下菜叠的
