[00:00:00,000 --> 00:00:01,380] Hello 大家好 我是許許
[00:06:39,400 --> 00:06:43,120] 他是我費了九牛二虎之力才弄過來的
[00:06:43,120 --> 00:06:44,300] 他原來是幹什麼呢
[00:06:44,300 --> 00:06:47,940] 他原来是在一个教表达和辩论的一个机构里头
[00:06:47,940 --> 00:06:50,840] 然后做他们的销售培训老师的
[00:06:50,840 --> 00:06:53,440] 那为什么我会把他挖到我的团队呢
[00:06:53,440 --> 00:06:55,040] 那第一个是之前说过的
[00:06:55,040 --> 00:06:57,520] 我觉得他这个人非常非常有正义感
[00:06:57,520 --> 00:06:59,720] 我们在一起打辩论的时候呀
[00:06:59,720 --> 00:07:03,360] 他看到一个他完全不认识的女生被别人欺负了
[00:07:03,360 --> 00:07:04,720] 结果他就建议勇为
[00:07:04,720 --> 00:07:08,760] 然后上一句就跟别人纯枪使个栅子就干呐
[00:07:08,760 --> 00:07:10,720] 然后在一个这么功利的时代里面
[00:07:10,720 --> 00:07:11,940] 我看到了一个这样的人
[00:07:11,940 --> 00:07:13,040] 我当时是觉得
[00:07:13,040 --> 00:07:15,240] 哎呀好神奇
[00:07:15,240 --> 00:07:18,160] 我在他身上看到了一种纯粹的正义感
[00:07:18,160 --> 00:07:20,360] 让我觉得太少见了
[00:07:20,360 --> 00:07:22,920] 然后第二个呢就是他不咋爱钱
[00:07:22,920 --> 00:07:25,100] 而且他还非常非常讲义气
[00:07:25,100 --> 00:07:28,860] 就是一个做销售培训的老师不爱钱
[00:07:28,860 --> 00:07:31,600] 就这个逻辑本身上来说就很奇怪
[00:07:31,600 --> 00:07:33,420] 但是确实是这个样子的
[00:07:33,420 --> 00:07:35,860] 因为他以前呢他其实在认识我之前
[00:07:35,860 --> 00:07:37,960] 他一直常年在海南生活
[00:07:37,960 --> 00:07:40,840] 他每天就是一个大拖鞋大裤衩
[00:07:40,840 --> 00:07:42,040] 然后就是素颜
[00:07:42,040 --> 00:07:45,060] 我那会因为觉得他是一个人才嘛
[00:07:45,060 --> 00:07:48,160] 然后我在跟他去探讨很多很多的东西的时候
[00:07:48,160 --> 00:07:51,360] 我发现只要谈到跟赚钱相关的事情
[00:07:51,360 --> 00:07:53,880] 他的眼睛里就是没有神的
[00:07:53,880 --> 00:07:55,560] 看不到一点点的光了
[00:07:55,560 --> 00:07:59,980] 但是呢他却经常为了就是一些很专业的一些事情
[00:07:59,980 --> 00:08:02,940] 然后能展现自己的价值感的一些事情
[00:08:03,060 --> 00:08:06,280] 就自费去给别人做工作
[00:08:06,280 --> 00:08:09,060] 甚至于他在那家机构他根本就不赚钱
[00:08:09,060 --> 00:08:11,200] 然后他有的时候还自己花钱
[00:08:11,200 --> 00:08:12,680] 去帮别人做培训
[00:08:12,680 --> 00:08:15,460] 那会我觉得这个人实在是太神奇了
[00:08:15,460 --> 00:08:17,140] 他全国跟着人家飞
[00:08:17,140 --> 00:08:18,380] 然后还帮别人卖客
[00:08:18,380 --> 00:08:19,960] 他就说我就热爱这个事
[00:08:19,960 --> 00:08:22,440] 我就愿意同身到这个事业当中去
[00:08:22,440 --> 00:08:23,540] 然后我当时就在看
[00:08:23,540 --> 00:08:25,340] 你说一个不爱钱
[00:08:25,340 --> 00:08:27,620] 然后为了热爱去工作
[00:08:27,620 --> 00:08:31,940] 然后充满了这种侠胆义气的这样一个女人
[00:08:31,940 --> 00:08:33,380] 就听起来我的妈呀
[00:08:33,380 --> 00:08:34,880] 太有安全感了
[00:08:34,880 --> 00:08:36,820] 然后还有一件事就是
[00:08:36,820 --> 00:08:38,200] 因为她的表达能力
[00:08:38,200 --> 00:08:39,920] 沟通能力还有她的销售能力
[00:08:39,920 --> 00:08:40,940] 都非常非常的强
[00:08:40,940 --> 00:08:42,840] 這個是毋庸置疑的嘛
[00:08:42,840 --> 00:08:43,960] 那我當時就覺得
[00:08:43,960 --> 00:08:47,700] 如果這個人來負責我的線下的哼哈項目
[00:08:47,700 --> 00:08:49,020] 那就太合適了
[00:08:49,020 --> 00:08:51,580] 那麼細心的寶貝呢聽到這兒可能會
[00:08:51,580 --> 00:08:54,120] 發現我選擇他的三個原因啊
[00:08:54,120 --> 00:08:56,940] 那前面兩個理由其實都是價值觀
[00:08:56,940 --> 00:09:00,940] 能力反而是我選擇他的最次要的一個理由
[00:09:00,940 --> 00:09:02,120] 所以我跟大家說啊
[00:09:02,120 --> 00:09:06,080] 你選人一定是先選人品先選價值觀
[00:09:06,080 --> 00:09:07,660] 再去看能力的
[00:09:07,660 --> 00:09:09,900] 那第二個呢就是不選蠢人
[00:09:09,900 --> 00:09:11,980] 我之前直播也給大家說過
[00:09:11,980 --> 00:09:14,920] 蠢人跟狠人當然都會犯錯
[00:09:14,920 --> 00:09:17,900] 但是蠢人跟狠人的差別在於哪裡呢
[00:09:17,900 --> 00:09:20,720] 就是蠢人他是同一個錯誤
[00:09:20,720 --> 00:09:24,300] 會犯兩次或者兩次以上
[00:09:24,300 --> 00:09:27,120] 而狠人是不允許自己
[00:09:27,120 --> 00:09:29,540] 在同一個錯誤上犯兩次的
[00:09:29,540 --> 00:09:30,700] 我舉個例子啊
[00:09:30,700 --> 00:09:33,060] 就是我呢有一個銷售
[00:09:33,060 --> 00:09:35,240] 他的業假其實也還可以
[00:09:35,240 --> 00:09:37,180] 但是他在有些事情上面呢
[00:09:37,180 --> 00:09:38,720] 就非常非常的拎不清
[00:09:38,720 --> 00:09:41,820] 就比如说每到一些关键性的销售节点
[00:09:41,820 --> 00:09:44,920] 他都会无比频繁的群发信息
[00:09:44,920 --> 00:09:47,500] 而且呢他不会给他的客户去分类
[00:09:47,500 --> 00:09:49,460] 他不会给他的微信好友分类
[00:09:49,460 --> 00:09:51,600] 有很多公司的同事
[00:09:51,600 --> 00:09:53,220] 还有甚至是管理层
[00:09:53,220 --> 00:09:55,780] 都屡次收到他的这些群发信息
[00:09:55,780 --> 00:09:58,340] 有一次呢公司的一个管理层就跟他说
[00:09:58,340 --> 00:10:00,020] 你要不要做下分类呀
[00:10:00,020 --> 00:10:03,040] 然后我从你的那个群发名单里都移出去呢
[00:10:03,040 --> 00:10:04,960] 我不需要接受这些信息吧
[00:10:04,960 --> 00:10:08,180] 但是结果呢他下一次依然无差别群发
[00:10:08,860 --> 00:10:11,740] 所以你們看看他不別帶 明白嗎
[00:10:11,740 --> 00:10:13,980] 那就會讓人感到非常非常的生氣
[00:10:13,980 --> 00:10:17,480] 在我看來這個其實就是叫做低級錯誤
[00:10:17,480 --> 00:10:19,260] 在這我也稍微衍伸一下
[00:10:19,260 --> 00:10:21,600] 就是人生想要減少內耗
[00:10:21,600 --> 00:10:25,100] 其實最簡單的辦法就是不犯低級錯誤
[00:10:25,100 --> 00:10:29,180] 你想想看為什麼西天曲經我們講九九八十一難呢
[00:10:29,740 --> 00:10:32,700] 是因為這八十一難裡面 難不難不一樣
[00:10:32,700 --> 00:10:35,380] 再多的錯誤 再多的挫折
[00:10:35,380 --> 00:10:39,260] 在我们的人生当中来来去去也就这么多种了
[00:10:39,740 --> 00:10:44,460] 你人生当中做错的题目做到81题也就到顶了
[00:10:44,460 --> 00:10:47,340] 如果你真的认真的去复盘了
[00:10:47,340 --> 00:10:50,420] 思考了自己遇到这没难的时候
[00:10:50,960 --> 00:10:53,180] 是怎么去度过的
[00:10:53,180 --> 00:10:55,260] 而且下定决心不要再犯
[00:10:55,260 --> 00:10:57,940] 那么等你遇到第82道题的时候
[00:10:57,940 --> 00:10:59,760] 你就不会再犯错了
[00:10:59,760 --> 00:11:05,220] 因为第82道题一定是前面81个题里面的重复
[00:11:05,220 --> 00:11:06,880] 或者是变种
[00:11:06,880 --> 00:11:07,600] 相反
[00:11:07,600 --> 00:11:09,580] 如果你那81个题老了错了不改
[00:11:09,580 --> 00:11:10,460] 改了不记
[00:11:10,460 --> 00:11:11,480] 记打不记疼
[00:11:11,480 --> 00:11:14,020] 那你的人生就会有无数个错误
[00:11:14,020 --> 00:11:16,760] 永远都在同样的错误里面轮回
[00:11:16,760 --> 00:11:19,580] 那么我们人生就会陷入无止境的内耗
[00:11:19,580 --> 00:11:21,260] 所以不犯第一级错误
[00:11:21,260 --> 00:11:23,920] 就是不要同一个错误犯两次
[00:11:23,920 --> 00:11:24,540] 第三
[00:11:24,540 --> 00:11:25,700] 自我迭代
[00:11:25,700 --> 00:11:27,740] 除了不犯第一级错误之外呢
[00:11:27,740 --> 00:11:30,200] 我还是希望我选择的小伙伴
[00:11:30,200 --> 00:11:32,120] 他能够有自我迭代
[00:11:32,120 --> 00:11:34,380] 自我学习的意识
[00:11:34,380 --> 00:11:37,200] 在不需要外界鞭策的情况下
[00:11:37,200 --> 00:11:40,440] 就能够不断地去提高自己的业务水平
[00:11:40,440 --> 00:11:43,280] 就好像是我现在新招了一个小助理
[00:11:43,280 --> 00:11:46,600] 那他呢我感觉他是个非常非常聪明的人
[00:11:46,600 --> 00:11:47,580] 为什么呢
[00:11:47,580 --> 00:11:49,360] 就比如说啊我直播之前呢
[00:11:49,360 --> 00:11:51,440] 每次其实都是自己点饮料的
[00:11:51,440 --> 00:11:53,560] 而且呢都是点同一种
[00:11:53,560 --> 00:11:55,680] 有一次呢我就没有点外卖
[00:11:55,680 --> 00:11:57,540] 可是播到后半场的时候
[00:11:57,540 --> 00:12:00,320] 哎呀我发现他默默的就给我买了一杯过来
[00:12:00,320 --> 00:12:04,260] 而且买的呢就是我平常喝的一模一样的
[00:12:04,260 --> 00:12:06,060] 这里面还有一个细节
[00:12:06,060 --> 00:12:09,000] 就是我一开始看到那款饮料的时候
[00:12:09,000 --> 00:12:10,880] 本来我是没打算喝的
[00:12:10,880 --> 00:12:14,420] 因为我平时点的它都是含咖啡因的
[00:12:14,460 --> 00:12:18,620] 但是因为当天我在那之前已经喝了一杯咖啡了
[00:12:18,620 --> 00:12:21,420] 我咖啡涉入过多的话晚上肯定会睡不着
[00:12:21,420 --> 00:12:24,400] 结果我后来把它那个杯子拿过来一看
[00:12:24,400 --> 00:12:28,900] 没想到它那天点的里头就把咖啡因给去掉了
[00:12:28,900 --> 00:12:30,740] 它把咖啡因换成了别的
[00:12:31,150 --> 00:12:32,910] 所以我就很安心的
[00:12:32,910 --> 00:12:34,610] 然后就把那杯饮料给喝掉了
[00:12:34,610 --> 00:12:37,050] 那么这就说明我现在这个小助理
[00:12:37,050 --> 00:12:39,710] 他确确实实他在思考这个层面上
[00:12:39,710 --> 00:12:41,450] 他会比别人多一层
[00:12:41,450 --> 00:12:44,750] 他会方方面面的去观察我的习惯
[00:12:44,750 --> 00:12:46,590] 设身处地的为我着想
[00:12:46,590 --> 00:12:49,310] 那我觉得这个其实是非常非常难得的
[00:12:49,310 --> 00:12:52,210] 我记得还有一次就是我们从一个地方吃饭
[00:12:52,210 --> 00:12:53,910] 走出来的时候当时天已经黑了
[00:12:53,910 --> 00:12:55,890] 因为他跟我干没多少时间嘛
[00:12:55,890 --> 00:12:56,910] 然后他在前面走
[00:12:56,910 --> 00:12:59,770] 我自己就把我的手机手电筒打开
[00:12:59,770 --> 00:13:01,070] 就照着前面的路
[00:13:01,070 --> 00:13:02,610] 因为我现在大肚子嘛
[00:13:02,610 --> 00:13:04,190] 我肯定得小心一点
[00:13:05,050 --> 00:13:08,650] 結果自從那一次以後我就發現
[00:13:08,650 --> 00:13:12,170] 每次晚上從任何一個地方出來的時候
[00:13:12,170 --> 00:13:15,990] 他一定會走在我前面把自己的手電筒打開
[00:13:15,990 --> 00:13:18,510] 就再也不需要我來開手電筒了
[00:13:18,510 --> 00:13:20,010] 我沒有教他這麼做
[00:13:20,010 --> 00:13:23,290] 但是他自己就知道老闆是有這個需求的
[00:13:23,290 --> 00:13:24,950] 他會知道怎麼做更好
[00:13:24,950 --> 00:13:27,070] 不斷地去提升自己的細節
[00:13:27,070 --> 00:13:29,630] 我再舉個例子就是陳真老師跟我分享過一個事
[00:13:29,630 --> 00:13:32,030] 他也會觀察自己的團隊成員
[00:13:32,030 --> 00:13:34,270] 他会发现有一些聪明成员
[00:13:34,270 --> 00:13:36,930] 他就会暗中去观察学习
[00:13:36,930 --> 00:13:39,870] 模仿他自己处理事情的一些习惯
[00:13:39,870 --> 00:13:40,930] 比如说呢
[00:13:40,930 --> 00:13:43,050] 晨晨在医院沟通习惯也好
[00:13:43,050 --> 00:13:46,230] 还是跟客户在表达某件事情的时候也好
[00:13:46,230 --> 00:13:48,750] 只要是这个小伙伴在边上听见了
[00:13:48,750 --> 00:13:50,810] 那么再遇到类似的事情的时候
[00:13:50,810 --> 00:13:51,950] 晨晨就会发现
[00:13:51,950 --> 00:13:58,510] 他连用词语气表达节奏都会跟晨晨特别特别的像
[00:13:58,510 --> 00:14:01,250] 那就是说明他每次都默默的
[00:14:01,250 --> 00:14:05,030] 在心理去對領導進行學習和模仿
[00:14:05,030 --> 00:14:08,030] 那像這樣的人他不進步是不可能的
[00:14:08,030 --> 00:14:08,610] 對吧?
[00:14:08,830 --> 00:14:09,910] 大家講的這些事呢
[00:14:09,910 --> 00:14:12,730] 其實都是一些非常非常小的事情
[00:14:12,730 --> 00:14:14,630] 可能在很多人眼裡看起來
[00:14:14,630 --> 00:14:17,150] 我覺得大家都應該有這個意識
[00:14:17,150 --> 00:14:18,830] 可是啊真正的
[00:14:18,830 --> 00:14:21,530] 當你們在做企業經營和管理的時候
[00:14:21,530 --> 00:14:24,610] 你們會發現人跟人之間的差距
[00:14:24,610 --> 00:14:29,250] 恰巧就體現在這些非常微小的事件之上
[00:14:29,250 --> 00:14:30,530] 有細節的人
[00:14:30,530 --> 00:14:32,650] 他才能夠成長的更快
[00:14:32,650 --> 00:14:35,370] 所以我們一定要去注重細節
[00:14:35,370 --> 00:14:37,310] 在細節當中 迭代和成長
[00:14:37,840 --> 00:14:40,960] 好 以上三點呢 講的是如何選人的問題
[00:14:40,960 --> 00:14:43,920] 那接下來呢 我會說如何用人
[00:14:43,920 --> 00:14:45,400] 在用人這件事情上
[00:14:45,400 --> 00:14:49,020] 我會跟大家分享四個非常核心的關鍵點
[00:14:49,020 --> 00:14:52,080] 幫助大家更好的激發團隊的積極性
[00:14:52,080 --> 00:14:54,100] 第一 不拿保底
[00:14:54,100 --> 00:14:57,280] 可能很多職場人會特別特別的在意說
[00:14:57,280 --> 00:14:59,280] 老闆能夠給到的保底有多少
[00:14:59,280 --> 00:15:01,000] 但是其實在我看來呢
[00:15:01,000 --> 00:15:03,020] 這是一種不太自信的表現
[00:15:03,020 --> 00:15:05,820] 因為你可能不太相信自己的能力
[00:15:05,820 --> 00:15:08,560] 能夠給公司創造更大的價值
[00:15:08,560 --> 00:15:10,460] 那麼你選擇了要保底
[00:15:10,460 --> 00:15:12,060] 選擇了拿死工資
[00:15:12,060 --> 00:15:13,720] 那麼這個呢其實當然啊
[00:15:13,720 --> 00:15:16,460] 它是一種很正常的打工者的思維
[00:15:16,460 --> 00:15:18,620] 而我呢一路走過來呢
[00:15:18,620 --> 00:15:20,660] 其實我都是一個創業者思維的人
[00:15:20,660 --> 00:15:24,060] 雖然說我幾乎沒有太怎麼在職場上待過
[00:15:24,060 --> 00:15:26,340] 在職場上的經歷非常非常的少啊
[00:15:26,340 --> 00:15:28,340] 但是呢我哪怕是進入職場
[00:15:28,340 --> 00:15:32,480] 也一直以來都是抱著一個創業者的思維的
[00:15:32,480 --> 00:15:34,800] 我會覺得老闆之所以給我發錢
[00:15:34,800 --> 00:15:39,120] 是因為我要給公司創造了很大的效益和價值
[00:15:39,120 --> 00:15:41,040] 如果我想讓他多給我錢
[00:15:41,040 --> 00:15:44,920] 那麼就意味著我為這個公司創造了更多的價值
[00:15:44,920 --> 00:15:48,140] 所以往往我都不太在意保底這件事情
[00:15:48,140 --> 00:15:51,060] 而是直接選擇拿更高的提成
[00:15:51,060 --> 00:15:52,020] 後來呢
[00:15:52,020 --> 00:15:53,740] 當我自己在做老闆的時候
[00:15:53,740 --> 00:15:57,600] 我也會更加傾向於去選擇那些
[00:15:57,600 --> 00:15:59,940] 勇於不拿保底
[00:15:59,940 --> 00:16:03,960] 直接選擇分庸的合作夥伴或者是員工
[00:16:03,960 --> 00:16:06,700] 因為這個就意味著他們對於自己的能力
