[00:00:00,000 --> 00:00:03,180] 欢迎回到我们金贵的关系2.0的课堂
[00:02:04,000 --> 00:02:05,160] 给他妈打视频
[00:02:05,160 --> 00:02:07,940] 然后他妈还说有他一个人出镜还不行
[00:02:07,940 --> 00:02:09,600] 非要让他拍到我
[00:02:09,600 --> 00:02:11,580] 这样的他们家里人才放心
[00:02:12,680 --> 00:02:13,940] 那其实呢
[00:02:13,940 --> 00:02:14,860] 面对这种质疑
[00:02:14,860 --> 00:02:18,180] 我们要做的事情呢就是叫温水煮青蛙
[00:02:18,180 --> 00:02:20,020] 用结果说话
[00:02:20,020 --> 00:02:21,020] 我的那个助理呢
[00:02:21,020 --> 00:02:23,660] 他刚开始跟我干的时候其实是兼职
[00:02:23,660 --> 00:02:25,660] 他在他们家那个地方啊
[00:02:25,660 --> 00:02:28,620] 每個月就拿2000多塊錢的工資
[00:02:28,620 --> 00:02:31,820] 在一個類似國企這樣的單位去上班啊
[00:02:31,820 --> 00:02:33,640] 但是呢他到我這裡呢
[00:02:33,640 --> 00:02:36,060] 他一個月當時已經可以掙好幾萬了
[00:02:36,060 --> 00:02:38,320] 可是他的父母依然不讓他辭職
[00:02:38,320 --> 00:02:40,940] 就讓他兩個工作同時這麼幹著
[00:02:40,940 --> 00:02:42,780] 他就非常非常的痛苦
[00:02:42,780 --> 00:02:44,500] 因為他白天呢要上班
[00:02:44,500 --> 00:02:46,260] 然後晚上呢要剪視頻
[00:02:46,800 --> 00:02:49,540] 後來呢他是怎麼解決這個痛苦呢
[00:02:49,540 --> 00:02:51,900] 就是因為確實越掙越多啊
[00:02:51,900 --> 00:02:52,620] 然後呢
[00:02:52,620 --> 00:02:54,280] 他媽呢看他都忙不過來了
[00:02:54,280 --> 00:02:56,260] 就开始跟着他一块干
[00:02:56,260 --> 00:02:59,260] 就白天帮他把我们所有的视频都录好
[00:02:59,260 --> 00:03:01,480] 等他晚上下班回来以后呢
[00:03:01,480 --> 00:03:03,140] 在只做剪辑的部分
[00:03:03,140 --> 00:03:05,200] 就这样呢 他挣的越来越多了
[00:03:05,200 --> 00:03:07,780] 然后他爸爸妈妈也就不反对了
[00:03:07,780 --> 00:03:09,260] 他就辞掉了那边的工作
[00:03:09,260 --> 00:03:11,460] 就开始全职在我们这个地方干
[00:03:11,460 --> 00:03:13,800] 那我自己呢 其实也是一样的
[00:03:13,800 --> 00:03:15,440] 我在我的第一本书
[00:03:15,440 --> 00:03:18,320] 《你就是光》里头曾经写过啊
[00:03:18,320 --> 00:03:21,700] 我一开始呢 也是瞒着我的父母出去挣钱的
[00:03:21,700 --> 00:03:24,760] 他們並不同意我去賣酒呀 賣茶葉呀
[00:03:24,760 --> 00:03:26,540] 他們覺得這都是不務正業的事情
[00:03:26,540 --> 00:03:28,460] 但是後來呢 我越賺越多
[00:03:28,460 --> 00:03:30,460] 然後呢 每個月還跟他們給生活費
[00:03:30,460 --> 00:03:33,560] 甚至到後來直接就給我們家買了一套房子
[00:03:33,560 --> 00:03:35,720] 那他們自然然也就接受了
[00:03:35,720 --> 00:03:37,580] 這種質疑就消失了
[00:03:37,580 --> 00:03:41,240] 那這呢 就是第一種叫善意的質疑
[00:03:42,420 --> 00:03:45,920] 好 那第二種質疑呢 是惡意的質疑
[00:03:45,920 --> 00:03:49,380] 它的出發點其實本質上在於利益衝突
[00:03:49,380 --> 00:03:52,800] 就像是你的競爭對手或者是黑粉啊
[00:03:52,800 --> 00:03:55,260] 要么呢它就是为了实质性的利益
[00:03:55,260 --> 00:03:59,280] 要么呢就是为了情绪上的利益而去攻击你
[00:03:59,280 --> 00:04:02,680] 而这样的质疑呢更难缠也更难处理
[00:04:02,680 --> 00:04:05,840] 所以呢接下来我来给大家详细的去讲一下
[00:04:05,840 --> 00:04:07,760] 面对这种恶意质疑的时候
[00:04:07,760 --> 00:04:10,340] 我们应该如何去面对
[00:04:10,340 --> 00:04:11,940] 对于这种恶意的质疑呢
[00:04:11,940 --> 00:04:15,420] 是没有办法一朝兼吃遍天下的啊
[00:04:15,420 --> 00:04:17,540] 我们需要根据自身的发展阶段
[00:04:17,540 --> 00:04:20,160] 来选择用什么样的策略
[00:04:20,160 --> 00:04:23,400] 我一共呢 就會把這個分成三個階段
[00:04:23,400 --> 00:04:28,300] 分別是起步期 發展期和成熟期
[00:04:30,100 --> 00:04:32,500] 我們先來看一看起步期
[00:04:32,500 --> 00:04:35,400] 在這個階段呢 我們很容易陷入到一個誤區
[00:04:35,400 --> 00:04:38,240] 那就是逐個逐個的黑粉的回應
[00:04:38,240 --> 00:04:42,580] 我記得當年呢 我一開始還在做這個唱歌的博主的時候
[00:04:42,580 --> 00:04:46,080] 就遇到過第一次大型的網報
[00:04:46,080 --> 00:04:50,720] 然後當時那些黑粉呢 見了一個100多個人的微信群
[00:04:50,720 --> 00:04:53,700] 然后他们每一个人就是有组织的去
[00:04:53,700 --> 00:04:55,520] 专门注册一个账号
[00:04:55,520 --> 00:04:57,940] 来发布抹黑我的视频
[00:04:57,940 --> 00:05:00,200] 说我唱歌有多难听啊
[00:05:00,880 --> 00:05:01,820] 在这个地方呢
[00:05:01,820 --> 00:05:04,460] 我们先不要讨论我唱歌是不是难听
[00:05:04,460 --> 00:05:05,640] 这件事情啊
[00:05:05,640 --> 00:05:07,620] 我们就是来就事论事一下
[00:05:07,620 --> 00:05:09,260] 就当时这些黑粉啊
[00:05:09,260 --> 00:05:11,100] 他们为了证明我唱的不好
[00:05:11,100 --> 00:05:13,280] 他们做了一些什么动作呢
[00:05:13,280 --> 00:05:15,840] 他们把我的视频进行了变调
[00:05:15,840 --> 00:05:17,600] 然后呢变节奏
[00:05:17,600 --> 00:05:20,220] 然后再上传到他们自己的账号上
[00:05:20,220 --> 00:05:25,660] 我刷到他们的视频的时候听到我扭扭曲曲传出来的那些音频
[00:05:25,660 --> 00:05:27,560] 我整个人都是懵的
[00:05:27,560 --> 00:05:30,240] 我原来呢对于黑粉的认知是什么
[00:05:30,240 --> 00:05:35,000] 我觉得别人黑我是因为他客观上觉得我就是不好啊
[00:05:35,000 --> 00:05:36,220] 他就是不欣赏
[00:05:36,220 --> 00:05:38,640] 可是当我看到他们抹黑我的视频之后
[00:05:38,640 --> 00:05:39,680] 我才发现哦
[00:05:39,680 --> 00:05:41,520] 原来别人为了黑你
[00:05:41,520 --> 00:05:45,840] 然后可以去做出一些非常非常扭曲你的行为
[00:05:45,840 --> 00:05:48,100] 根本就不吻合事实本质
[00:05:48,100 --> 00:05:52,480] 我才知道原來很多人他就是為了黑你而黑你的
[00:05:52,480 --> 00:05:55,380] 甚至不嫌麻煩去做偽證
[00:05:55,380 --> 00:06:00,760] 那段時間因為我沒有任何的面對這種大量的黑粉的經驗
[00:06:00,760 --> 00:06:05,020] 所以我當時就逐一的去回覆了每一個黑粉
[00:06:05,020 --> 00:06:09,520] 甚至是發了一個視頻來回應當時人家的惡評
[00:06:09,520 --> 00:06:11,840] 但是我就發現我越是回覆他們
[00:06:11,840 --> 00:06:14,260] 他們就越是感受到很刺激
[00:06:14,260 --> 00:06:16,260] 然後就罵的越來越狠
[00:06:16,260 --> 00:06:18,020] 后来我在复盘的时候啊
[00:06:18,020 --> 00:06:19,040] 我才发现啊
[00:06:19,040 --> 00:06:20,880] 因为他们呢在生活当中
[00:06:20,880 --> 00:06:24,000] 其实本质上是被别人所忽略的
[00:06:24,000 --> 00:06:27,420] 甚至于有可能是所霸凌的一帮人
[00:06:27,420 --> 00:06:30,320] 所以呢他们才会到网上去泄愤
[00:06:30,320 --> 00:06:31,400] 结果没想到呢
[00:06:31,400 --> 00:06:32,360] 他来你这里
[00:06:32,360 --> 00:06:34,060] 居然还被你关注到了
[00:06:34,060 --> 00:06:35,840] 居然还被你回应到了
[00:06:35,840 --> 00:06:39,180] 好像还你有一种被欺负到了的感觉了
[00:06:39,180 --> 00:06:40,540] 这个时候反而对于他来说
[00:06:40,540 --> 00:06:42,200] 是一件非常爽的一件事
[00:06:42,200 --> 00:06:43,600] 他会觉得很兴奋
[00:06:43,600 --> 00:06:45,140] 他还会有点成就感
[00:06:45,140 --> 00:06:48,840] 就是現實生活當中沒有被關注到的感覺
[00:06:48,840 --> 00:06:50,540] 在這個互聯網上的平台
[00:06:50,540 --> 00:06:54,300] 他被一個他想要引發關注的人給關注到了
[00:06:54,300 --> 00:06:55,900] 反而是給到了他正反饋
[00:06:55,900 --> 00:06:59,680] 所以這個時候如果我們的回應太即時了
[00:06:59,680 --> 00:07:02,760] 反而會又發這些人的持續攻擊
[00:07:03,350 --> 00:07:04,770] 那我們怎麼辦呢
[00:07:04,770 --> 00:07:07,670] 我能給大家兩個方法
[00:07:07,670 --> 00:07:09,530] 第一個方法叫不回應
[00:07:10,330 --> 00:07:13,410] 因為其實我們很多一些做自媒體
[00:07:13,410 --> 00:07:14,830] 做博主的這樣一些小夥伴
[00:07:14,830 --> 00:07:18,730] 其实刚开始的时候你可能也就一两万粉丝是吧
[00:07:18,730 --> 00:07:20,110] 甚至是几千粉丝
[00:07:20,110 --> 00:07:23,730] 其实你的影响力是没有到达那样的一个规模的
[00:07:23,730 --> 00:07:25,510] 这些所谓的恶评
[00:07:25,510 --> 00:07:31,310] 它本质上并不会在整个互联网上给你带来太大的风波
[00:07:31,310 --> 00:07:35,650] 它只是对于你个人可能会产生一些心理上的这种影响
[00:07:36,090 --> 00:07:39,990] 所以呢只要我们摒弃掉对于我们自己心态上的影响
[00:07:39,990 --> 00:07:43,610] 那么这件事它就不会给你带来真正的实质性的问题
[00:07:43,610 --> 00:07:45,350] 你就该干嘛干嘛就完了
[00:07:45,350 --> 00:07:47,930] 而且呢在我们起步的这个阶段
[00:07:47,930 --> 00:07:50,570] 其实一定是黑粉也是粉的
[00:07:50,570 --> 00:07:53,510] 他其实还是能给你带来很大流量的
[00:07:53,510 --> 00:07:56,030] 所以我就建议大家呢不要往心里去啊
[00:07:56,030 --> 00:07:59,550] 那第二个方法呢叫做拉拢招安
[00:08:00,010 --> 00:08:02,930] 大家可以想一想他们为什么要攻击你
[00:08:02,930 --> 00:08:05,610] 要么就是看不惯你拿到了某些利益
[00:08:05,610 --> 00:08:08,330] 要么就是他骂你有好处 对吧
[00:08:08,330 --> 00:08:12,170] 那我主动一点对这些人伸出一些橄榄枝
[00:08:12,170 --> 00:08:14,350] 比如說給他一點分潤
[00:08:14,350 --> 00:08:16,030] 或者給他一點好處
[00:08:16,030 --> 00:08:18,690] 把他們拉攏到我的利益鏈條裡
[00:08:18,690 --> 00:08:21,470] 不就有可能讓他們閉嘴了嗎
[00:08:21,560 --> 00:08:22,360] 這個方法
[00:08:22,360 --> 00:08:24,220] 是我從很小的時候開始
[00:08:24,220 --> 00:08:26,280] 我就在運用的一個方法了
[00:08:26,280 --> 00:08:27,540] 我上大學的時候呢
[00:08:27,540 --> 00:08:30,940] 有的時候經常會出去參加飯局啊應酬啊什麼的
[00:08:30,940 --> 00:08:31,760] 然後那個時候呢
[00:08:31,760 --> 00:08:33,380] 學校裡就會有一些同學
[00:08:33,380 --> 00:08:35,580] 一些女生他們就經常在背後說
[00:08:35,580 --> 00:08:38,660] 我不回學校啊啊老是混社會什麼的
[00:08:38,660 --> 00:08:40,420] 那我當時是怎麼做的呢
[00:08:40,980 --> 00:08:45,200] 我就邀请这些女生跟我一起出去参加饭局
[00:08:45,200 --> 00:08:48,360] 那她们去时呢 往往也是会去的
[00:08:48,360 --> 00:08:51,840] 在没去之前吧 她们其实并不知道这个事好与不好
[00:08:51,840 --> 00:08:55,640] 她们只是凭着自己的一个意测在解读这个事
[00:08:55,640 --> 00:09:00,260] 但是当她们真的跟我去了之后 发现还挺见世面的
[00:09:00,260 --> 00:09:04,040] 还挺好玩的 甚至于呢 我带她们去参加那些饭局
[00:09:04,040 --> 00:09:07,400] 基本上呢 都是在我们那个时候其实很难接触到的
[00:09:07,400 --> 00:09:10,720] 比較有咖位的這樣一些有頭有臉的人的飯局
[00:09:10,720 --> 00:09:13,940] 很多人他還會給我們準備各種各樣的禮物
[00:09:13,940 --> 00:09:18,120] 啊那你說你又去吃了喝了玩了還拿禮物了
[00:09:18,120 --> 00:09:20,800] 是吧那拿人手短吃人嘴短嘛
[00:09:20,800 --> 00:09:23,960] 那他們被我這樣的小恩小惠叼安了之後呢
[00:09:23,960 --> 00:09:25,860] 基本上也就不好再說什麼了
[00:09:26,700 --> 00:09:29,160] 還有一個故事呢就是我在上高中的時候
[00:09:29,160 --> 00:09:32,940] 我當時呢因為非常非常的高調張揚
[00:09:32,940 --> 00:09:36,740] 所以呢所有的同學其實他們都不是特別的喜歡我
[00:09:36,740 --> 00:09:39,420] 但是有一天呢我就下定了決心說
[00:09:39,420 --> 00:09:41,700] 我一定要讓所有人都喜歡我
[00:09:41,700 --> 00:09:43,440] 我是怎麼做的呢
[00:09:43,440 --> 00:09:48,180] 就是我挑了一個最喜歡說我壞話的一個女生
[00:09:48,180 --> 00:09:49,240] 她很討厭我
[00:09:49,240 --> 00:09:51,100] 但是呢她是一個很有號召力的人
[00:09:51,100 --> 00:09:52,940] 她自己還有一個小圈子
[00:09:52,940 --> 00:09:56,240] 然後我開始不停的在同學當中
[00:09:56,240 --> 00:09:58,620] 去說這個女生的好話
[00:09:58,620 --> 00:10:00,120] 為什麼我會這麼做呢
[00:10:00,120 --> 00:10:01,640] 其實我當時的想法是
[00:10:01,640 --> 00:10:04,340] 就這個人他已經到處散播我的壞話了
[00:10:04,340 --> 00:10:06,160] 就這個已經是近近是實了
[00:10:06,160 --> 00:10:07,900] 但是他比我是有優勢的
[00:10:07,900 --> 00:10:10,220] 因為他本來就是一個小群體裡頭的一個
[00:10:10,220 --> 00:10:12,080] leader的這麼一個角色啊
[00:10:12,080 --> 00:10:14,220] 但是我那個時候呢其實是
[00:10:14,220 --> 00:10:16,140] 不被所有人所喜歡
[00:10:16,140 --> 00:10:19,300] 所以我是沒有形成自己的一個小圈子的
[00:10:19,300 --> 00:10:22,140] 那如果說我也去散播他的壞話
[00:10:22,140 --> 00:10:24,820] 只會讓我被孤立的更嚴重
[00:10:24,820 --> 00:10:27,800] 而且也會讓他更加的變本加厲
[00:10:27,800 --> 00:10:29,380] 最後呢就會兩敗俱傷
[00:10:30,600 --> 00:10:34,040] 所以他的傳播效率呢遠遠的大於了我
[00:10:34,040 --> 00:10:36,240] 在我平衡了這件事情之後呢
[00:10:36,240 --> 00:10:39,600] 我就選擇了在背後去反向說他的好話
[00:10:40,020 --> 00:10:43,160] 那這件事情一旦傳到他的耳朵裡之後呢
[00:10:43,160 --> 00:10:45,240] 他反而會覺得非常的不好意思
[00:10:45,240 --> 00:10:48,180] 會覺得我居然在誇他啊
[00:10:48,180 --> 00:10:51,480] 是不是其實我也沒有他想象中的那麼的不好
[00:10:51,480 --> 00:10:53,500] 因為本來我也沒有真的不好
[00:10:53,500 --> 00:10:58,060] 只是因為在學校裡可能比如說什麼唱歌呀上台呀這種機會太多了
[00:10:58,060 --> 00:11:02,360] 有的時候嘛女孩子之間可能他會出現一點點這種攀比的心理
[00:11:02,360 --> 00:11:04,080] 但是呢 当我这么一个
[00:11:04,080 --> 00:11:06,260] 他们觉得我好像很高冷
[00:11:06,260 --> 00:11:07,120] 很目中无人
[00:11:07,120 --> 00:11:08,520] 很嚣张的这样一个人
[00:11:08,520 --> 00:11:11,420] 却会在背后不停去说这个女孩的好话
[00:11:11,420 --> 00:11:12,660] 去认可她的时候
[00:11:12,660 --> 00:11:13,940] 她自己就会觉得
[00:11:13,940 --> 00:11:17,100] 诶 是不是其实她对我有误解
[00:11:17,100 --> 00:11:19,660] 但实际上最终也因为我的这个动作
[00:11:19,660 --> 00:11:23,280] 她确实就完全转变了对我的看法
[00:11:23,280 --> 00:11:26,640] 因为我能够从她后来在看我的眼神当中
[00:11:26,640 --> 00:11:29,140] 看到了非常明确的善意
[00:11:29,140 --> 00:11:31,340] 其实呢 就这么一个简简单单的动作
[00:11:31,340 --> 00:11:34,140] 就可以减少一个对手 何而而不为呢
[00:11:34,720 --> 00:11:38,140] 然后我们再来拿这个再见爱人当中的麦琳去举例子
[00:11:38,140 --> 00:11:40,360] 最近麦琳真的是特别特别的火
[00:11:40,360 --> 00:11:45,140] 非常难得能够让全网的人几乎是一致性的去讨厌她
[00:11:45,140 --> 00:11:46,700] 但是我们要转间想想
[00:11:46,700 --> 00:11:49,580] 大家到底在讨厌她些什么呢
[00:11:49,580 --> 00:11:53,080] 其实我觉得两个字就叫凭啥
[00:11:53,080 --> 00:11:55,180] 就觉得她要长相没长相
[00:11:55,180 --> 00:11:56,380] 要性格没性格
[00:11:56,380 --> 00:11:57,780] 要学历没学历
[00:11:57,780 --> 00:11:59,920] 凭啥找到一个好老公
[00:11:59,920 --> 00:12:01,660] 能夠把他當姑奶奶捧著
[00:12:01,660 --> 00:12:02,160] 然後呢
[00:12:02,160 --> 00:12:04,640] 把人家李航亮訓得跟孫子似的
[00:12:04,640 --> 00:12:08,760] 憑啥他一個人可以憑一己之力PUA所有的人呢
[00:12:08,760 --> 00:12:09,160] 是吧
[00:12:09,160 --> 00:12:11,000] 大零所有人啊
[00:12:11,000 --> 00:12:11,640] 說白了
[00:12:11,640 --> 00:12:12,240] 其實呢
[00:12:12,240 --> 00:12:14,380] 很多人的內心當中是覺得
[00:12:14,380 --> 00:12:16,740] 為什麼我這麼好的人啊
[00:12:16,740 --> 00:12:20,660] 我們沒有在現實生活當中得到他那樣的優待啊
[00:12:20,660 --> 00:12:22,840] 我們為什麼達不到他那樣的效果呢
[00:12:22,840 --> 00:12:23,200] 所以呢
[00:12:23,200 --> 00:12:25,440] 就會慢慢的開始謾罵他
[00:12:25,440 --> 00:12:27,840] 那如果說我是麥琳的話
[00:12:27,840 --> 00:12:32,840] 我現在會用什麼樣的方式來顛覆我的輿論環境呢
[00:12:33,420 --> 00:12:34,680] 其實也是一樣的
[00:12:34,680 --> 00:12:37,940] 我會把所有的大家對於我的這種討厭
[00:12:37,940 --> 00:12:39,880] 找到了明確的點之後
[00:12:39,880 --> 00:12:43,960] 然後試圖把所有的黑粉拉到我的利益陣營裡
[00:12:44,360 --> 00:12:45,740] 有可能我會怎麼做
[00:12:45,740 --> 00:12:47,800] 我可能會寫本書
[00:12:47,800 --> 00:12:51,020] 或者是開個直播來講玉符之道
[00:12:51,020 --> 00:12:54,260] 教大家如何讓老公聽我的話
[00:12:54,260 --> 00:12:54,920] 是吧
[00:12:54,920 --> 00:12:56,380] 一個普通女人
[00:12:56,380 --> 00:12:59,000] 一個義無是處的女人是如何找到一個
[00:12:59,000 --> 00:13:02,460] 百依百順的老公是如何馴化自己的老公的
[00:13:02,460 --> 00:13:05,560] 直接把我自己身上最大的黑點變成賣點
[00:13:05,560 --> 00:13:07,480] 我覺得大家可以想像的出來
[00:13:07,480 --> 00:13:10,120] 像這樣的一本書或者是這樣的一場直播
[00:13:10,120 --> 00:13:12,680] 到底會受到多少人的關注啊
[00:13:12,680 --> 00:13:13,160] 所以呢
[00:13:13,160 --> 00:13:14,720] 這個就是人性
[00:13:14,720 --> 00:13:16,880] 可能嘴上雖然說對你啊
[00:13:16,880 --> 00:13:18,120] 好像很厭惡很討厭
[00:13:18,120 --> 00:13:18,680] 可是呢
[00:13:18,680 --> 00:13:21,460] 一旦當你身上實現的那些利益
[00:13:21,460 --> 00:13:23,920] 也能變成他的價值的時候
[00:13:23,920 --> 00:13:26,680] 往往的大家就會去價值導向
[00:13:27,490 --> 00:13:28,550] 好那這個呢
[00:13:28,550 --> 00:13:29,850] 其實就在起步期
[00:13:29,850 --> 00:13:32,170] 你可以去回應質疑的兩個方法
[00:13:34,440 --> 00:13:37,080] 那第二個階段呢就是發展期
[00:13:37,080 --> 00:13:39,040] 在我做自媒體之後啊
[00:13:39,040 --> 00:13:40,760] 有了一定的粉絲和影響力
[00:13:40,760 --> 00:13:41,720] 這個時候呢
[00:13:41,720 --> 00:13:45,060] 我又遭遇到了第二次的大規模網報
[00:13:45,060 --> 00:13:46,100] 那這一次呢
[00:13:46,100 --> 00:13:48,620] 我就沒有再去做拉攏的動作了
[00:13:48,620 --> 00:13:50,960] 我選擇的是證明自己
[00:13:50,960 --> 00:13:52,780] 當時這個網報的起源呢
[00:13:52,780 --> 00:13:54,160] 其實是我在直播的時候
[00:13:54,160 --> 00:13:55,300] 有一個女生連麥
[00:13:55,300 --> 00:13:58,520] 她说她男朋友呢本来是要给她买房子
[00:13:58,520 --> 00:14:02,600] 结果呢房子不买了就说不买房了给你一张信卡吧
[00:14:02,600 --> 00:14:04,720] 就是相当于是补偿
[00:14:04,720 --> 00:14:07,600] 啊本来的那个卡呢是可以刷五万
[00:14:07,600 --> 00:14:09,680] 结果那个女生刚刚刷了一万块钱
[00:14:09,680 --> 00:14:13,840] 那个男生就打电话过来很凶就骂骂咧咧的啊
[00:14:13,840 --> 00:14:15,640] 然后她就来跟我讲这个事情
[00:14:15,640 --> 00:14:19,080] 我当时就说那这个男的肯定是做的不对嘛
[00:14:19,080 --> 00:14:21,720] 结果呢这个时候我的直播间里就有一些男粉
[00:14:21,720 --> 00:14:24,560] 有一个男的呢他就在评论区说了一句说
[00:14:24,560 --> 00:14:26,760] 男人的錢是大風刮來的嘛
[00:14:26,760 --> 00:14:29,840] 結果呢我當時就是以半開玩笑的這麼個語氣
[00:14:29,840 --> 00:14:32,840] 我說男人的錢當然是大風刮來的啦
[00:14:32,840 --> 00:14:35,200] 男人的錢是整邊風刮來的
[00:14:35,200 --> 00:14:36,600] 原話基本上就這樣
[00:14:36,600 --> 00:14:38,640] 那其實呢大家一聽就知道我呢
[00:14:38,640 --> 00:14:40,940] 是在做直播效果的一種調侃嘛
[00:14:40,940 --> 00:14:43,260] 結果呢有很多很多的人
[00:14:43,260 --> 00:14:45,720] 就在那場直播之後給我掐頭去尾
[00:14:45,720 --> 00:14:47,880] 就只留了那一句我說
[00:14:47,880 --> 00:14:50,680] 男人的錢當然是大風刮來的啦
[00:14:51,260 --> 00:14:53,060] 最後呢就變成了
[00:14:53,060 --> 00:14:55,260] 只许说男人的钱是大风刮来的
[00:14:55,260 --> 00:14:58,500] 基于这个点就开始有大量的人进行网报
[00:14:58,500 --> 00:15:02,260] 甚至还有一些小地方的官媒他们都下场了
[00:15:02,260 --> 00:15:03,900] 但是当时我没有退缩
[00:15:03,900 --> 00:15:06,180] 我选择了硬钢去证明自己
[00:15:06,180 --> 00:15:08,540] 我开了一场直播没有安排联卖
[00:15:08,540 --> 00:15:11,980] 就是为了一次一句的去回应黑粉
[00:15:11,980 --> 00:15:13,540] 其实我当时的目的
[00:15:13,540 --> 00:15:16,180] 并不是为了让这些人黑转粉
[00:15:16,180 --> 00:15:19,100] 而是为了巩固自己的粉丝群体
[00:15:19,100 --> 00:15:23,000] 因为并不是所有的粉丝都看过我那场完整的直播
[00:15:23,060 --> 00:15:26,880] 有很多没有看过直播的不明真相的粉丝
[00:15:26,880 --> 00:15:28,680] 本来呢 可能只是在观望
[00:15:28,680 --> 00:15:31,960] 还没有决定要不要成为我的铁粉
[00:15:31,960 --> 00:15:33,960] 那么那个时候呢 我的想法就是
[00:15:33,960 --> 00:15:37,360] 他们有可能看到这些断章取义的切片之后
[00:15:37,360 --> 00:15:40,480] 而对我粉转录 甚至是路转黑
[00:15:40,480 --> 00:15:42,140] 所以我那会的想法是
[00:15:42,140 --> 00:15:44,200] 我不能让那些喜欢我的粉丝
[00:15:44,200 --> 00:15:47,480] 或者是中立的粉丝给他们带节奏
[00:15:47,480 --> 00:15:50,240] 我就决定了开直播来澄清
[00:15:50,240 --> 00:15:51,340] 我也不骂人
[00:15:51,340 --> 00:15:54,460] 我只是有理有據的把事實說清楚
[00:15:54,460 --> 00:15:55,600] 大家可以想一想
[00:15:55,600 --> 00:15:58,260] 他們呢 只能在上面打一兩句話
[00:15:58,260 --> 00:16:01,620] 但是呢 因為我是可以在直播裏頭完全控場
[00:16:01,620 --> 00:16:03,160] 做長篇輸出的
