[00:00:00,000 --> 00:00:04,020] Hello 大家好 欢迎回到我们金贵的关系2.0的课堂
[00:02:44,100 --> 00:02:46,440] 它一定是需要四两拨千斤的
[00:02:46,440 --> 00:02:49,800] 要用最省力的动作达到最大的效果
[00:02:49,800 --> 00:02:53,480] 甚至於我們最好能夠做到的是不勞而獲
[00:02:53,610 --> 00:02:55,570] 如果說你非常非常的緊繃
[00:02:55,570 --> 00:02:58,630] 無限制的去增加自己的工作日的時長
[00:02:58,630 --> 00:03:01,450] 工作量永遠都停不下來的話呢
[00:03:01,450 --> 00:03:05,490] 那麼你必然是沒有辦法騰出精力去思考
[00:03:05,490 --> 00:03:08,090] 如何撬動更大的槓桿的
[00:03:08,090 --> 00:03:09,170] 這樣呢走到最後
[00:03:09,170 --> 00:03:11,450] 我覺得大家可能很拼很拼
[00:03:11,450 --> 00:03:12,230] 可是呢
[00:03:12,230 --> 00:03:15,810] 依然脫離不了一個高級的賣白菜的思維
[00:03:15,810 --> 00:03:17,110] 一直累死累活
[00:03:17,110 --> 00:03:18,210] 一直緊繃
[00:03:18,210 --> 00:03:19,190] 陷入死循環
[00:03:19,190 --> 00:03:22,690] 所以啊,我們要學會停下來,鬆弛下來
[00:03:22,690 --> 00:03:26,030] 進而用更加的客觀的心態
[00:03:26,030 --> 00:03:28,850] 去清晰的觀察自己的產品
[00:03:28,850 --> 00:03:31,330] 客戶的需求,員工的狀況
[00:03:31,330 --> 00:03:32,590] 以及去復盤
[00:03:32,590 --> 00:03:35,730] 每一個步驟有沒有可以優化的地方
[00:03:35,730 --> 00:03:39,650] 每一個鏈條有沒有可以放大的地方等等
[00:03:39,650 --> 00:03:40,530] 說白了呢
[00:03:40,530 --> 00:03:42,970] 就是你需要跳出這個盤子
[00:03:42,970 --> 00:03:45,130] 從上帝視角出發
[00:03:45,130 --> 00:03:47,670] 才有可能得到一個更好的結論
[00:03:47,670 --> 00:03:48,830] 我舉個例子啊
[00:03:48,830 --> 00:03:51,530] 我看到一个做的很好的一个美业的博主
[00:03:51,530 --> 00:03:56,170] 他呢就是又接广告啊 又戴美妆 又卖衣服
[00:03:56,170 --> 00:04:00,150] 然后还要开现下课 还要做形象设计等等啊
[00:04:00,150 --> 00:04:06,290] 因为他认为呢 他自己也是一个这种女性形象的这样一个很好的更IP
[00:04:06,290 --> 00:04:08,810] 所以呢 他什么都能做
[00:04:08,810 --> 00:04:12,670] 然后我看到的情况就是他一直不断不断的在压榨自己
[00:04:12,670 --> 00:04:15,010] 把自己的时间精力都给填满了
[00:04:15,010 --> 00:04:19,170] 把所有他能夠參與的賽道感覺都給插了一腳
[00:04:19,170 --> 00:04:20,750] 但是呢我就不會這麼幹
[00:04:20,750 --> 00:04:21,990] 因為首先呢
[00:04:21,990 --> 00:04:24,290] 我覺得這樣是非常非常的累的
[00:04:24,290 --> 00:04:26,430] 其次呢我覺得這樣的賺錢的方式
[00:04:26,430 --> 00:04:29,010] 其實本質它並不高級
[00:04:29,040 --> 00:04:33,020] 我不相信所有你能夠插手的板塊
[00:04:33,020 --> 00:04:35,700] 它都可以創造同等的價值
[00:04:35,700 --> 00:04:39,560] 我相信一定是有的板塊能創造更大的價值
[00:04:39,560 --> 00:04:40,780] 而有的板塊
[00:04:40,780 --> 00:04:44,080] 它創造的價值可能是忽略不計的
[00:04:44,080 --> 00:04:45,740] 那麼如果是我的話呢
[00:04:45,740 --> 00:04:49,420] 我就直接會把那些很消耗我的精力
[00:04:49,420 --> 00:04:50,200] 但是呢
[00:04:50,200 --> 00:04:54,280] 他的產出非常薄弱的這樣一些項目直接給砍掉
[00:04:54,280 --> 00:05:01,280] 我會把我所有的精力跟時間盡量都投入到那些投入產出比最大的項目裡面
[00:05:01,280 --> 00:05:05,660] 或者說是有更長遠的規劃的這樣的項目裡
[00:05:05,660 --> 00:05:09,380] 然後把剩餘的時間和精力都拿來休息和思考
[00:05:09,380 --> 00:05:11,980] 我一定要保持休息和思考的狀態
[00:05:11,980 --> 00:05:15,300] 才有可能找到下一個思量撥錢金的點位
[00:05:16,300 --> 00:05:17,140] 同樣啊
[00:05:17,140 --> 00:05:18,340] 如果說你不鬆弛
[00:05:18,340 --> 00:05:19,880] 你害怕休息下來呢
[00:05:19,880 --> 00:05:22,500] 那麼你就永遠也搭不出團隊
[00:05:22,500 --> 00:05:23,920] 因為你疼不出手
[00:05:23,920 --> 00:05:26,060] 讓更多人來為你賺錢
[00:05:26,060 --> 00:05:28,960] 只有你自己願意抽時間抽精力
[00:05:28,960 --> 00:05:31,160] 去物色更優秀的人才
[00:05:31,160 --> 00:05:32,840] 去培養團隊的時候
[00:05:32,840 --> 00:05:36,120] 你才有可能讓人才成為你的鋼桿
[00:05:36,120 --> 00:05:38,520] 好像我剛開始做自媒體的時候了
[00:05:38,520 --> 00:05:40,280] 我那個時候其實已經知道了
[00:05:40,280 --> 00:05:41,500] 如果說我想要做大
[00:05:41,500 --> 00:05:44,980] 就必須要孵化諮詢導師幫我做交付
[00:05:44,980 --> 00:05:46,200] 可是當時的我呢
[00:05:46,200 --> 00:05:47,500] 不僅僅是要直播
[00:05:47,500 --> 00:05:48,560] 還要做交付
[00:05:48,560 --> 00:05:51,900] 甚至連短視頻都需要我自己拍自己剪
[00:05:51,900 --> 00:05:55,580] 所以我沒有時間騰出手來去搭建團隊
[00:05:55,580 --> 00:05:56,720] 然後那個時候呢
[00:05:56,720 --> 00:06:00,480] 我就嘗試有跟一家MCN公司來合作
[00:06:00,480 --> 00:06:04,540] 雖然說最後我們因為價值觀的分歧而分道揚鑣了
[00:06:04,540 --> 00:06:06,100] 但是當時那個當下
[00:06:06,100 --> 00:06:07,900] 我之所以會去跟他們合作
[00:06:07,900 --> 00:06:09,940] 其中有一個很重要的原因就是因為
[00:06:09,940 --> 00:06:12,740] 我必須釋放一部分的精力出來
[00:06:12,740 --> 00:06:16,880] 去尋找或者孵化合適的諮詢導師
[00:06:16,880 --> 00:06:20,320] 我希望能夠在不增加成本的情況下
[00:06:20,320 --> 00:06:21,760] 借助別人的力量
[00:06:21,760 --> 00:06:24,920] 然後慢慢的把我的初始團隊搭建起來
[00:06:24,920 --> 00:06:26,700] 所以不要相信什麼
[00:06:26,700 --> 00:06:29,880] 只要幹不死就往死裡幹這樣的口號
[00:06:29,880 --> 00:06:32,360] 我們一定要學會用巧勁
[00:06:32,360 --> 00:06:34,420] 能夠忍得住不去絕
[00:06:34,420 --> 00:06:36,460] 其實這個才是大智慧
[00:06:38,000 --> 00:06:39,980] 好 那接下來我們就來講一講
[00:06:39,980 --> 00:06:42,400] 到底如何擺脫這樣的焦慮感
[00:06:42,400 --> 00:06:43,740] 擁抱鬆弛感
[00:06:43,740 --> 00:06:45,640] 在這之前我們來看一看
[00:06:45,640 --> 00:06:47,480] 為什麼大家創業的時候
[00:06:47,480 --> 00:06:49,020] 會有這樣的緊張
[00:06:49,020 --> 00:06:50,680] 緊繃和焦慮
[00:06:50,680 --> 00:06:52,180] 了解了其中的原有
[00:06:52,180 --> 00:06:54,180] 我們才能夠對症下藥
[00:06:54,180 --> 00:06:55,160] 其實理由呢
[00:06:55,160 --> 00:06:56,560] 我認為通常是有兩個
[00:06:56,560 --> 00:06:59,320] 第一個就是現金流的潰瓦
[00:06:59,320 --> 00:07:01,620] 很多人在創業的過程當中
[00:07:01,620 --> 00:07:03,880] 但凡賺到一點點的錢
[00:07:03,880 --> 00:07:05,880] 他們都會習慣性的
[00:07:05,880 --> 00:07:09,560] 把所有的錢用來投入到接下來的項目
[00:07:09,560 --> 00:07:13,880] 早早的可能還就背上了一些什麼房貸啊車貸啊等等
[00:07:13,880 --> 00:07:17,300] 然後會讓自己處於一個負債狀態
[00:07:17,300 --> 00:07:19,720] 尤其是從底層爬起來的人
[00:07:19,720 --> 00:07:24,820] 他們對於購買大型的這種不動產是非常有執念的
[00:07:24,820 --> 00:07:28,660] 因為他們想要證明給自己的家人和朋友來看
[00:07:28,660 --> 00:07:31,620] 他們已經獲得了初始階段的勝利
[00:07:31,620 --> 00:07:35,860] 所以呢他們不斷的把新賺來的錢去買更多的房子
[00:07:35,860 --> 00:07:37,980] 或者去置換更大的房子
[00:07:37,980 --> 00:07:42,120] 就導致他們的手上一直都沒有一個良好的現金流狀態
[00:07:42,120 --> 00:07:44,560] 那你說他怎麼可能不緊繃呢
[00:07:44,560 --> 00:07:47,160] 因為他非常的害怕斷供對吧
[00:07:47,160 --> 00:07:49,520] 那我們閨蜜聯盟呢其實就有一個姐妹
[00:07:49,520 --> 00:07:51,280] 她之前就是這麼一個情況
[00:07:51,310 --> 00:07:54,290] 她一賺到錢就會去換房子
[00:07:54,290 --> 00:07:56,850] 然後越換越大越換越貴
[00:07:56,850 --> 00:07:59,890] 所以呢她就一直就手上沒有什麼錢
[00:07:59,890 --> 00:08:02,410] 有一次呢她就過來跟我聊天啊
[00:08:02,410 --> 00:08:06,290] 她當時她其實自己不知道她這種緊繃感是怎麼造成的
[00:08:06,290 --> 00:08:09,230] 她就問我 她說為什麼同為創業者
[00:08:09,230 --> 00:08:12,250] 你就很鬆弛 可是我就很緊繃呢
[00:08:12,250 --> 00:08:13,190] 然後我就跟她講
[00:08:13,190 --> 00:08:15,510] 我說你現在的房子夠不夠住
[00:08:15,510 --> 00:08:17,210] 她說是夠住的
[00:08:17,210 --> 00:08:20,790] 我說那為什麼你要把你手上的現金流全部都掏乾
[00:08:20,790 --> 00:08:24,790] 然後去買更多的房子 或者去換更大的房子呢
[00:08:24,790 --> 00:08:28,390] 她說因為我是一個從底層爬起來的女生
[00:08:28,390 --> 00:08:32,890] 所以我一直是在用不斷的購置房產的這樣一件事情
[00:08:32,890 --> 00:08:38,110] 来佐证我始终还在不断进步这么一件事
[00:08:38,110 --> 00:08:41,770] 我说可是现在的市场行情已经不一样了
[00:08:41,770 --> 00:08:43,410] 以前你买房子的时候
[00:08:43,410 --> 00:08:46,970] 你能清晰的知道这个房子它是会不断的增值的
[00:08:47,710 --> 00:08:50,090] 可是呢现在再往后买的房子
[00:08:50,090 --> 00:08:53,930] 你还能够这么清晰的认知它一定会增值吗
[00:08:54,430 --> 00:08:56,190] 那他显然他给我的回答是
[00:08:56,190 --> 00:08:57,710] 那我现在也确定不了
[00:08:57,710 --> 00:08:58,910] 我说那就对了
[00:08:58,910 --> 00:09:02,630] 如果说你现在手上的现金流全部投到房子里
[00:09:02,630 --> 00:09:05,370] 我說房子如果跌了呢
[00:09:05,370 --> 00:09:08,310] 以前你雖然說把錢投入了房子裡
[00:09:08,310 --> 00:09:10,430] 可是因為你知道房價它會漲
[00:09:10,430 --> 00:09:13,670] 所以說這個房價的漲價的預期
[00:09:13,670 --> 00:09:18,390] 它會抵消一部分你對於現金流緊張的這種壓力
[00:09:18,390 --> 00:09:21,090] 可是如果未來房子它不漲
[00:09:21,090 --> 00:09:23,510] 甚至於會跌的情況下
[00:09:23,510 --> 00:09:25,550] 你手上依然沒有現金流
[00:09:25,550 --> 00:09:29,390] 你還要把所有的現金流全部投入到你的貸款當中去的時候
[00:09:29,390 --> 00:09:32,990] 你還要忍受房產價值的下跌
[00:09:32,990 --> 00:09:36,970] 這種雙重壓力會不會把你的心意全部好乾
[00:09:36,970 --> 00:09:38,930] 他說那肯定是會的
[00:09:38,930 --> 00:09:41,490] 他一定會變得非常的恐懼
[00:09:41,490 --> 00:09:42,610] 所以我就跟他講
[00:09:42,610 --> 00:09:44,490] 我說既然市場不明朗
[00:09:44,490 --> 00:09:48,370] 那麼你何不先把錢留在自己的手上呢
[00:09:48,370 --> 00:09:50,250] 不要著急去置換
[00:09:50,250 --> 00:09:52,290] 後來呢他就聽了我的啊
[00:09:52,290 --> 00:09:53,390] 然後在那一輪呢
[00:09:53,390 --> 00:09:55,830] 他就沒有再去購置新的房產了
[00:09:55,830 --> 00:09:57,630] 結果沒有過多長一段時間
[00:09:57,630 --> 00:09:59,370] 然後他就非常非常開心的
[00:09:59,370 --> 00:10:03,250] 来跟我讲 他说我这段时间真的觉得自己变得很松弛
[00:10:03,250 --> 00:10:04,670] 一点都不紧绷了
[00:10:04,670 --> 00:10:07,930] 而且因为后来他在链接这些高端人脉的时候啊
[00:10:07,930 --> 00:10:11,770] 他确确实实能够感受到更加顺畅的交流了
[00:10:11,770 --> 00:10:14,490] 为什么 因为他手上钱多了以后
[00:10:14,490 --> 00:10:17,390] 无论是从社交的开销维度上来讲
[00:10:17,390 --> 00:10:19,110] 他是不是可以变得很放松
[00:10:19,110 --> 00:10:22,070] 还是说他就从做生意的维度上来讲
[00:10:22,070 --> 00:10:26,570] 他不会表现的我急着要赚你的钱的这种感觉
[00:10:26,570 --> 00:10:29,170] 他的磁场跟能量都发生了变化
[00:10:29,170 --> 00:10:31,290] 那麼在鏈接高端客戶的時候
[00:10:31,290 --> 00:10:33,910] 更能夠給大家一種舒服的感受
[00:10:33,910 --> 00:10:36,970] 他們之間的交流會顯得更加的平等
[00:10:36,970 --> 00:10:38,230] 我再舉個例子
[00:10:38,230 --> 00:10:40,150] 我以前做居間業務的時候
[00:10:40,150 --> 00:10:42,970] 也是屬於三年不開張開張吃三年
[00:10:42,970 --> 00:10:46,270] 通常來講這樣充滿不確定的收入模式
[00:10:46,270 --> 00:10:49,070] 其實也是會給人帶來緊繃感的
[00:10:49,070 --> 00:10:51,550] 可是我那個時候就特別的鬆弛
[00:10:51,550 --> 00:10:52,730] 為什麼呢
[00:10:52,730 --> 00:10:56,750] 因為很早年的時候我就一直在投資酒吧
[00:10:57,010 --> 00:10:59,390] 然后那个时候酒吧其实它是一个
[00:10:59,390 --> 00:11:02,110] 年年都在蒸蒸日上的这么一个业态
[00:11:02,110 --> 00:11:04,630] 它每年的分红都会给我带来
[00:11:04,630 --> 00:11:06,650] 非常非常稳定的现金流
[00:11:06,650 --> 00:11:09,990] 同时呢 因为我是一个恋爱小达人啊
[00:11:09,990 --> 00:11:13,170] 然后那个时候基本上我的日常支出
[00:11:13,170 --> 00:11:15,950] 都是由我的男朋友来承担的
[00:11:15,950 --> 00:11:19,730] 所以说在生活上我没有额外的需要开销的地方
[00:11:19,730 --> 00:11:23,650] 再加上我还有每个月稳定的这种分红收入
[00:11:23,650 --> 00:11:26,570] 以至于那个时候其实我是没有任何的焦虑感的
[00:11:26,570 --> 00:11:30,010] 因為我就算是你別說三年不開張了
[00:11:30,010 --> 00:11:32,390] 我當時的感覺是哪怕我十年不開張
[00:11:32,390 --> 00:11:34,510] 又怎麼樣呢 反正我也餓不死
[00:11:34,510 --> 00:11:37,930] 也不覺得說我一定要去打一份工或者怎麼樣
[00:11:37,930 --> 00:11:40,630] 所以保障充足的現金流
[00:11:40,630 --> 00:11:43,390] 這個是能夠讓我們在心態上
[00:11:43,390 --> 00:11:46,810] 有一定鬆弛感的一個最大的前提
[00:11:46,810 --> 00:11:50,310] 那第二個大家會一直感到緊繃的原因呢
[00:11:50,310 --> 00:11:52,690] 其實就是因為出生的匱乏
[00:11:52,690 --> 00:11:56,310] 很多人之所以這麼緊繃是因為原生家庭很窮
[00:11:56,310 --> 00:12:02,390] 或者說 原生家庭有錢 但是卻很複雜
[00:12:02,390 --> 00:12:04,790] 兄弟姐妹非常非常的多
[00:12:04,790 --> 00:12:08,530] 甚至於呢 可能都不是一個爸爸媽媽的這樣的一個情況
[00:12:08,530 --> 00:12:13,510] 導致他們從小就需要消解了腦袋去競爭 去搶
[00:12:13,510 --> 00:12:18,050] 所以他們的這幫人跟那些從小就很匱乏的人一樣
[00:12:18,050 --> 00:12:21,010] 他們都會覺得自己好像一不競爭了
[00:12:21,010 --> 00:12:24,090] 一不向上了 就會感覺到非常的焦慮啊
[00:12:24,090 --> 00:12:26,090] 他們就會對自己的要求很高
[00:12:26,090 --> 00:12:28,650] 很希望能夠做出一番成績
[00:12:28,650 --> 00:12:31,570] 所以他們也會把自己逼得特別特別的緊
[00:12:31,570 --> 00:12:35,010] 那本質上呢就是怕自己搶不過被淘汰
[00:12:35,010 --> 00:12:38,190] 我看直播界也有很多很多這樣的選手啊
[00:12:38,190 --> 00:12:39,970] 他們每天都在直播
[00:12:39,970 --> 00:12:41,450] 永遠都不停下來
[00:12:41,450 --> 00:12:44,650] 其實就好像大家知道那個李佳琪嘛
[00:12:44,650 --> 00:12:46,050] 像她這樣的超級大V
[00:12:46,050 --> 00:12:47,830] 她已經都做到這個維度了
[00:12:47,830 --> 00:12:49,070] 但是她曾經就說過
[00:12:49,070 --> 00:12:50,790] 她說如果我停下來了
[00:12:50,790 --> 00:12:52,970] 我認為我的客戶就會去看別人
[00:12:52,970 --> 00:12:54,390] 一旦他們去看別人了
[00:12:54,390 --> 00:12:56,270] 我覺得他們就會被別人所吸引
[00:12:56,270 --> 00:12:58,110] 就不會再回來了
[00:12:58,110 --> 00:13:01,310] 你們覺不覺得這個心態其實跟
[00:13:01,310 --> 00:13:03,510] 慈禁的心態特別的像
[00:13:03,510 --> 00:13:04,210] 就好像
[00:13:04,210 --> 00:13:04,670] 哎呀
[00:13:04,670 --> 00:13:06,710] 皇帝今天如果不來寵幸我了
[00:13:06,710 --> 00:13:08,630] 他就會去寵幸別人
[00:13:08,630 --> 00:13:09,210] 啊
[00:13:09,210 --> 00:13:10,430] 其實呢這樣的心態
[00:13:10,430 --> 00:13:14,230] 他的底色還是帶著一絲絲的怯懦的
[00:13:14,230 --> 00:13:15,790] 那更進一步來說呢
[00:13:15,790 --> 00:13:17,290] 出生的匱乏也會導致
[00:13:17,290 --> 00:13:19,450] 他們的視野相對的狹窄
[00:13:19,450 --> 00:13:20,290] 在他們眼裡
[00:13:20,290 --> 00:13:22,870] 這個世界上的蛋糕就只有這麼大啊
[00:13:22,870 --> 00:13:24,150] 就沒有了
[00:13:24,150 --> 00:13:28,150] 或者說他們會覺得賺錢的機會一生只有一兩次
[00:13:28,150 --> 00:13:30,030] 錯過了就沒有了
[00:13:30,030 --> 00:13:33,350] 所以很多的網紅呢他們之所以會那麼的緊繃
[00:13:33,350 --> 00:13:37,130] 其實就是因為他們把自己定義成了一個時代
[00:13:37,130 --> 00:13:39,250] 放潮下的一個信譽
[00:13:39,710 --> 00:13:42,410] 他們總覺得自己是因為運氣好
[00:13:42,410 --> 00:13:44,690] 靠這波流量跨越了階級
[00:13:44,690 --> 00:13:47,950] 所以一定要想盡一切辦法把能掙到的錢
[00:13:47,950 --> 00:13:49,990] 一口氣全部掙到手
[00:13:49,990 --> 00:13:52,550] 但是呢我卻不是這麼想問題的
[00:13:52,550 --> 00:13:55,450] 首先啊我认为这个世界非常非常的大
[00:13:55,450 --> 00:13:58,030] 光我们国家就有十几亿人口
[00:13:58,030 --> 00:14:00,550] 这是多么庞大的一个市场啊
[00:14:00,550 --> 00:14:02,670] 蛋糕真的会分的完吗
[00:14:02,670 --> 00:14:05,590] 我觉得啊只要是还能够
[00:14:05,590 --> 00:14:07,230] 说话还能够动
[00:14:07,230 --> 00:14:10,730] 我就一定还能找到愿意为我付费的人
[00:14:10,730 --> 00:14:15,690] 其次呢我也不认为自己是在单纯的凭运气赚钱
[00:14:15,690 --> 00:14:21,450] 我认为其实所有的运气它也是来自于我日积夜累的
[00:14:21,450 --> 00:14:24,210] 這樣對於技能的一種積累
[00:14:24,210 --> 00:14:26,450] 我覺得就算哪一天我停播了
[00:14:26,450 --> 00:14:28,130] 粉絲肯定會流失的
[00:14:28,130 --> 00:14:31,550] 但是我相信我還是可以憑藉這些年的積累
[00:14:31,550 --> 00:14:35,750] 我的能力重新再去打起一片江山
[00:14:35,750 --> 00:14:39,970] 我相信我能在我想要做的任何一個事情上
[00:14:39,970 --> 00:14:41,470] 都賺到的錢
[00:14:41,470 --> 00:14:44,010] 只不過這個錢有多有少而已
[00:14:44,010 --> 00:14:45,030] 最後呢
[00:14:45,030 --> 00:14:46,890] 我認為每個人的人生中啊
[00:14:46,890 --> 00:14:49,550] 都會出現很多次的歧遇和風口
[00:14:49,550 --> 00:14:52,670] 不是只會出現一兩次
[00:14:52,670 --> 00:14:56,030] 而是我們只需要抓住一兩次
[00:14:56,030 --> 00:14:58,190] 就算這次你抓不住風口
[00:14:58,190 --> 00:15:00,830] 只要你磨練好自己的實力
[00:15:00,830 --> 00:15:03,950] 持續不斷的提升你對市場的認知
[00:15:03,950 --> 00:15:07,110] 下一個風口其實你依然有機會抓住
[00:15:07,110 --> 00:15:11,230] 你們看啊最近的這個企業家網紅特別特別的多
[00:15:11,230 --> 00:15:13,090] 比如說周鴻一
[00:15:13,090 --> 00:15:15,550] 他過去幾十年當過網紅嗎
[00:15:15,550 --> 00:15:19,350] 他沒有可是你們覺不覺得他現在一衝出來當網紅
[00:15:19,350 --> 00:15:21,910] 好像他整個人就特別特別的有王感
[00:15:21,910 --> 00:15:23,590] 其實為什麼會這樣呢
[00:15:23,590 --> 00:15:28,510] 無非就是因為他有著一個非常強大的企業家精神
[00:15:28,510 --> 00:15:30,930] 所以當他想做任何一件事情的時候
[00:15:30,930 --> 00:15:33,390] 他都會拿出自己的企業家精神
[00:15:33,390 --> 00:15:36,310] 來仔細的把這個點位去鑽研透徹
[00:15:36,310 --> 00:15:37,710] 然後深耕下去
[00:15:37,710 --> 00:15:39,270] 不僅僅是他啊
[00:15:39,270 --> 00:15:41,230] 大家可以看到像楚實健
[00:15:41,230 --> 00:15:45,810] 他50多歲的時候把玉溪的捲煙廠就幹到了亞洲第一
[00:15:45,810 --> 00:15:48,130] 結果呢到了74歲的時候
[00:15:48,130 --> 00:15:50,110] 他也没有选择安详晚年
[00:15:50,110 --> 00:15:52,170] 而是选择了二次创业
[00:15:52,170 --> 00:15:54,030] 承包了一片荒山
[00:15:54,030 --> 00:15:56,650] 开始种橙子开果园
[00:15:56,650 --> 00:15:59,870] 一步一步的又一次做成了一碗身家
[00:15:59,870 --> 00:16:03,270] 做成了我们都非常非常家喻户晓的储城
[00:16:03,270 --> 00:16:05,190] 所以呢大家可以放心
[00:16:05,190 --> 00:16:07,890] 人的成功并不是一次性的
[00:16:07,890 --> 00:16:10,590] 通往成功的列车也不只有一般
[00:16:10,590 --> 00:16:14,350] 我们不必在这一次就拼了命的挤进去
[00:16:17,320 --> 00:16:20,540] 那接下来呢我们来看一看如何破除焦虑
[00:16:21,540 --> 00:16:24,920] 我给大家准备了一个最核心的思路
[00:16:24,920 --> 00:16:26,920] 叫做具象化
[00:16:26,920 --> 00:16:28,320] 你要不断的呀
[00:16:28,320 --> 00:16:30,420] 要去把那些让你焦虑
[00:16:30,420 --> 00:16:33,360] 让你紧绷的事情去具象化
[00:16:33,360 --> 00:16:36,480] 把它落实到一个具体的原因上
[00:16:36,480 --> 00:16:37,520] 具体的动作
[00:16:37,520 --> 00:16:39,020] 具体的场景
[00:16:39,020 --> 00:16:41,620] 而当你把这些事情都具象化以后呢
[00:16:41,620 --> 00:16:43,600] 你会发现来来去去
[00:16:43,600 --> 00:16:45,780] 它只会分成三种情况
[00:16:45,780 --> 00:16:46,980] 第一种呢
[00:16:46,980 --> 00:16:48,960] 就是压根没关系
[00:16:48,960 --> 00:16:49,920] 第二种呢
[00:16:49,920 --> 00:16:51,440] 是壓根沒的選
[00:16:51,440 --> 00:16:54,020] 第三種呢是可以解決
[00:16:54,020 --> 00:16:56,580] 那麼這三種情況無論是哪一種
[00:16:56,580 --> 00:16:59,400] 都能夠幫你去除焦慮和緊繃感
