[00:00:00,000 --> 00:00:01,400] 那从这节课开始呢
[00:05:12,260 --> 00:05:14,640] 因為他不愛錢 可是在我的認知裡呢
[00:05:14,640 --> 00:05:16,340] 我認為他是一個特別有能力的人
[00:05:16,340 --> 00:05:19,960] 那我 當我想要把這個有能力的人拿過來
[00:05:19,960 --> 00:05:23,000] 为我所用 为我这个团队所用的时候
[00:05:23,000 --> 00:05:25,880] 我首先要干的一件事是什么
[00:05:25,880 --> 00:05:28,340] 那我那个时候其实首先想干的事
[00:05:28,340 --> 00:05:31,880] 是激发他对于金钱的欲望
[00:05:31,880 --> 00:05:34,160] 因为如果他对金钱没有欲望
[00:05:34,160 --> 00:05:37,420] 他再有能力 他就觉得他活在他那个
[00:05:37,840 --> 00:05:39,880] 海边小城市 他觉得很好
[00:05:39,880 --> 00:05:42,940] 我一年出去赚几圈 我也不缺钱花 对吧
[00:05:42,940 --> 00:05:44,380] 我在这个地方我的消费也不高
[00:05:44,380 --> 00:05:48,300] 为什么我非要跟你一样跑到这个超一线城市去卷呢
[00:05:48,300 --> 00:05:52,080] 对不对 去坑吃坑吃的干把我自己弄得跟个老黄牛似的
[00:05:52,080 --> 00:05:56,440] 完了以后我对于钱又没有那么大的欲望 我有没有没有那么多想要花钱的地方
[00:05:56,440 --> 00:06:01,640] 所以当我想用这个人才的时候 我第一件事是先激发他的欲望
[00:06:01,640 --> 00:06:07,500] 比如说那个时候我把他叫到上海来啊 叫一堆这个非常非常帅的
[00:06:08,100 --> 00:06:13,380] 小鲜肉啊 跟大家一起喝酒啊 玩啊 是吧 然后呢 带他去吃
[00:06:13,380 --> 00:06:15,520] 最好吃的这些餐厅啊
[00:06:15,520 --> 00:06:17,540] 然后让他跟我一起去
[00:06:17,540 --> 00:06:21,360] 那种非常非常漂亮的这种手势店啊
[00:06:21,360 --> 00:06:22,920] 还有什么地方购物啊
[00:06:22,920 --> 00:06:28,680] 让他去感受这种物欲横行的这样一个世界
[00:06:28,680 --> 00:06:29,800] 那慢慢的呢
[00:06:29,800 --> 00:06:32,200] 我是从这个地方开始腐蚀这个人
[00:06:32,200 --> 00:06:33,460] 然后呢
[00:06:33,460 --> 00:06:36,360] 让他觉得说其实有钱还是挺好的
[00:06:36,360 --> 00:06:38,840] 所以我是从激发他的欲望的维度上
[00:06:38,840 --> 00:06:42,180] 然后最后才慢慢的让他来靠近我这个团队的
[00:06:42,180 --> 00:06:43,000] 那我呢
[00:06:43,000 --> 00:06:44,340] 那個時候其實有跟他講說
[00:06:44,340 --> 00:06:46,380] 我說愛錢其實是愛我們自己
[00:06:46,380 --> 00:06:47,680] 愛我們身邊的人
[00:06:48,200 --> 00:06:48,740] 為什麼呢
[00:06:48,740 --> 00:06:51,980] 因為當我們想要去幫助別人
[00:06:51,980 --> 00:06:54,420] 要讓別人快樂的時候
[00:06:54,420 --> 00:06:56,980] 我們是不是都需要錢
[00:06:56,980 --> 00:06:59,720] 比如說我想帶家裡人去吃好的
[00:06:59,720 --> 00:07:00,300] 玩好的
[00:07:00,300 --> 00:07:01,620] 這個是需要消費的
[00:07:01,620 --> 00:07:02,700] 是需要錢的
[00:07:02,700 --> 00:07:05,840] 那如果我喜歡開這個派對
[00:07:05,840 --> 00:07:06,140] 對不對
[00:07:06,140 --> 00:07:08,460] 我要帶著所有的我身邊的朋友啊
[00:07:08,460 --> 00:07:09,380] 同事啊
[00:07:09,380 --> 00:07:11,160] 跟我一起作戰的小夥伴呢
[00:07:11,160 --> 00:07:13,540] 我出去旅遊 大家都知道
[00:07:13,540 --> 00:07:16,860] 我們出去團建旅遊都是全程都是商務艙
[00:07:16,860 --> 00:07:20,380] 而且都是去住最好的酒店
[00:07:20,380 --> 00:07:21,360] 五星級都不行
[00:07:21,360 --> 00:07:24,060] 那都是一個晚上都打幾千的這種酒店
[00:07:24,060 --> 00:07:25,280] 然後我甚至有的時候
[00:07:25,280 --> 00:07:28,640] 比如說我還會帶特定的這樣一些
[00:07:28,640 --> 00:07:30,100] 衝鋒陷陣的團隊吧
[00:07:30,100 --> 00:07:31,620] 我帶他們都是商務機出行
[00:07:31,620 --> 00:07:33,200] 我是這麼一個人
[00:07:33,200 --> 00:07:33,940] 大家想想看
[00:07:33,940 --> 00:07:37,420] 我在讓他們享受這些舒適的這種東西的時候
[00:07:37,420 --> 00:07:38,580] 我是不是需要這個
[00:07:38,580 --> 00:07:42,260] 所以說那你說我僅僅是因為自己喜歡嗎
[00:07:42,260 --> 00:07:42,780] 不是的
[00:07:42,780 --> 00:07:45,000] 而是我希望我身邊每一個人
[00:07:45,000 --> 00:07:48,840] 他們都能夠因為我而感受到這種高品質的生活
[00:07:48,840 --> 00:07:50,400] 那這個是好的維度的
[00:07:50,400 --> 00:07:52,220] 那往不好的維度想一想
[00:07:52,220 --> 00:07:57,720] 當我們的家人如果他們的身體出現了什麼不好的情況的時候
[00:07:57,850 --> 00:07:59,870] 這個時候你是不是需要看病
[00:07:59,870 --> 00:08:01,030] 你是不是需要治療
[00:08:01,030 --> 00:08:03,810] 你希不希望能夠幫他把最好的藥都用上
[00:08:03,810 --> 00:08:06,030] 最好的醫療手段全部都用上
[00:08:06,030 --> 00:08:06,430] 對吧
[00:08:06,430 --> 00:08:08,610] 讓你覺得我不用為這個事情操心
[00:08:08,610 --> 00:08:09,530] 只要我有
[00:08:09,530 --> 00:08:11,330] 那么他就一定能救得活
[00:08:11,330 --> 00:08:13,010] 一定能救得最好
[00:08:13,010 --> 00:08:16,130] 那这种是不是也是为了去关爱自己身边
[00:08:16,130 --> 00:08:17,670] 最在乎的这样一些人
[00:08:17,670 --> 00:08:18,710] 所以说呢
[00:08:18,710 --> 00:08:20,110] 我其实一直以来
[00:08:20,110 --> 00:08:22,610] 我觉得我作为一个爱钱的人
[00:08:22,610 --> 00:08:25,110] 那么我在我的生命当中啊
[00:08:25,110 --> 00:08:27,970] 其实更多的时候是在享受一个
[00:08:27,970 --> 00:08:31,470] 大家跟我在一起就会感觉到很开心
[00:08:31,470 --> 00:08:32,490] 很有生命力
[00:08:32,490 --> 00:08:33,570] 很有能量的感觉
[00:08:33,570 --> 00:08:35,990] 包括我在做我的直播的时候也是这样
[00:08:35,990 --> 00:08:38,050] 我认为我的直播间里的每一个人
[00:08:38,050 --> 00:08:41,070] 他们都因为靠近我而变得开心了
[00:08:41,070 --> 00:08:42,210] 变得快乐了
[00:08:42,210 --> 00:08:43,650] 我让大家成长了
[00:08:43,650 --> 00:08:45,490] 学习了 拿到结果了
[00:08:46,130 --> 00:08:48,710] 他们又能够赚到更多的钱
[00:08:48,710 --> 00:08:51,470] 然后呢又能给身边的人花更多钱
[00:08:51,470 --> 00:08:53,250] 还能照顾更多的人
[00:08:53,250 --> 00:08:56,070] 不管是父母还是家人还是朋友
[00:08:56,070 --> 00:08:57,690] 都能够被他们照顾的时候
[00:08:57,690 --> 00:09:00,150] 那我会觉得更加的有成就感
[00:09:00,150 --> 00:09:02,890] 所以说为什么我会这么喜欢赚钱呢
[00:09:02,890 --> 00:09:05,230] 为什么我的脑子里每天都在盘
[00:09:05,230 --> 00:09:07,690] 怎么能够产生更好的信心流呢
[00:09:07,690 --> 00:09:10,110] 是因为我很爱我自己
[00:09:10,110 --> 00:09:12,230] 同时我也很爱我身边的人
[00:09:12,230 --> 00:09:14,450] 我希望让大家都去获利
[00:09:14,450 --> 00:09:16,770] 都能够过上更好的生活
[00:09:16,770 --> 00:09:20,810] 所以我才会对钱有着比较极致的欲望
[00:09:20,810 --> 00:09:24,030] 那么了解了两个前提性的认知之后
[00:09:24,030 --> 00:09:26,150] 我们接下来就来讲一讲
[00:09:26,150 --> 00:09:28,350] 搞钱的底层逻辑
[00:09:28,350 --> 00:09:29,870] 大家要记住一句话
[00:09:29,870 --> 00:09:32,270] 搞钱就是搞信息差
[00:09:32,270 --> 00:09:35,650] 这个也是我们这门课的一个核心逻辑
[00:09:35,650 --> 00:09:39,670] 它在我看來也是做生意的第一性原理
[00:09:39,760 --> 00:09:42,540] 很多人會把賺錢想得非常的複雜
[00:09:42,540 --> 00:09:46,020] 但其實賺錢的本質就是買和賣
[00:09:46,120 --> 00:09:48,820] 所以做生意才叫做買賣
[00:09:48,820 --> 00:09:50,760] 一手買進一手買出
[00:09:50,760 --> 00:09:52,620] 這個就叫生意
[00:09:52,620 --> 00:09:54,660] 無論這個世界如何變化
[00:09:54,660 --> 00:09:56,240] 科技如何發展
[00:09:56,240 --> 00:09:58,800] 這個都是更古不變的
[00:09:58,800 --> 00:10:00,160] 所以會賺錢的人
[00:10:00,160 --> 00:10:03,880] 他就是懂得低價買入高價賣出的人
[00:10:03,880 --> 00:10:06,340] 自己可以在中間賺差價
[00:10:06,340 --> 00:10:09,480] 或者說他可以先找到買家
[00:10:09,480 --> 00:10:13,040] 然後再去找到低價的供應商
[00:10:13,040 --> 00:10:15,100] 用一定的差價把這個貨賣出去
[00:10:15,100 --> 00:10:17,360] 那麼無論是低廉的價格
[00:10:17,360 --> 00:10:18,660] 還是源頭的供應商
[00:10:18,660 --> 00:10:20,620] 還有優質的買家等等
[00:10:20,620 --> 00:10:24,740] 這些信息他統統的都稱為信息差
[00:10:24,840 --> 00:10:26,840] 所以他們賺錢的方式呢
[00:10:26,840 --> 00:10:29,320] 也就是利用信息差來賺錢
[00:10:29,320 --> 00:10:30,940] 那麼想要賺錢
[00:10:30,940 --> 00:10:33,540] 大家就一定要先找到信息差
[00:10:33,540 --> 00:10:34,980] 我舉個例子啊
[00:10:34,980 --> 00:10:36,860] 那我之前呢有看到一個訪談
[00:10:36,860 --> 00:10:38,340] 裡面的訪談嘉賓啊
[00:10:38,340 --> 00:10:40,140] 之前呢就破產了
[00:10:41,000 --> 00:10:42,120] 可是他現在因為破產
[00:10:42,120 --> 00:10:43,280] 他非常非常想賺錢
[00:10:43,280 --> 00:10:44,920] 所以他怎麼賺呢
[00:10:44,920 --> 00:10:47,400] 他就上這個百度去搜
[00:10:47,400 --> 00:10:49,300] 說什麼能賺錢
[00:10:49,300 --> 00:10:50,140] 結果沒想到
[00:10:50,140 --> 00:10:50,700] 他一搜
[00:10:50,700 --> 00:10:53,280] 搜出來非常非常多的這個詞條
[00:10:53,280 --> 00:10:55,100] 然後呢就看到有一個
[00:10:55,100 --> 00:10:57,500] 賣小孩玩具的很掙錢
[00:10:57,500 --> 00:11:00,580] 他當機就決定要幹這個事
[00:11:00,580 --> 00:11:02,040] 他就有幾千塊錢
[00:11:02,040 --> 00:11:03,560] 批發了一堆玩具回來
[00:11:03,560 --> 00:11:06,300] 然後就在他們家這個小區樓下擺攤
[00:11:06,300 --> 00:11:09,240] 一天就賺了幾千塊
[00:11:09,240 --> 00:11:11,200] 結果城管就要趕他走
[00:11:11,200 --> 00:11:13,860] 他就跑到馬路對面繼續擺攤
[00:11:13,860 --> 00:11:17,960] 後來因為那個時候他也是遇到一個我們的口罩
[00:11:17,960 --> 00:11:21,080] 剛剛開始放開在復租的一個階段
[00:11:21,080 --> 00:11:23,260] 很多很多的店鋪都關門了
[00:11:23,260 --> 00:11:25,420] 也租不出去 空著也是空著
[00:11:25,420 --> 00:11:27,700] 所以他就去找那些房東商量
[00:11:27,700 --> 00:11:32,240] 說我就用你這個檔口把我的玩具擺在這
[00:11:32,240 --> 00:11:35,780] 反正呢在你租出去之前你先把你這個位子給我用
[00:11:35,780 --> 00:11:38,300] 那我呢也不是給你付租金
[00:11:38,300 --> 00:11:40,600] 我把這些玩具如果賣出去了的話呢
[00:11:40,600 --> 00:11:41,640] 我就給你
[00:11:41,640 --> 00:11:43,900] 付相應比例的這樣一個錢
[00:11:43,900 --> 00:11:44,640] 就這樣
[00:11:44,640 --> 00:11:46,960] 他一下子就起來了
[00:11:46,960 --> 00:11:49,360] 就靠著批發那些玩具啊
[00:11:49,360 --> 00:11:50,140] 他至少
[00:11:51,000 --> 00:11:54,340] 一個月就有小幾十個w的收入
[00:11:54,500 --> 00:11:57,240] 所以我說搞錢就是搞信息差
[00:11:57,240 --> 00:11:59,420] 好當然啊講到這裡呢
[00:11:59,420 --> 00:12:00,780] 你可能會
[00:12:00,780 --> 00:12:03,100] 有很多反驳的這種想法了
[00:12:03,100 --> 00:12:05,940] 覺得說 互聯網的信息都這麼發達了
[00:12:05,940 --> 00:12:07,720] 哪裡還有信息差了 是吧
[00:12:07,720 --> 00:12:10,560] 或者說大家想知道什麼信息一搜就知道了
[00:12:10,560 --> 00:12:12,300] 賣信息差根本賺不到錢
[00:12:12,300 --> 00:12:14,500] 但是我告訴你們 其實這個呢
[00:12:14,500 --> 00:12:17,720] 本質上它都是懶人的認知物區
[00:12:17,720 --> 00:12:20,340] 雖然說網絡信息非常的發達了
[00:12:20,340 --> 00:12:22,700] 但是信息差依然遍地都是
[00:12:22,700 --> 00:12:25,680] 我們依然可以用信息差賺錢
[00:12:25,680 --> 00:12:26,740] 為什麼呢
[00:12:26,740 --> 00:12:27,520] 因為
[00:12:27,520 --> 00:12:28,380] 第一
[00:12:28,420 --> 00:12:31,740] 總會有人沒有找信息差
[00:12:31,740 --> 00:12:35,140] 你看啊 就是之前有一段時間
[00:12:35,140 --> 00:12:40,160] 大家都會用這個閒魚和1688來賺差價
[00:12:40,160 --> 00:12:43,440] 1688呢就是一個非常低價的一個批發網站嘛
[00:12:43,440 --> 00:12:46,560] 那閒魚呢是一個二手交易平台
[00:12:46,560 --> 00:12:48,140] 這個二手交易平台呢
[00:12:48,140 --> 00:12:51,120] 它一個是它的監管沒有那麼的嚴格
[00:12:51,120 --> 00:12:54,840] 再一個就是什麼樣的人會去上二手交易平台呢
[00:12:54,840 --> 00:12:57,900] 本質上就是它還是希望用更低的價格
[00:12:57,900 --> 00:13:00,940] 買到一些貨品他才會去上這個鹹魚
[00:13:00,940 --> 00:13:05,200] 所以有一些人他會在1688這樣一個批發的網站上
[00:13:05,200 --> 00:13:06,520] 去尋找貨源
[00:13:06,520 --> 00:13:07,700] 然後在
[00:13:07,700 --> 00:13:09,520] 鹹魚上面去把它賣出去
[00:13:09,520 --> 00:13:12,600] 他讓這個1688就給他一鍵帶發貨了
[00:13:12,600 --> 00:13:14,680] 所以他就直接在中間賺這個差價
[00:13:14,680 --> 00:13:17,600] 他省去了所有的一些什麼物流
[00:13:17,600 --> 00:13:20,880] 售後退貨等等的這樣一些環節
[00:13:20,880 --> 00:13:22,700] 其實我也做過類似的事
[00:13:22,700 --> 00:13:25,000] 那我呢當然不是用這個事來賺錢
[00:13:25,000 --> 00:13:27,280] 但是呢我這個小例子是可以
[00:13:27,280 --> 00:13:31,040] 證明確確實實任何時候都是有信息差存在的
[00:13:31,040 --> 00:13:34,780] 就是那個時候我最開始在做唱歌的博主的時候
[00:13:34,780 --> 00:13:36,980] 我用的那一套唱歌的設備
[00:13:36,980 --> 00:13:41,740] 其實我就是在1688的這個批發網站上面來買的
[00:13:41,740 --> 00:13:44,100] 價格當時我確實是全網比過
[00:13:44,100 --> 00:13:47,820] 然後那個網站上當時的價格就是低很多很多
[00:13:47,820 --> 00:13:51,500] 後來那個那一套唱歌的設備我用了一年多的時間
[00:13:51,500 --> 00:13:54,160] 後來我不就轉戰到現在這個賽道了嗎
[00:13:54,160 --> 00:13:58,440] 我就把我的这个设备放到咸鱼上去卖
[00:13:58,440 --> 00:14:03,620] 然后我卖出去的时候是按照我当时买进的原价卖的
[00:14:03,620 --> 00:14:10,640] 但我买进的原价因为本身就比在陶戏啊或者是什么京东啊什么等等上面他们这种
[00:14:10,640 --> 00:14:13,220] 嗯网站上面挂的价格要便宜很多
[00:14:13,220 --> 00:14:15,680] 所以说哪怕我是一个二手的
[00:14:15,680 --> 00:14:19,360] 但是我按照我当时买入的价格去卖等于说我一分钱
[00:14:19,360 --> 00:14:20,020] 都没有亏
[00:14:20,020 --> 00:14:21,720] 我白白用了这个一年多
[00:14:21,720 --> 00:14:24,780] 还是很快速的把我那套设备给卖出去了
[00:14:24,780 --> 00:14:26,040] 所以大家可以看到
[00:14:26,040 --> 00:14:27,940] 咸鱼也好 168也好
[00:14:27,940 --> 00:14:29,680] 都是用公开平台
[00:14:29,680 --> 00:14:33,580] 其实只要你去稍微动动手就可以找到
[00:14:33,580 --> 00:14:35,020] 但是我敢打赌
[00:14:35,020 --> 00:14:36,960] 在听这节课的宝宝里面
[00:14:36,960 --> 00:14:43,400] 有很大一部分人根本就是没有用过这样的方式方法来赚钱的
[00:14:43,400 --> 00:14:46,420] 也可能没有太往这个方面去想过
[00:14:46,420 --> 00:14:49,720] 所以呢 關鍵不是如何去找信息差
[00:14:49,720 --> 00:14:51,280] 而是絕大部分的人
[00:14:51,280 --> 00:14:53,440] 他壓根就沒有找
[00:14:53,440 --> 00:14:54,720] 那天有個女生問我
[00:14:54,720 --> 00:14:57,940] 她說 現在還有什麼兼職可以幹啊
[00:14:57,940 --> 00:15:00,060] 我說那個你有搜索
[00:15:00,060 --> 00:15:02,100] 現在做什麼東西可以賺錢嗎
[00:15:02,100 --> 00:15:03,220] 她說 沒有
[00:15:03,220 --> 00:15:06,120] 所以說信息雖然它是公開的
[00:15:06,120 --> 00:15:06,940] 也是免費的
[00:15:06,940 --> 00:15:07,960] 它就擺在那個地方
[00:15:07,960 --> 00:15:09,560] 可是很多人
[00:15:09,560 --> 00:15:12,040] 他就是連搜都沒有搜過
[00:15:12,040 --> 00:15:13,520] 所以大家為什麼總是說
[00:15:13,520 --> 00:15:15,680] 現在的信息差越來越少了呢
[00:15:15,680 --> 00:15:18,580] 其實是大家想像當中認為
[00:15:18,580 --> 00:15:20,340] 所有的信息都是公開的
[00:15:20,340 --> 00:15:20,920] 都是透明
[00:15:20,920 --> 00:15:22,900] 都是你一搜可以搜到的
[00:15:22,900 --> 00:15:26,700] 可是大家真的高估了每一個人的行動力
[00:15:26,730 --> 00:15:28,410] 永遠都會有那麼一波人
[00:15:28,410 --> 00:15:30,550] 他們察覺不到這個信息差
[00:15:30,550 --> 00:15:32,390] 不敢使用這個信息差
[00:15:32,390 --> 00:15:35,570] 甚至是懶得去尋找信息差
[00:15:35,570 --> 00:15:38,690] 第二個就是總有人不敢賣信息差
[00:15:38,690 --> 00:15:39,930] 大多數人糾結的問題
[00:15:39,930 --> 00:15:41,670] 它不是在於找不到
[00:15:41,670 --> 00:15:43,550] 而是在於心態上的糾結
[00:15:43,550 --> 00:15:45,750] 他們總覺得說我都知道這件事
[00:15:45,750 --> 00:15:47,210] 別人難道不知道嗎
[00:15:47,210 --> 00:15:49,350] 這不就是一搜是知道的事嗎
[00:15:49,350 --> 00:15:50,630] 他在糾結這幾件事
