[00:00:00,110 --> 00:00:03,870] 大家好,歡迎回到我們金貴的關係2.0的課程
[00:00:03,870 --> 00:00:07,530] 我們今天繼續來學習守好錢板塊的課程
[00:01:36,990 --> 00:01:38,650] 然後就會放一些那種
[00:01:38,650 --> 00:01:41,210] 很多瓜子臉的明星出來給大家看
[00:01:41,210 --> 00:01:42,190] 那個就是美
[00:01:42,190 --> 00:01:44,550] 後來很多人為了整出這個瓜子臉
[00:01:44,550 --> 00:01:46,350] 他可能就會去把這兒
[00:01:46,350 --> 00:01:48,210] 把這兒就都給磨掉了
[00:01:48,210 --> 00:01:49,730] 然後再去墊個肩下吧
[00:01:49,730 --> 00:01:51,590] 到了現在又會有很多人說
[00:01:51,590 --> 00:01:53,010] 流行這個下額線
[00:01:53,010 --> 00:01:55,970] 所以又會有原來搞成了瓜子臉的姑娘
[00:01:55,970 --> 00:01:59,170] 又想辦法去把下顎線開始用打的方式
[00:01:59,170 --> 00:02:01,030] 還是用什麼方式給她弄回來
[00:02:01,030 --> 00:02:02,510] 再或者我們以前
[00:02:02,510 --> 00:02:04,610] 就是小的時候我們講好看是什麼
[00:02:04,610 --> 00:02:05,630] 是正面的
[00:02:05,630 --> 00:02:07,190] 盡量不要看見你的耳朵
[00:02:07,190 --> 00:02:09,990] 然後總感覺好像耳朵在臉上挺多餘的
[00:02:09,990 --> 00:02:12,290] 那個時候是看不見耳朵覺得美
[00:02:12,290 --> 00:02:15,110] 結果這兩年突然就開始流行這個
[00:02:15,110 --> 00:02:17,290] 叫什麼精明耳這個耳那個耳
[00:02:17,290 --> 00:02:19,170] 然後我們就會發現有特別多的人
[00:02:19,170 --> 00:02:21,870] 他刻意的把這個耳朵就給它做大
[00:02:21,870 --> 00:02:23,870] 讓正面能夠看到耳朵
[00:02:23,870 --> 00:02:24,290] 所以呢
[00:02:24,290 --> 00:02:26,190] 就說這是什麼瓜子臉啊
[00:02:26,190 --> 00:02:27,630] 或流行下顎線啊
[00:02:27,630 --> 00:02:28,970] 精靈耳啊什麼這些東西
[00:02:28,970 --> 00:02:31,570] 其實本質上來講都是為了
[00:02:31,570 --> 00:02:35,650] 他們去讓大家去做一些新的這種動作啊
[00:02:35,650 --> 00:02:37,350] 就是消費到自己的臉上
[00:02:37,350 --> 00:02:40,890] 而構造出來的這樣一些審美概念
[00:02:40,890 --> 00:02:43,390] 為了方便銷售而產生的
[00:02:43,390 --> 00:02:43,830] 至於呢
[00:02:43,830 --> 00:02:46,730] 其實大家在做這些概念的推銷的時候
[00:02:46,730 --> 00:02:49,050] 他們賣的產品並不是什麼新的產品
[00:02:49,050 --> 00:02:50,350] 都是一些老產品
[00:02:50,350 --> 00:02:51,190] 就比如說
[00:02:51,190 --> 00:02:53,210] 現在要留下什麼高爐頂啊 幹嘛呢
[00:02:53,210 --> 00:02:54,650] 他們也是在這個爐頂裡頭
[00:02:54,650 --> 00:02:57,050] 讓大家打這個波波之類的東西
[00:02:57,050 --> 00:02:59,250] 那波波是什麼很新的東西嗎
[00:02:59,250 --> 00:03:02,710] 就多少年 恩年前就已經有的產品了
[00:03:02,710 --> 00:03:05,330] 所以呢 他們就是說通過講不同的故事
[00:03:05,330 --> 00:03:06,970] 然後生產不同的概念
[00:03:06,970 --> 00:03:09,610] 然後大家就會為新的故事 新的概念
[00:03:09,610 --> 00:03:12,410] 而不斷地去買這個老的產品
[00:03:12,410 --> 00:03:14,250] 然後去做一些新的動作
[00:03:14,250 --> 00:03:17,390] 他講這兒的故事你就往這兒打 是吧
[00:03:17,390 --> 00:03:19,590] 講這兒的故事你就往這兒打
[00:03:19,590 --> 00:03:21,290] 講這兒的故事你就往這兒打
[00:03:21,290 --> 00:03:24,490] 總而言之呢就是他每講一個新的故事出來
[00:03:24,490 --> 00:03:26,970] 你是不是就多一筆物為的消費
[00:03:26,970 --> 00:03:29,510] 那麼呢在一部分的美業的商家
[00:03:29,510 --> 00:03:32,210] 可能不斷地在製造一些概念和潮流的時候
[00:03:32,210 --> 00:03:35,090] 那會對消費者產生哪些影響呢
[00:03:35,090 --> 00:03:38,790] 首先啊很多女生她會被這些所謂的潮流牽著鼻子走
[00:03:38,790 --> 00:03:43,070] 那麼她們會在沒有任何的準備工作和調研的情況下
[00:03:43,070 --> 00:03:44,810] 盲目的去整容
[00:03:44,810 --> 00:03:47,250] 結果最後反而變醜了
[00:03:47,250 --> 00:03:49,910] 有很多女主播包括一些做YC的女孩子
[00:03:49,910 --> 00:03:50,930] 其实就是这样的
[00:03:50,930 --> 00:03:52,610] 我经常有的时候跟她们联麦的时候
[00:03:52,610 --> 00:03:53,430] 她们会跟我讲
[00:03:53,430 --> 00:03:55,570] 原生家庭都挺差的
[00:03:55,570 --> 00:03:57,230] 好不容易赚到了一点钱
[00:03:57,230 --> 00:03:59,950] 就怕抓不住现在手上的这个男嘉宾
[00:03:59,950 --> 00:04:02,670] 他们就会把所有的钱都拿去堵脸
[00:04:02,670 --> 00:04:04,010] 结果呢 动了之后呢
[00:04:04,010 --> 00:04:05,450] 反而变丑了
[00:04:05,450 --> 00:04:08,030] 原本他觉得自己可能还有个七八分的长相
[00:04:08,030 --> 00:04:09,090] 结果搞完了以后
[00:04:09,090 --> 00:04:11,150] 这个其实就是折了夫人一尾
[00:04:11,150 --> 00:04:11,830] 赔了兵
[00:04:11,830 --> 00:04:13,270] 钱没了 脸也垮了
[00:04:13,270 --> 00:04:14,170] 得不偿失
[00:04:14,170 --> 00:04:14,950] 实际上啊
[00:04:14,950 --> 00:04:16,750] 这样的女生她是不在少数的
[00:04:16,750 --> 00:04:19,970] 你會發現其實很多很多動過的臉
[00:04:19,970 --> 00:04:21,850] 它其實都並不好看
[00:04:21,850 --> 00:04:22,850] 起碼來講的話
[00:04:22,850 --> 00:04:24,430] 你大概一眼能看得出來
[00:04:24,430 --> 00:04:25,250] 它是動過的
[00:04:25,250 --> 00:04:27,330] 那這個其實就不太好看了
[00:04:27,330 --> 00:04:28,670] 這種盲目的動臉
[00:04:28,670 --> 00:04:31,850] 很多時候並沒有給大家帶來多大的正法會
[00:04:31,850 --> 00:04:33,830] 反而容易有負效果
[00:04:33,830 --> 00:04:36,430] 其次很多女生也會因為自己的顏值
[00:04:36,430 --> 00:04:37,790] 跟不上所謂的潮流
[00:04:37,790 --> 00:04:39,910] 而感到非常非常的焦慮
[00:04:39,910 --> 00:04:42,790] 本來這些會被潮流帶節奏的女生
[00:04:42,790 --> 00:04:44,350] 她們有一個共同的特質
[00:04:44,350 --> 00:04:46,010] 就是她們是內核不聞的
[00:04:46,010 --> 00:04:49,190] 他們的審美框架就是非常的模糊的
[00:04:49,190 --> 00:04:53,830] 那麼他需要一些外界的標準來讓自己獲得認同感
[00:04:53,830 --> 00:04:56,210] 結果呢在追逐潮流的過程中
[00:04:56,210 --> 00:04:59,750] 他發現這些標準實在是變化的太快了 是吧
[00:04:59,750 --> 00:05:02,650] 今年瓜子臉是美 明年下額線是美
[00:05:02,650 --> 00:05:05,990] 他根本沒有辦法讓自己有穩定的框架
[00:05:05,990 --> 00:05:08,590] 只會越追潮流越焦慮
[00:05:08,590 --> 00:05:10,690] 最後呢也是最核心的弊端
[00:05:10,690 --> 00:05:15,430] 就是很多的女生她會不惜去貸款來動臉
[00:05:15,430 --> 00:05:18,650] 最后还会导致自己的债务危机
[00:05:18,650 --> 00:05:19,970] 所以在我看来
[00:05:19,970 --> 00:05:22,030] 像制造潮流 制造概念
[00:05:22,030 --> 00:05:23,850] 这样的一些消费主义陷阱
[00:05:23,850 --> 00:05:27,850] 其实是在引导大家去消费一些不必要的东西
[00:05:27,850 --> 00:05:30,990] 严重的影响到了消费者的一些身心健康
[00:05:30,990 --> 00:05:33,950] 同样的化妆品 口红色号等等
[00:05:33,950 --> 00:05:37,390] 其实在我看来也是有一些类似的道理在里面的
[00:05:37,710 --> 00:05:40,910] 这些很多时候它都是商家的一种行销手段 对吧
[00:05:40,910 --> 00:05:43,310] 他们为了让你买更多更多的口红
[00:05:43,310 --> 00:05:46,290] 选择以口红色号作为切入点
[00:05:46,290 --> 00:05:47,690] 不断的去讲故事
[00:05:47,690 --> 00:05:48,790] 贴标签啊
[00:05:48,790 --> 00:05:49,570] 制造概念
[00:05:49,570 --> 00:05:52,690] 让你觉得好像不同色号之间的口红
[00:05:52,690 --> 00:05:54,370] 好像有很大的差别
[00:05:54,370 --> 00:05:57,510] 比如说什么烂番茄色和正红色
[00:05:57,510 --> 00:05:58,050] 本来呢
[00:05:58,050 --> 00:05:59,650] 它可能这个深一点浅一点
[00:05:59,650 --> 00:06:02,710] 这个真的连肉眼都很难去识别
[00:06:02,710 --> 00:06:03,370] 但是呢
[00:06:03,370 --> 00:06:04,750] 当商家把它贴了标签
[00:06:04,750 --> 00:06:05,470] 造了概念
[00:06:05,470 --> 00:06:07,030] 给你一顿说之后
[00:06:07,030 --> 00:06:09,850] 这个烂番茄色是亚洲服色
[00:06:09,850 --> 00:06:11,350] 量身定制啊
[00:06:11,350 --> 00:06:13,410] 这个红色是职场OLBB
[00:06:13,410 --> 00:06:17,490] 让很多女生觉得这两者好像真的有差别
[00:06:17,490 --> 00:06:19,430] 那我就必须得都入手
[00:06:19,430 --> 00:06:20,770] 其实在我看来呢
[00:06:20,770 --> 00:06:22,390] 很多的口红涂在嘴巴上
[00:06:22,390 --> 00:06:24,530] 看起来颜色都是差不多的
[00:06:24,530 --> 00:06:26,430] 反正我个人可能太直女了
[00:06:26,430 --> 00:06:27,690] 很多很多的色号之间
[00:06:27,690 --> 00:06:28,930] 我根本就分不清楚
[00:06:28,930 --> 00:06:31,770] 那我也不会花这个精力
[00:06:31,770 --> 00:06:33,910] 浪费这个时间去区分他们
[00:06:33,910 --> 00:06:36,110] 因为口红色号的差别呢
[00:06:36,110 --> 00:06:38,410] 有的时候就跟我看一个人说
[00:06:38,410 --> 00:06:41,870] 我的雙眼皮是寬一點還是窄一點的問題
[00:06:41,870 --> 00:06:42,990] 它是一個概念
[00:06:42,990 --> 00:06:45,650] 這種差別實在是太小了
[00:06:45,650 --> 00:06:48,390] 小到讓我覺得它對於你的整體審美
[00:06:48,390 --> 00:06:50,390] 根本就不產生影響
[00:06:50,390 --> 00:06:53,810] 而且因為我從小就是一個生活在舞台上的人
[00:06:53,810 --> 00:06:56,290] 我就是從小我就天天出去化妝
[00:06:56,290 --> 00:06:57,270] 然後我會發現
[00:06:57,270 --> 00:06:58,890] 只是這麼多年下來
[00:06:58,890 --> 00:07:01,190] 這個化妝師用到的工具
[00:07:01,190 --> 00:07:03,650] 基本上沒有太大的變化
[00:07:03,650 --> 00:07:05,370] 來來去去就是這些東西
[00:07:05,370 --> 00:07:06,930] 沒有怎麼迭代過
[00:07:06,930 --> 00:07:08,330] 從十幾年前的今天
[00:07:08,330 --> 00:07:11,810] 化妆永远都是一个箱子就能搞定的事情
[00:07:11,810 --> 00:07:14,210] 而且那还是职业化妆师
[00:07:14,210 --> 00:07:15,550] 对于我们普通人来说
[00:07:15,550 --> 00:07:19,030] 可能三分之一的化妆品和化妆工具就可以搞定了
[00:07:19,030 --> 00:07:21,170] 那这个其实就已经充分的说明了
[00:07:21,170 --> 00:07:23,430] 化妆也好呀 可我们色号也好呀
[00:07:23,430 --> 00:07:25,150] 在实际的性能的差别上
[00:07:25,150 --> 00:07:26,710] 可能它并没有那么的大
[00:07:26,710 --> 00:07:30,690] 基本上都还是靠一些概念的炒作炒作出来的
[00:07:30,690 --> 00:07:33,270] 绝大部分人我觉得应该跟我一样
[00:07:33,270 --> 00:07:35,990] 都不需要那么那么多
[00:07:35,990 --> 00:07:39,590] 有着细微差别的色号的口红
[00:07:39,590 --> 00:07:40,590] 所以大家可以看看
[00:07:40,590 --> 00:07:42,550] 如果说大家真的为了这些标签
[00:07:42,550 --> 00:07:44,610] 为了这些概念去买单
[00:07:44,610 --> 00:07:47,070] 那么明明可能你只需要三支口红
[00:07:47,070 --> 00:07:49,050] 就能搞定你所有的场合
[00:07:49,050 --> 00:07:52,550] 但是你却为了一些概念而买了30支
[00:07:52,550 --> 00:07:54,310] 在我眼里其实这一种
[00:07:54,310 --> 00:07:56,910] 它就是一种浪费钱的行为了
[00:07:56,910 --> 00:07:58,870] 我记得有一次我过生日的时候
[00:07:58,870 --> 00:08:00,590] 有一个朋友给我送了一个
[00:08:00,590 --> 00:08:04,490] 非常非常大的一个品牌的口红礼盒
[00:08:04,490 --> 00:08:07,230] 它是那种情人节的限定礼盒
[00:08:07,230 --> 00:08:09,530] 里面有很多支口红
[00:08:09,530 --> 00:08:12,490] 说真的我觉得它比我一辈子买的口红都要多
[00:08:12,490 --> 00:08:15,310] 可是呢我打开了很多支之后发现
[00:08:15,310 --> 00:08:18,710] 它里面的大部分的颜色都是差不多的
[00:08:18,710 --> 00:08:21,690] 当时就觉得说这到底要怎么用呢是不是
[00:08:21,690 --> 00:08:25,190] 我会为那个朋友感到这件事情是有一点点浪费
[00:08:25,190 --> 00:08:27,650] 当然了你说我其实挺有钱的
[00:08:27,650 --> 00:08:28,690] 我根本就不在乎
[00:08:28,690 --> 00:08:30,250] 就这些东西与我而言吧
[00:08:30,250 --> 00:08:31,190] 纯粹就是买着玩
[00:08:31,190 --> 00:08:34,290] 我买再多对我来说也不形成任何负担
[00:08:34,290 --> 00:08:36,550] 但我觉得这个没有任何问题
[00:08:36,550 --> 00:08:39,470] 就是大家纯粹为了开心而买单这件事
[00:08:39,470 --> 00:08:43,570] 只要是在你绝对性的经济承受能力范围之内
[00:08:43,570 --> 00:08:45,210] 我觉得一点问题都没有
[00:08:45,210 --> 00:08:47,830] 甚至于有的时候我也会有那种想法
[00:08:47,830 --> 00:08:48,770] 觉得说 哎呀
[00:08:48,770 --> 00:08:51,690] 这段时间我看这个商场都挺萧条的是吧
[00:08:51,690 --> 00:08:53,810] 我说我在这商场里多消费一点东西
[00:08:53,810 --> 00:08:55,630] 哪怕我最近没什么想买的
[00:08:55,630 --> 00:08:56,310] 为什么呢
[00:08:56,310 --> 00:08:57,650] 我觉得我多消费几次
[00:08:57,650 --> 00:08:58,950] 可能这些导购
[00:08:58,950 --> 00:09:01,190] 他就能够多在这个地方上几天班
[00:09:01,190 --> 00:09:03,210] 这个商场他就能晚一点倒闭
[00:09:03,210 --> 00:09:05,370] 有的時候也會這麼想問題
[00:09:05,370 --> 00:09:07,210] 當然我覺得這個也沒有問題
[00:09:07,210 --> 00:09:09,930] 但是如果說大家目前
[00:09:09,930 --> 00:09:12,470] 還是在一個向上攀爬的過程當中
[00:09:12,470 --> 00:09:15,050] 同時你也希望能夠給自己規劃好
[00:09:15,050 --> 00:09:17,110] 一個更好的金錢觀念
[00:09:17,110 --> 00:09:19,110] 把錢花在高潤上的話
[00:09:19,110 --> 00:09:21,630] 那我覺得我們一定還是要對於金錢
[00:09:21,630 --> 00:09:23,730] 要有很深度的思考
[00:09:23,730 --> 00:09:26,790] 把錢花在性價比最高的點為上
[00:09:26,790 --> 00:09:28,810] 而不是為了虛構的概念
[00:09:28,810 --> 00:09:30,490] 而堆砌數量
[00:09:30,490 --> 00:09:31,510] 過度消費
[00:09:31,510 --> 00:09:35,030] 这样才是比较健康的一种财务动作
[00:09:35,030 --> 00:09:37,910] 好 了解完这样的消费主义的陷阱之后呢
[00:09:37,910 --> 00:09:41,170] 我们就来讲一讲如何理性消费啊
[00:09:41,170 --> 00:09:44,130] 在这里呢 我给大家分享三个核心思路
[00:09:44,130 --> 00:09:48,030] 第一个要购买能穿越周期的产品
[00:09:48,030 --> 00:09:50,490] 在以前的课里面呢 我就给大家提到过
[00:09:50,490 --> 00:09:52,830] 不要为了便宜而花钱
[00:09:52,830 --> 00:09:56,950] 因为便宜的东西除了便宜以外啊
[00:09:56,950 --> 00:09:59,210] 我认为它其实没有什么优点
[00:09:59,210 --> 00:10:00,710] 而且大家有没有发现就是
[00:10:00,710 --> 00:10:04,870] 便宜的东西其实往往它都没有办法陪伴你特别长的时间
[00:10:04,870 --> 00:10:07,430] 随着你自己的不断的进步和迭代
[00:10:07,430 --> 00:10:13,950] 我当然认为我的粉丝和学员应该都是会有一个不停的进步的一个人生状态的
[00:10:13,950 --> 00:10:17,630] 那么随着屏幕前的各位你们在不停的进步的过程当中
[00:10:17,630 --> 00:10:21,770] 你就会发现以前买过的所有那些廉价的东西
[00:10:21,770 --> 00:10:24,570] 它不久以后都会被你所抛弃掉
[00:10:24,570 --> 00:10:27,990] 所以在你买的时候当时你觉得好像看起来很便宜
[00:10:27,990 --> 00:10:30,410] 但是实际上这些东西你又用不了多久
[00:10:30,410 --> 00:10:31,450] 你就丢了
[00:10:31,450 --> 00:10:33,570] 这个才是在真正的浪费钱
[00:10:33,570 --> 00:10:35,090] 而我买东西呢
[00:10:35,090 --> 00:10:36,990] 特别是在买大件的时候啊
[00:10:36,990 --> 00:10:38,570] 我都会去买那些
[00:10:38,570 --> 00:10:39,790] 我一眼看上去
[00:10:39,790 --> 00:10:41,130] 我就能够识别
[00:10:41,130 --> 00:10:44,390] 这个东西我至少能够使用五年
[00:10:44,390 --> 00:10:46,510] 甚至是十年以上
[00:10:46,510 --> 00:10:48,630] 那么这款产品在当下
[00:10:48,630 --> 00:10:51,490] 可能会让我觉得它挺贵挺奢侈的
[00:10:51,490 --> 00:10:52,170] 但实际上
[00:10:52,170 --> 00:10:54,410] 只要这个东西我用的时间足够长
[00:10:54,410 --> 00:10:56,030] 使用的频率足够高
[00:10:56,030 --> 00:10:58,950] 那么它的成本就会被无限的分摊到
[00:10:58,950 --> 00:11:01,170] 我的日复一日的生活当中
[00:11:01,170 --> 00:11:02,990] 那这个在我看来就是叫做
[00:11:02,990 --> 00:11:05,130] 能够穿越周期的产品
[00:11:05,130 --> 00:11:06,890] 反而它才是更具有
[00:11:06,890 --> 00:11:07,990] 性价比的选项
[00:11:07,990 --> 00:11:08,950] 比如说呢
[00:11:08,950 --> 00:11:10,630] 我所有的衣服啊可能
[00:11:10,630 --> 00:11:13,330] 有的几千 有的要大几万
[00:11:13,330 --> 00:11:15,210] 那么还有的会更贵啊
[00:11:15,210 --> 00:11:17,130] 那么我在买这些衣服的时候呢
[00:11:17,130 --> 00:11:18,690] 我都是一定确信
[00:11:18,690 --> 00:11:21,630] 它是可以让我穿五年到十年
[00:11:21,630 --> 00:11:23,290] 甚至是更久的
[00:11:23,290 --> 00:11:25,010] 而且呢这么长的时间之内
[00:11:25,010 --> 00:11:26,690] 它都不会过时
[00:11:26,690 --> 00:11:29,790] 而实际上也真的就是这么一回事
[00:11:29,790 --> 00:11:32,090] 我所有的贵的衣服
[00:11:32,090 --> 00:11:33,750] 从我买的那一天起
[00:11:33,750 --> 00:11:34,630] 直到今天
[00:11:34,630 --> 00:11:37,910] 我至少每年都还是会拿出来穿的
[00:11:37,910 --> 00:11:40,390] 这个其实就是我的消费逻辑
[00:11:40,390 --> 00:11:44,110] 我是绝对不会在一个一次性的海销上面
[00:11:44,110 --> 00:11:45,770] 去花大价钱的
[00:11:45,770 --> 00:11:47,010] 那些今年流行
[00:11:47,010 --> 00:11:49,010] 明年就会被淘汰的款式
[00:11:49,010 --> 00:11:50,570] 我是不会买的
[00:11:50,570 --> 00:11:53,090] 我身边的朋友以前他们总是看不懂
[00:11:53,090 --> 00:11:54,990] 觉得我买的那些款式
[00:11:54,990 --> 00:11:56,930] 好像看起来也没有什么奇特的感觉
[00:11:56,930 --> 00:11:59,490] 但是五年前十年前看不懂的人
[00:11:59,490 --> 00:12:01,830] 到今天他们终于把我看懂了
[00:12:01,830 --> 00:12:04,070] 因为他们发现我衣柜里
[00:12:04,070 --> 00:12:07,230] 那衣服就是五年前十年前可能我买的
[00:12:07,230 --> 00:12:10,830] 但是到今天来穿依然觉得非常地有档次
[00:12:10,830 --> 00:12:11,670] 有品位
[00:12:11,670 --> 00:12:13,050] 而且一点都不过时
[00:12:13,050 --> 00:12:14,910] 那就是因为其实我买他们的时候
[00:12:14,910 --> 00:12:19,390] 他们都是在柜中的这些品牌里非常非常有质感的
[00:12:19,390 --> 00:12:21,350] 款式呢也非常耐看的
[00:12:21,350 --> 00:12:22,090] 这样一些
[00:12:22,090 --> 00:12:24,410] 可以穿很多年的这种感觉
[00:12:24,410 --> 00:12:26,210] 那麼這些衣服對於我來說
[00:12:26,210 --> 00:12:28,870] 也是叫做可以穿越周期的衣服
[00:12:28,870 --> 00:12:31,090] 當然了這裡可能我會好奇說
[00:12:31,090 --> 00:12:33,270] 我怎麼能夠確信哪些衣服
[00:12:33,270 --> 00:12:35,930] 就一定能穿個五到十年不過時呢
[00:12:35,930 --> 00:12:37,550] 那這個呢其實我覺得是因為
[00:12:37,550 --> 00:12:39,170] 我從上大學的時候開始
[00:12:39,170 --> 00:12:41,210] 可能我就花大量大量的時間
[00:12:41,210 --> 00:12:42,990] 去看各種這樣的時尚雜誌
[00:12:42,990 --> 00:12:44,150] 那看過了以後呢
[00:12:44,150 --> 00:12:47,550] 其實你會對於那些恆定不變的時尚
[00:12:47,550 --> 00:12:48,750] 有了一種手感
[00:12:48,750 --> 00:12:51,110] 你就知道有一些材質
[00:12:51,110 --> 00:12:52,370] 有一些形狀
[00:12:52,370 --> 00:12:53,590] 有一些顏色
[00:12:53,590 --> 00:12:56,970] 好像每一年它都會看見
[00:12:56,970 --> 00:12:59,390] 就比如說什麼像Barbory的風衣啊
[00:12:59,390 --> 00:13:01,510] 或者是什麼Max Marle的大衣啊
[00:13:01,510 --> 00:13:01,690] 是吧
[00:13:01,690 --> 00:13:06,910] 或者是那種尖頭的細根的這種類型的高跟鞋啊
[00:13:06,910 --> 00:13:09,250] 或者是一些什麼V領的針織衫啊等等
[00:13:09,250 --> 00:13:11,590] 那就是無論過去多少年
[00:13:11,590 --> 00:13:15,710] 那麼這些單品它依然都是屬於絕對不會過時的單品
[00:13:15,710 --> 00:13:16,810] 它是錯不了的
[00:13:16,810 --> 00:13:17,970] 所以很多時候啊
[00:13:17,970 --> 00:13:20,150] 花錢呢它真的也是一門學問
[00:13:20,150 --> 00:13:22,830] 你是需要經過學習和研究的
[00:13:22,830 --> 00:13:27,610] 你要去了解這些商品背後的運作機制和運作規律
[00:13:27,610 --> 00:13:31,250] 這樣大家才會減少自己花冤枉錢的概率
[00:13:31,250 --> 00:13:33,730] 那更進一步這些穿越周期的衣服
[00:13:33,730 --> 00:13:37,110] 其實別人看不出來它是哪一年的款
[00:13:37,110 --> 00:13:39,850] 所以你哪一年都能穿出去
[00:13:39,850 --> 00:13:42,730] 哪一年都可以用來包裝自己
[00:13:42,730 --> 00:13:44,450] 說去不好聽的
[00:13:44,450 --> 00:13:47,590] 如果有一天我們真的落魄了
[00:13:47,590 --> 00:13:50,210] 或者說遭遇到重大的挫折了
[00:13:50,210 --> 00:13:53,030] 那么这些衣服就会显得尤为重要
[00:13:53,030 --> 00:13:55,990] 它能够让你看上去依旧体验
[00:13:55,990 --> 00:13:58,950] 它能让你依旧能够用门票
[00:13:58,950 --> 00:14:02,090] 去跟那些高伟的圈层进行社交
[00:14:02,090 --> 00:14:03,610] 那在那样的圈子里
[00:14:03,610 --> 00:14:05,630] 你才更有机会打开局面
[00:14:05,630 --> 00:14:07,190] 重新逆风翻盘
[00:14:07,190 --> 00:14:07,990] 相反啊
[00:14:07,990 --> 00:14:11,950] 如果当时你只有一些就是过时的衣服和包包
[00:14:11,950 --> 00:14:13,750] 那么别人一眼就能看出来
[00:14:13,750 --> 00:14:16,190] 这是很过时很过时的款式
[00:14:16,190 --> 00:14:17,590] 那么你再能吹
[00:14:17,590 --> 00:14:18,750] 其实别人也就知道
[00:14:18,750 --> 00:14:20,770] 这人大概率是家道中落了
[00:14:20,770 --> 00:14:23,270] 我给大家讲过我自己在美国的故事啊
[00:14:23,270 --> 00:14:28,930] 那其实我是在美国当时经历到我人生中最最大的经济危机的时候
[00:14:28,930 --> 00:14:36,490] 我才深深地感受到我那些昂贵又不过时的衣服给了我多大多大的帮助
[00:14:36,490 --> 00:14:42,830] 这个时候我每天都会穿着非常华丽的这些昂贵的衣服去上课
[00:14:42,830 --> 00:14:45,430] 所以能让我看起来非常的体面
[00:14:45,430 --> 00:14:48,570] 那我美國當時的同學還有新認識的那些朋友
[00:14:48,570 --> 00:14:52,670] 都會被我的這種大氣的外型所吸引
[00:14:52,670 --> 00:14:58,750] 所以他們後來才會願意向我來購買那些很昂貴的珠寶和首飾
[00:14:58,750 --> 00:15:00,930] 甚至於呢在美國留學結束之後
[00:15:00,930 --> 00:15:06,310] 很多人都沒有發現我在那個時候我的經濟狀況其實是非常不好的
[00:15:06,310 --> 00:15:09,590] 他們一直都以為我是一個家境非常優渥的一個女生
[00:15:09,590 --> 00:15:13,050] 所以呢我才一直跟大家說這些華麗的服裝有的時候
[00:15:13,050 --> 00:15:14,830] 它真的是你的戰袍
[00:15:14,830 --> 00:15:16,110] 是你的鎧甲
[00:15:16,110 --> 00:15:17,050] 同樣的呢
[00:15:17,050 --> 00:15:19,030] 我買包也是一樣的邏輯
[00:15:19,030 --> 00:15:21,050] 自從我買了人生中的
[00:15:21,050 --> 00:15:22,610] 第一個愛馬仕之後呢
[00:15:22,610 --> 00:15:24,310] 我就幾乎再沒有買過
[00:15:24,310 --> 00:15:25,670] 其他品牌的包了
[00:15:25,670 --> 00:15:26,730] 我的第一個愛馬仕
[00:15:26,730 --> 00:15:29,350] 大概是在15 16年左右的時候買的
